类型,母序列,子序列,采样点,关联系数
高钾,SiO2,MgO,14,1
高钾,SiO2,MgO,16,0.9812783224
高钾,SiO2,MgO,18,0.9056193028
高钾,SiO2,MgO,21,0.9415655232
高钾,SiO2,MgO,22,0.9589753565
高钾,SiO2,MgO,27,0.9448928104
高钾,SiO2,Al2O3,01,0.9881885156
高钾,SiO2,Al2O3,03部位1,0.9651510963
高钾,SiO2,Al2O3,03部位2,0.9706959927
高钾,SiO2,Al2O3,04,0.9563482053
高钾,SiO2,Al2O3,05,0.9286090594
高钾,SiO2,Al2O3,06部位1,0.8677415085
高钾,SiO2,Al2O3,06部位2,0.8780629145
高钾,SiO2,Al2O3,07,0.9148996149
高钾,SiO2,Al2O3,09,0.8992614063
高钾,SiO2,Al2O3,10,0.8876557029
高钾,SiO2,Al2O3,12,0.9028124778
高钾,SiO2,Al2O3,13,0.952678819
高钾,SiO2,Al2O3,14,0.8962745564
高钾,SiO2,Al2O3,16,0.9609157803
高钾,SiO2,Al2O3,18,0.9542486717
高钾,SiO2,Al2O3,21,0.977259866
高钾,SiO2,Al2O3,22,0.9458472217
高钾,SiO2,Al2O3,27,0.9252115446
高钾,SiO2,Fe2O3,01,0.9622050511
高钾,SiO2,Fe2O3,03部位1,0.8845762845
高钾,SiO2,Fe2O3,03部位2,0.9200970148
高钾,SiO2,Fe2O3,04,0.932918787
高钾,SiO2,Fe2O3,05,0.8878361603
高钾,SiO2,Fe2O3,06部位1,0.9112627878
高钾,SiO2,Fe2O3,06部位2,0.7036402245
高钾,SiO2,Fe2O3,07,0.8892672161
高钾,SiO2,Fe2O3,09,0.8965602463
高钾,SiO2,Fe2O3,10,0.8903268271
高钾,SiO2,Fe2O3,12,0.8954018393
高钾,SiO2,Fe2O3,13,0.8676907502
高钾,SiO2,Fe2O3,14,0.952310252
高钾,SiO2,Fe2O3,16,0.9424469517
高钾,SiO2,Fe2O3,18,0.8937794428
高钾,SiO2,Fe2O3,21,0.9243673804
高钾,SiO2,Fe2O3,22,0.9019437646
高钾,SiO2,Fe2O3,27,0.8911886716
高钾,SiO2,CuO,01,0.9076981207
高钾,SiO2,CuO,03部位1,0.9191597628
高钾,SiO2,CuO,03部位2,0.8475274123
高钾,SiO2,CuO,04,0.985395758
高钾,SiO2,CuO,05,0.9251936435
高钾,SiO2,CuO,06部位1,0.9707781082
高钾,SiO2,CuO,06部位2,0.9764385276
高钾,SiO2,CuO,07,0.9693692118
高钾,SiO2,CuO,09,0.9450151068
高钾,SiO2,CuO,10,0.909433647
高钾,SiO2,CuO,12,0.950921591
高钾,SiO2,CuO,13,0.8588022816
高钾,SiO2,CuO,14,0.9370687747
高钾,SiO2,CuO,16,0.9628393793
高钾,SiO2,CuO,18,0.8937794428
高钾,SiO2,CuO,21,0.9449635822
高钾,SiO2,CuO,22,0.9020216771
高钾,SiO2,CuO,27,0.9476858132
高钾,SiO2,PbO,01,0.9063649983
高钾,SiO2,PbO,03部位1,0.9771267839
高钾,SiO2,PbO,03部位2,0.6639019507
高钾,SiO2,PbO,04,0.9107325954
高钾,SiO2,PbO,05,0.91623555
高钾,SiO2,PbO,06部位1,0.9851529195
高钾,SiO2,PbO,06部位2,0.947725548
高钾,SiO2,PbO,07,0.8779303051
高钾,SiO2,PbO,09,0.8751141789
高钾,SiO2,PbO,10,0.8730635923
高钾,SiO2,PbO,12,0.8759724164
高钾,SiO2,PbO,13,0.919556391
高钾,SiO2,PbO,14,0.626949476
高钾,SiO2,PbO,16,0.9525350887
高钾,SiO2,PbO,18,0.8937794428
高钾,SiO2,PbO,21,0.7647114439
高钾,SiO2,PbO,22,0.8782614144
高钾,SiO2,PbO,27,0.8778239302
高钾,SiO2,BaO,01,0.9063649983
高钾,SiO2,BaO,03部位1,0.8845762845
高钾,SiO2,BaO,03部位2,0.5730230106
高钾,SiO2,BaO,04,0.9107325954
高钾,SiO2,BaO,05,0.91623555
高钾,SiO2,BaO,06部位1,0.769295947
高钾,SiO2,BaO,06部位2,0.8395644817
高钾,SiO2,BaO,07,0.8779303051
高钾,SiO2,BaO,09,0.8751141789
高钾,SiO2,BaO,10,0.8730635923
高钾,SiO2,BaO,12,0.8759724164
高钾,SiO2,BaO,13,0.919556391
高钾,SiO2,BaO,14,0.9150911155
高钾,SiO2,BaO,16,0.9116239163
高钾,SiO2,BaO,18,0.8937794428
高钾,SiO2,BaO,21,0.6849766143
高钾,SiO2,BaO,22,0.8782614144
高钾,SiO2,BaO,27,0.8778239302
高钾,SiO2,P2O5,01,0.9761906484
高钾,SiO2,P2O5,03部位1,0.9478294874
高钾,SiO2,P2O5,03部位2,0.9885263463
高钾,SiO2,P2O5,04,0.9923445007
高钾,SiO2,P2O5,05,0.9901134076
高钾,SiO2,P2O5,06部位1,0.7293781724
高钾,SiO2,P2O5,06部位2,0.7044073823
高钾,SiO2,P2O5,07,0.9351778921
高钾,SiO2,P2O5,09,0.9068645093
高钾,SiO2,P2O5,10,0.8730635923
高钾,SiO2,P2O5,12,0.8893296818
高钾,SiO2,P2O5,13,0.9508883705
高钾,SiO2,P2O5,14,0.9306669634
高钾,SiO2,P2O5,16,0.9116239163
高钾,SiO2,P2O5,18,0.9703345283
高钾,SiO2,P2O5,21,0.9949098838
高钾,SiO2,P2O5,22,0.8971758662
高钾,SiO2,P2O5,27,0.9107218746
高钾,SiO2,SrO,01,0.9063649983
高钾,SiO2,SrO,03部位1,0.8845762845
高钾,SiO2,SrO,03部位2,0.7544311207
高钾,SiO2,SrO,04,0.9107325954
高钾,SiO2,SrO,05,0.8647261151
高钾,SiO2,SrO,06部位1,0.7359929962
高钾,SiO2,SrO,06部位2,0.7076895612
高钾,SiO2,SrO,07,0.8779303051
高钾,SiO2,SrO,09,0.8751141789
高钾,SiO2,SrO,10,0.8730635923
高钾,SiO2,SrO,12,0.8759724164
高钾,SiO2,SrO,13,0.919556391
高钾,SiO2,SrO,14,0.9150911155
高钾,SiO2,SrO,16,0.9378387411
高钾,SiO2,SrO,18,0.8537302742
高钾,SiO2,SrO,21,0.8971983956
高钾,SiO2,SrO,22,0.8782614144
高钾,SiO2,SrO,27,0.8778239302
高钾,SiO2,SnO2,01,0.9063649983
高钾,SiO2,SnO2,03部位1,0.8845762845
高钾,SiO2,SnO2,03部位2,0.9160682069
高钾,SiO2,SnO2,04,0.9107325954
高钾,SiO2,SnO2,05,0.91623555
高钾,SiO2,SnO2,06部位1,0.9084865831
高钾,SiO2,SnO2,06部位2,0.9185200887
高钾,SiO2,SnO2,07,0.8779303051
高钾,SiO2,SnO2,09,0.8751141789
高钾,SiO2,SnO2,10,0.8730635923
高钾,SiO2,SnO2,12,0.8759724164
高钾,SiO2,SnO2,13,0.919556391
高钾,SiO2,SnO2,14,0.9150911155
高钾,SiO2,SnO2,16,0.9116239163
高钾,SiO2,SnO2,18,0.3343432057
高钾,SiO2,SnO2,21,0.8971983956
高钾,SiO2,SnO2,22,0.8782614144
高钾,SiO2,SnO2,27,0.8778239302
高钾,SiO2,SO2,01,0.6381536642
高钾,SiO2,SO2,03部位1,0.8845762845
高钾,SiO2,SO2,03部位2,0.9160682069
高钾,SiO2,SO2,04,0.6577721078
高钾,SiO2,SO2,05,0.5821910834
高钾,SiO2,SO2,06部位1,0.9084865831
高钾,SiO2,SO2,06部位2,0.9185200887
高钾,SiO2,SO2,07,0.8779303051
高钾,SiO2,SO2,09,0.8751141789
高钾,SiO2,SO2,10,0.8730635923
高钾,SiO2,SO2,12,0.8759724164
高钾,SiO2,SO2,13,0.919556391
高钾,SiO2,SO2,14,0.9150911155
高钾,SiO2,SO2,16,0.9116239163
高钾,SiO2,SO2,18,0.8937794428
高钾,SiO2,SO2,21,0.8971983956
高钾,SiO2,SO2,22,0.8782614144
高钾,SiO2,SO2,27,0.8778239302
高钾,Na2O,SiO2,01,0.9086711675
高钾,Na2O,SiO2,03部位1,0.8879441845
高钾,Na2O,SiO2,03部位2,0.9178847779
高钾,Na2O,SiO2,04,0.9128196645
高钾,Na2O,SiO2,05,0.9180435868
高钾,Na2O,SiO2,06部位1,0.9106865845
高钾,Na2O,SiO2,06部位2,0.9202113113
高钾,Na2O,SiO2,07,0.8816116561
高钾,Na2O,SiO2,09,0.8789268809
高钾,Na2O,SiO2,10,0.8769713883
高钾,Na2O,SiO2,12,0.8797451807
高钾,Na2O,SiO2,13,0.6248812087
高钾,Na2O,SiO2,14,0.581399263
高钾,Na2O,SiO2,16,0.7096701814
高钾,Na2O,SiO2,18,0.8967052538
高钾,Na2O,SiO2,21,0.8999575981
高钾,Na2O,SiO2,22,0.8819272641
高钾,Na2O,SiO2,27,0.8815102586
高钾,Na2O,K2O,01,0.8522298647
高钾,Na2O,K2O,03部位1,0.9173632673
高钾,Na2O,K2O,03部位2,0.8232478388
高钾,Na2O,K2O,04,0.8562829754
高钾,Na2O,K2O,05,0.8402975279
高钾,Na2O,K2O,06部位1,0.8865892129
高钾,Na2O,K2O,06部位2,0.8823799678
高钾,Na2O,K2O,07,1
高钾,Na2O,K2O,09,0.9898634138
高钾,Na2O,K2O,10,0.9842829077
高钾,Na2O,K2O,12,0.982771855
高钾,Na2O,K2O,13,0.6810257627
高钾,Na2O,K2O,14,0.6260123327
高钾,Na2O,K2O,16,0.7989904477
高钾,Na2O,K2O,18,0.8594763929
高钾,Na2O,K2O,21,1
高钾,Na2O,K2O,22,0.9873189958
高钾,Na2O,K2O,27,1
高钾,Na2O,CaO,01,0.8455711668
高钾,Na2O,CaO,03部位1,0.9451044654
高钾,Na2O,CaO,03部位2,0.8549722051
高钾,Na2O,CaO,04,0.8293588975
高钾,Na2O,CaO,05,0.8248122989
高钾,Na2O,CaO,06部位1,1
高钾,Na2O,CaO,06部位2,0.8648006997
高钾,Na2O,CaO,07,0.9700070077
高钾,Na2O,CaO,09,0.9823988644
高钾,Na2O,CaO,10,0.9939681172
高钾,Na2O,CaO,12,0.9796178344
高钾,Na2O,CaO,13,0.697134919
高钾,Na2O,CaO,14,0.6358392086
高钾,Na2O,CaO,16,0.7907549259
高钾,Na2O,CaO,18,1
高钾,Na2O,CaO,21,0.8801983976
高钾,Na2O,CaO,22,0.9542258376
高钾,Na2O,CaO,27,0.973554649
高钾,Na2O,MgO,01,0.8903591682
高钾,Na2O,MgO,03部位1,1
高钾,Na2O,MgO,03部位2,0.8642201835
高钾,Na2O,MgO,04,0.8191304348
高钾,Na2O,MgO,05,0.7996604414
高钾,Na2O,MgO,06部位1,0.7810945274
高钾,Na2O,MgO,06部位2,0.803297328
高钾,Na2O,MgO,07,1
高钾,Na2O,MgO,09,1
高钾,Na2O,MgO,10,1
高钾,Na2O,MgO,12,1
高钾,Na2O,MgO,13,0.5931721195
高钾,Na2O,MgO,14,0.5823659702
高钾,Na2O,MgO,16,0.699303214
高钾,Na2O,MgO,18,0.8219895288
高钾,Na2O,MgO,21,0.8527459264
高钾,Na2O,MgO,22,0.9169370539
高钾,Na2O,MgO,27,0.9289940828
高钾,Na2O,Al2O3,01,0.9205097087
高钾,Na2O,Al2O3,03部位1,0.9180956224
高钾,Na2O,Al2O3,03部位2,0.8921780043
高钾,Na2O,Al2O3,04,0.8760346487
高钾,Na2O,Al2O3,05,0.8585172609
高钾,Na2O,Al2O3,06部位1,0.8032121426
高钾,Na2O,Al2O3,06部位2,0.8191144708
高钾,Na2O,Al2O3,07,0.958307012
高钾,Na2O,Al2O3,09,0.9718129404
高钾,Na2O,Al2O3,10,0.9825129534
高钾,Na2O,Al2O3,12,0.9689163296
高钾,Na2O,Al2O3,13,0.6449547168
高钾,Na2O,Al2O3,14,0.6219915087
高钾,Na2O,Al2O3,16,0.7310995461
高钾,Na2O,Al2O3,18,0.9371911038
高钾,Na2O,Al2O3,21,0.880270793
高钾,Na2O,Al2O3,22,0.9285860029
高钾,Na2O,Al2O3,27,0.9477301125
高钾,Na2O,Fe2O3,01,0.8768141593
高钾,Na2O,Fe2O3,03部位1,1
高钾,Na2O,Fe2O3,03部位2,0.8514953592
高钾,Na2O,Fe2O3,04,0.8573901004
高钾,Na2O,Fe2O3,05,0.8253915362
高钾,Na2O,Fe2O3,06部位1,0.8382402707
高钾,Na2O,Fe2O3,06部位2,0.6721845319
高钾,Na2O,Fe2O3,07,0.9864595779
高钾,Na2O,Fe2O3,09,0.9748130657
高钾,Na2O,Fe2O3,10,0.9794385132
高钾,Na2O,Fe2O3,12,0.9771203156
高钾,Na2O,Fe2O3,13,0.6880835153
高钾,Na2O,Fe2O3,14,0.5649142573
高钾,Na2O,Fe2O3,16,0.6804178516
高钾,Na2O,Fe2O3,18,1
高钾,Na2O,Fe2O3,21,0.8393764825
高钾,Na2O,Fe2O3,22,0.9725166863
高钾,Na2O,Fe2O3,27,0.9841080652
高钾,Na2O,CuO,01,0.8336914482
高钾,Na2O,CuO,03部位1,0.9613478692
高钾,Na2O,CuO,03部位2,0.7921600653
高钾,Na2O,CuO,04,0.8989805375
高钾,Na2O,CuO,05,0.8557565064
高钾,Na2O,CuO,06部位1,0.8854404382
高钾,Na2O,CuO,06部位2,0.8989805375
高钾,Na2O,CuO,07,0.8568904594
高钾,Na2O,CuO,09,0.9260143198
高钾,Na2O,CuO,10,0.9584980237
高钾,Na2O,CuO,12,0.9216152019
高钾,Na2O,CuO,13,0.6934635374
高钾,Na2O,CuO,14,0.5598086224
高钾,Na2O,CuO,16,0.6903967618
高钾,Na2O,CuO,18,1
高钾,Na2O,CuO,21,0.8553791887
高钾,Na2O,CuO,22,0.9724310777
高钾,Na2O,CuO,27,0.9264565425
高钾,Na2O,PbO,01,1
高钾,Na2O,PbO,03部位1,0.9080882353
高钾,Na2O,PbO,03部位2,0.6365979381
高钾,Na2O,PbO,04,1
高钾,Na2O,PbO,05,1
高钾,Na2O,PbO,06部位1,0.925093633
高钾,Na2O,PbO,06部位2,0.8758865248
高钾,Na2O,PbO,07,1
高钾,Na2O,PbO,09,1
高钾,Na2O,PbO,10,1
高钾,Na2O,PbO,12,1
高钾,Na2O,PbO,13,0.5931721195
高钾,Na2O,PbO,14,0.8660399728
高钾,Na2O,PbO,16,0.6853715016
高钾,Na2O,PbO,18,1
高钾,Na2O,PbO,21,0.711815562
高钾,Na2O,PbO,22,1
高钾,Na2O,PbO,27,1
高钾,Na2O,BaO,01,1
高钾,Na2O,BaO,03部位1,1
高钾,Na2O,BaO,03部位2,0.5565891473
高钾,Na2O,BaO,04,1
高钾,Na2O,BaO,05,1
高钾,Na2O,BaO,06部位1,0.722334004
高钾,Na2O,BaO,06部位2,0.7872807018
高钾,Na2O,BaO,07,1
高钾,Na2O,BaO,09,1
高钾,Na2O,BaO,10,1
高钾,Na2O,BaO,12,1
高钾,Na2O,BaO,13,0.5931721195
高钾,Na2O,BaO,14,0.5523178808
高钾,Na2O,BaO,16,0.6650717703
高钾,Na2O,BaO,18,1
高钾,Na2O,BaO,21,0.6456834532
高钾,Na2O,BaO,22,1
高钾,Na2O,BaO,27,1
高钾,Na2O,P2O5,01,0.8877697842
高钾,Na2O,P2O5,03部位1,0.9334341906
高钾,Na2O,P2O5,03部位2,0.9296835761
高钾,Na2O,P2O5,04,0.9213539074
高钾,Na2O,P2O5,05,0.9077979402
高钾,Na2O,P2O5,06部位1,0.6888723483
高钾,Na2O,P2O5,06部位2,0.6728462377
高钾,Na2O,P2O5,07,0.9381652306
高钾,Na2O,P2O5,09,0.9635606455
高钾,Na2O,P2O5,10,1
高钾,Na2O,P2O5,12,0.9840510367
高钾,Na2O,P2O5,13,0.6457327862
高钾,Na2O,P2O5,14,0.5576424997
高钾,Na2O,P2O5,16,0.6650717703
高钾,Na2O,P2O5,18,0.8718794159
高钾,Na2O,P2O5,21,0.8937711251
高钾,Na2O,P2O5,22,0.9778129952
高钾,Na2O,P2O5,27,0.9625585023
高钾,Na2O,SrO,01,1
高钾,Na2O,SrO,03部位1,1
高钾,Na2O,SrO,03部位2,0.7142857143
高钾,Na2O,SrO,04,1
高钾,Na2O,SrO,05,0.8064516129
高钾,Na2O,SrO,06部位1,0.6944444444
高钾,Na2O,SrO,06部位2,0.6756756757
高钾,Na2O,SrO,07,1
高钾,Na2O,SrO,09,1
高钾,Na2O,SrO,10,1
高钾,Na2O,SrO,12,1
高钾,Na2O,SrO,13,0.5931721195
高钾,Na2O,SrO,14,0.5523178808
高钾,Na2O,SrO,16,0.7442707218
高钾,Na2O,SrO,18,0.78125
高钾,Na2O,SrO,21,1
高钾,Na2O,SrO,22,1
高钾,Na2O,SrO,27,1
高钾,Na2O,SnO2,01,1
高钾,Na2O,SnO2,03部位1,1
高钾,Na2O,SnO2,03部位2,1
高钾,Na2O,SnO2,04,1
高钾,Na2O,SnO2,05,1
高钾,Na2O,SnO2,06部位1,1
高钾,Na2O,SnO2,06部位2,1
高钾,Na2O,SnO2,07,1
高钾,Na2O,SnO2,09,1
高钾,Na2O,SnO2,10,1
高钾,Na2O,SnO2,12,1
高钾,Na2O,SnO2,13,0.5931721195
高钾,Na2O,SnO2,14,0.5523178808
高钾,Na2O,SnO2,16,0.6650717703
高钾,Na2O,SnO2,18,0.3333333333
高钾,Na2O,SnO2,21,1
高钾,Na2O,SnO2,22,1
高钾,Na2O,SnO2,27,1
高钾,Na2O,SO2,01,0.61
高钾,Na2O,SO2,03部位1,1
高钾,Na2O,SO2,03部位2,1
高钾,Na2O,SO2,04,0.6288659794
高钾,Na2O,SO2,05,0.5648148148
高钾,Na2O,SO2,06部位1,1
高钾,Na2O,SO2,06部位2,1
高钾,Na2O,SO2,07,1
高钾,Na2O,SO2,09,1
高钾,Na2O,SO2,10,1
高钾,Na2O,SO2,12,1
高钾,Na2O,SO2,13,0.5931721195
高钾,Na2O,SO2,14,0.5523178808
高钾,Na2O,SO2,16,0.6650717703
高钾,Na2O,SO2,18,1
高钾,Na2O,SO2,21,1
高钾,Na2O,SO2,22,1
高钾,Na2O,SO2,27,1
高钾,K2O,SiO2,01,0.9264638547
高钾,K2O,SiO2,03部位1,0.962156887
高钾,K2O,SiO2,03部位2,0.8799800134
高钾,K2O,SiO2,04,0.9269807079
高钾,K2O,SiO2,05,0.9011005045
高钾,K2O,SiO2,06部位1,0.9685206311
高钾,K2O,SiO2,06部位2,0.9517105469
高钾,K2O,SiO2,07,0.872416544
高钾,K2O,SiO2,09,0.8780690183
高钾,K2O,SiO2,10,0.8807562665
高钾,K2O,SiO2,12,0.8851348317
高钾,K2O,SiO2,13,0.8743731954
高钾,K2O,SiO2,14,0.8822322166
高钾,K2O,SiO2,16,0.8535700597
高钾,K2O,SiO2,18,0.9500231241
高钾,K2O,SiO2,21,0.8920128631
高钾,K2O,SiO2,22,0.8835389204
高钾,K2O,SiO2,27,0.8723084117
高钾,K2O,Na2O,01,0.8411638445
高钾,K2O,Na2O,03部位1,0.9106635683
高钾,K2O,Na2O,03部位2,0.8104940636
高钾,K2O,Na2O,04,0.8454654415
高钾,K2O,Na2O,05,0.8285177355
高钾,K2O,Na2O,06部位1,0.8777270842
高钾,K2O,Na2O,06部位2,0.8732359495
高钾,K2O,Na2O,07,1
高钾,K2O,Na2O,09,0.9889709319
高钾,K2O,Na2O,10,0.9829075708
高钾,K2O,Na2O,12,0.9812668089
高钾,K2O,Na2O,13,0.6622203732
高钾,K2O,Na2O,14,0.6058407511
高钾,K2O,Na2O,16,0.7849435853
高钾,K2O,Na2O,18,0.848856799
高钾,K2O,Na2O,21,1
高钾,K2O,Na2O,22,0.986205611
高钾,K2O,Na2O,27,1
高钾,K2O,CaO,01,0.9900373966
高钾,K2O,CaO,03部位1,0.9663281085
高钾,K2O,CaO,03部位2,0.9532115659
高钾,K2O,CaO,04,0.9603494549
高钾,K2O,CaO,05,0.9762464923
高钾,K2O,CaO,06部位1,0.8777270842
高钾,K2O,CaO,06部位2,0.9755258979
高钾,K2O,CaO,07,0.9674237916
高钾,K2O,CaO,09,0.9917098206
高钾,K2O,CaO,10,0.9893340771
高钾,K2O,CaO,12,0.9964449371
高钾,K2O,CaO,13,0.9643653211
高钾,K2O,CaO,14,0.9738180526
高钾,K2O,CaO,16,0.9860033257
高钾,K2O,CaO,18,0.848856799
高钾,K2O,CaO,21,0.8709095916
高钾,K2O,CaO,22,0.9631561422
高钾,K2O,CaO,27,0.9712679312
高钾,K2O,MgO,01,0.9481155739
高钾,K2O,MgO,03部位1,0.9106635683
高钾,K2O,MgO,03部位2,0.9409856458
高钾,K2O,MgO,04,0.9454617787
高钾,K2O,MgO,05,0.9382093893
高钾,K2O,MgO,06部位1,0.8577073344
高钾,K2O,MgO,06部位2,0.8916603345
高钾,K2O,MgO,07,1
高钾,K2O,MgO,09,0.9889709319
高钾,K2O,MgO,10,0.9829075708
高钾,K2O,MgO,12,0.9812668089
高钾,K2O,MgO,13,0.8085122641
高钾,K2O,MgO,14,0.8846589502
高钾,K2O,MgO,16,0.8373110353
高钾,K2O,MgO,18,0.9453713868
高钾,K2O,MgO,21,0.8417113745
高钾,K2O,MgO,22,0.9219437801
高钾,K2O,MgO,27,0.9231583563
高钾,K2O,Al2O3,01,0.9134201492
高钾,K2O,Al2O3,03部位1,0.9990539366
高钾,K2O,Al2O3,03部位2,0.9072734194
高钾,K2O,Al2O3,04,0.9721242897
高钾,K2O,Al2O3,05,0.9732320483
高钾,K2O,Al2O3,06部位1,0.8869127442
高钾,K2O,Al2O3,06部位2,0.9129712703
高钾,K2O,Al2O3,07,0.9547631008
高钾,K2O,Al2O3,09,0.9799744594
高钾,K2O,Al2O3,10,0.9980108025
高钾,K2O,Al2O3,12,0.9844010654
高钾,K2O,Al2O3,13,0.9179074558
高钾,K2O,Al2O3,14,0.9888793576
高钾,K2O,Al2O3,16,0.8876497698
高钾,K2O,Al2O3,18,0.9049198045
高钾,K2O,Al2O3,21,0.8709867775
高钾,K2O,Al2O3,22,0.9347842153
高钾,K2O,Al2O3,27,0.9433403184
高钾,K2O,Fe2O3,01,0.9654104977
高钾,K2O,Fe2O3,03部位1,0.9106635683
高钾,K2O,Fe2O3,03部位2,0.9579608381
高钾,K2O,Fe2O3,04,0.9983604409
高钾,K2O,Fe2O3,05,0.97713037
高钾,K2O,Fe2O3,06部位1,0.9338383162
高钾,K2O,Fe2O3,06部位2,0.7215327976
高钾,K2O,Fe2O3,07,0.9852718622
高钾,K2O,Fe2O3,09,0.9832977938
高钾,K2O,Fe2O3,10,0.994557342
高钾,K2O,Fe2O3,12,0.9936316012
高钾,K2O,Fe2O3,13,0.9838625463
高钾,K2O,Fe2O3,14,0.8416455769
高钾,K2O,Fe2O3,16,0.8080657109
高钾,K2O,Fe2O3,18,0.848856799
高钾,K2O,Fe2O3,21,0.827542696
高钾,K2O,Fe2O3,22,0.9834886297
高钾,K2O,Fe2O3,27,0.9827176972
高钾,K2O,CuO,01,0.9723699968
高钾,K2O,CuO,03部位1,0.9484833842
高钾,K2O,CuO,03部位2,0.9506480104
高钾,K2O,CuO,04,0.9430357375
高钾,K2O,CuO,05,0.9771236944
高钾,K2O,CuO,06部位1,0.9984088894
高钾,K2O,CuO,06部位2,0.9777172299
高钾,K2O,CuO,07,0.8461104329
高钾,K2O,CuO,09,0.9294908121
高钾,K2O,CuO,10,0.9710961887
高钾,K2O,CuO,12,0.9315040395
高钾,K2O,CuO,13,0.9721186601
高钾,K2O,CuO,14,0.8293727254
高钾,K2O,CuO,16,0.8234591717
高钾,K2O,CuO,18,0.848856799
高钾,K2O,CuO,21,0.8445059803
高钾,K2O,CuO,22,0.9833932849
高钾,K2O,CuO,27,0.9204301272
高钾,K2O,PbO,01,0.8411638445
高钾,K2O,PbO,03部位1,0.9880201694
高钾,K2O,PbO,03部位2,0.7205357231
高钾,K2O,PbO,04,0.8454654415
高钾,K2O,PbO,05,0.8285177355
高钾,K2O,PbO,06部位1,0.9513607863
高钾,K2O,PbO,06部位2,0.9909331847
高钾,K2O,PbO,07,1
高钾,K2O,PbO,09,0.9889709319
高钾,K2O,PbO,10,0.9829075708
高钾,K2O,PbO,12,0.9812668089
高钾,K2O,PbO,13,0.8085122641
高钾,K2O,PbO,14,0.6746970067
高钾,K2O,PbO,16,0.8156906183
高钾,K2O,PbO,18,0.848856799
高钾,K2O,PbO,21,0.6940098098
高钾,K2O,PbO,22,0.986205611
高钾,K2O,PbO,27,1
高钾,K2O,BaO,01,0.8411638445
高钾,K2O,BaO,03部位1,0.9106635683
高钾,K2O,BaO,03部位2,0.6120825828
高钾,K2O,BaO,04,0.8454654415
高钾,K2O,BaO,05,0.8285177355
高钾,K2O,BaO,06部位1,0.7816670429
高钾,K2O,BaO,06部位2,0.8702584672
高钾,K2O,BaO,07,1
高钾,K2O,BaO,09,0.9889709319
高钾,K2O,BaO,10,0.9829075708
高钾,K2O,BaO,12,0.9812668089
高钾,K2O,BaO,13,0.8085122641
