文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
14,99,True,14,C,高钾,深绿,无风化,无风化,2,无风化,63.1010101,3.414141414,12.4040404,8.313131313,0.6666666667,9.323232323,0.5050505051,0.4747474747,1.636363636,0,0.1616161616,0,0,0
16,98.41,True,16,C,高钾,浅蓝,无风化,无风化,2,无风化,66.23310639,2.133929479,14.75459811,8.403617519,0.5284015852,6.279849609,0.4267858957,1.087287877,0.1117772584,0,0,0.04064627578,0,0
18,97.25,True,18,A,高钾,深蓝,无风化,无风化,4,风化,81.70694087,0,9.686375321,0,1.573264781,3.136246787,0,0,0,0,1.398457584,0.07197943445,2.426735219,0
19,98.76,True,19,A,铅钡,,风化,风化,3,风化,30.01215067,0,0,2.966788173,0.5974078574,3.614823815,1.346699068,3.554070474,43.35763467,5.417172945,8.940866748,0.1923855812,0,0
20,88.41,True,20,A,铅钡,浅蓝,无风化,无风化,4,风化,42.25766316,0,0.803076575,0,0,6.164461034,1.707951589,5.406628209,10.51917204,26.63725823,6.503789164,0,0,0
21,98.52,True,21,A,高钾,蓝绿,无风化,无风化,4,风化,77.8319123,0,0,4.780755177,1.238327243,6.282988226,2.405602923,3.329273244,1.01502233,1.999593991,1.116524564,0,0,0
22,100,True,22,B,高钾,蓝绿,风化,风化,3,风化,92.35,0,0.74,1.66,0.64,3.5,0.35,0.55,0,0,0.21,0,0,0
23未风化点,96.5,True,23,A,铅钡,蓝绿,风化,无风化,1,无风化,55.74093264,8.207253886,0,0.518134715,0.7357512953,1.471502591,0,3.098445596,17.59585492,12.29015544,0,0.3419689119,0,0
24,98.88,True,24,C,铅钡,紫,无风化,无风化,4,风化,32.30177994,0,0,0.4753236246,0,1.608009709,0,8.555825243,29.47006472,26.52710356,0.1415857605,0.9203074434,0,0
25未风化点,97.06,True,25,C,铅钡,浅蓝,风化,无风化,1,无风化,52.14300433,2.379971152,0,0.6490830414,0,1.95755203,1.59695034,1.153925407,32.86626829,6.851432104,0.195755203,0.2060581084,0,0
26,99.82,True,26,C,铅钡,紫,风化,风化,4,风化,19.82568624,0,0,1.442596674,0,0.7012622721,0,10.58906031,29.58324985,32.30815468,3.135644159,0.4508114606,0,1.963534362
26严重风化点,99.89,True,26,C,铅钡,紫,风化,风化,4,风化,3.724096506,0,0.4004404845,3.013314646,0,1.181299429,0,3.603964361,29.95294824,35.48903794,6.046651316,0.620682751,0,15.96756432
27,98.81,True,27,B,高钾,蓝绿,风化,风化,3,风化,93.83665621,0,0,0.9513207165,0.5465033903,2.540228722,0.2024086631,1.558546706,0,0,0.3643355936,0,0,0
28未风化点,98.69,True,28,A,铅钡,浅蓝,风化,无风化,2,无风化,68.98368629,0,0.2634512109,1.35778701,1.013273888,4.762387273,0.4154422941,0.334380383,17.36751444,4.093626507,1.053804843,0.1215928666,0.2330529942,0
29未风化点,99.88,True,29,A,铅钡,浅蓝,风化,无风化,2,无风化,63.37605126,0.9211053264,0.3003604325,2.983580296,1.491790148,14.35722867,0.8109731678,0.7408890669,12.32478975,2.032438927,0.4104925911,0.2503003604,0,0
30部位1,97.95,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,35.05870342,0,1.439509954,4.583971414,1.000510465,4.441041348,2.164369576,0,40.04083716,10.50535988,0,0.3573251659,0.4083716182,0
30部位2,98.7,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,37.41641337,0,0,4.295845998,0.5167173252,3.910840932,2.776089159,0,38.23708207,10.48632219,1.428571429,0.4863221884,0.4457953394,0
31,98.43,True,31,C,铅钡,紫,无风化,无风化,2,无风化,66.96129229,0,0,1.625520675,0.9041958752,3.159605811,4.663212435,0.4470181855,16.81397948,3.474550442,1.645839683,0.3047851265,0,0
32,98.66,True,32,C,铅钡,浅绿,无风化,无风化,2,无风化,70.65680114,0,0.2128522197,0.4662477194,0,2.392053517,1.013581999,0.1114940199,20.0283803,4.946280154,0.1723089398,0,0,0
33,99.96,True,33,C,铅钡,深绿,无风化,无风化,2,无风化,75.54021609,0,0.150060024,0.6402561024,1.00040016,2.350940376,0,0.4701880752,16.16646659,3.551420568,0.1300520208,0,0,0
34,97.52,True,34,C,铅钡,深绿,风化,风化,3,风化,36.68990976,0,0.2563576702,0.7998359311,0,1.661197703,0.48195242,1.548400328,47.7337982,10.25430681,0.3486464315,0.2255947498,0,0
35,96.21,True,35,C,铅钡,浅绿,无风化,无风化,2,无风化,68.50639227,0,0,0.3949693379,0,1.496725912,0.1766968091,0.1663028791,22.91861553,5.903752209,0.4365450577,0,0,0
36,97.63,True,36,C,铅钡,深绿,风化,风化,3,风化,40.53057462,2.273891222,0.1433985455,0.3789818703,0,1.63884052,0.3277681041,0.6965072211,42.62009628,11.09290177,0.07169927276,0.2253405715,0,0
37,99.98,True,37,C,铅钡,深绿,无风化,无风化,2,无风化,60.13202641,0,0.2300460092,0.8901780356,0,2.720544109,0,3.01060212,17.24344869,10.34206841,1.460292058,0.3100620124,0,3.660732146
38,98.57,True,38,C,铅钡,深绿,风化,风化,3,风化,33.40773055,1.40002029,0,0.6898650705,0,2.607284164,0.2942071624,0.7405904433,50.02536269,9.932028,0.4869635792,0.4159480572,0,0
39,98.76,True,39,C,铅钡,深绿,风化,风化,3,风化,26.57958688,0,0,1.123936817,0,0.5062778453,0,0.8910490077,61.7962738,7.310652086,1.174564601,0.6176589712,0,0
40,98.57,True,40,C,铅钡,,风化,风化,3,风化,16.9524196,0,0,1.897128944,0,0.4565283555,0.1927564168,0,71.22856853,6.787054885,1.795678198,0.6898650705,0,0
41,93.71,True,41,C,铅钡,浅绿,风化,风化,3,风化,19.6990716,0,0.4695336677,5.292924981,2.913242984,3.553516167,1.91014833,0.2027531747,47.08142141,10.41511045,7.960729911,0.5015473269,0,0
42未风化点1,98.01,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,52.30078563,5.85654525,0.1530456076,0.8060402,1.112131415,3.601673299,0,2.724211815,22.32425263,10.68258341,0.08162432405,0.3571064177,0,0
42未风化点2,97.9,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,52.43105209,5.801838611,0.3575076609,0,1.184882533,5.781409602,0,2.77834525,20.55158325,11.113381,0,0,0,0
43部位1,94.68,True,43,C,铅钡,浅蓝,风化,风化,3,风化,13.10730883,0,0,5.53443177,0.9400084495,2.376425856,0.8027038445,5.65061259,63.21292776,7.699619772,0,0.6759611322,0,0
43部位2,96.67,True,43,C,铅钡,浅蓝,风化,风化,3,风化,22.44750181,0,0,6.620461363,0.9827247336,3.52746457,1.437881452,1.562015103,46.29150719,3.372297507,13.27195614,0.4861901314,0,0
44未风化点,99.12,True,44,A,铅钡,浅蓝,风化,无风化,2,无风化,61.27925747,3.08716707,0.2017756255,2.158999193,0,12.80266344,0.7768361582,0.4338175948,13.73083132,5.266343826,0,0.2623083132,0,0
45,98.34,True,45,A,铅钡,浅蓝,无风化,无风化,2,无风化,62.31441936,2.704901363,0.1118568233,0.8541793777,0.7524913565,5.084401058,0,0.5389465121,16.25991458,11.14500712,0,0.2338824486,0,0
46,98.63,True,46,A,铅钡,浅蓝,无风化,无风化,1,无风化,55.9768833,0,0.2534725743,0,1.693196796,4.856534523,0,0.7806955287,25.60073,10.19973639,0.2027780594,0.4359728277,0,0
47,97.26,True,47,A,铅钡,浅蓝,无风化,无风化,1,无风化,52.99198026,4.791281102,0.298169854,0.894509562,0.6271848653,3.146206046,0,0.6683117417,26.11556652,9.490026732,0.102817191,0.8739461238,0,0
48,99.17,True,48,A,铅钡,,风化,风化,2,无风化,53.77634365,0.8066955733,0.3226782293,2.843601896,1.552888979,13.76424322,1.038620551,0,15.84148432,7.371180801,1.109206413,0.2520923666,1.320964001,0
49,95.5,True,49,A,铅钡,黑,风化,风化,3,风化,30.14659686,0,0,4.795811518,1.539267016,5.633507853,2.869109948,0.7329842932,35.79057592,6.387434555,11.62303665,0.4816753927,0,0
49未风化点,98.24,True,49,A,铅钡,黑,风化,无风化,1,无风化,55.58835505,0,0.3053745928,2.117263844,1.221498371,6.616449511,1.292752443,0.4580618893,23.43241042,4.265065147,4.397394137,0.3053745928,0,0
50,90.17,True,50,A,铅钡,黑,风化,风化,3,风化,19.94011312,0,0,3.537762005,0.5212376622,2.073860486,0.3659753798,1.253188422,48.79671731,15.7480315,7.031163358,0.7319507597,0,0
50未风化点,96.94,True,50,A,铅钡,黑,风化,无风化,1,无风化,46.44109759,0,0,3.218485661,0.5570455952,4.291314215,0,0.7220961419,31.57623272,6.416340004,6.540127914,0.2372601609,0,0
51部位1,95.33,True,51,C,铅钡,浅蓝,风化,风化,3,风化,25.81558796,0,0,3.755376062,1.248295395,5.507185566,1.248295395,1.437113186,42.21126613,9.377950278,8.496800587,0.4091052135,0.4930242316,0
51部位2,91.7,True,51,C,铅钡,浅蓝,风化,风化,3,风化,23.28244275,0,0,5.594329335,1.581243184,2.737186478,0.4580152672,0.8178844057,55.98691385,0,9.541984733,0,0,0
52,94.08,True,52,C,铅钡,浅蓝,风化,风化,3,风化,27.35969388,1.296768707,0,2.412840136,0.5846088435,1.232993197,0.2444727891,0.744047619,50.40391156,9.183673469,6.069302721,0.4676870748,0,0
53未风化点,98.25,True,53,A,铅钡,浅蓝,风化,无风化,2,无风化,64.79389313,3.094147583,0.1119592875,0.7938931298,1.160305344,6.167938931,0,0.5496183206,13.90330789,9.150127226,0,0.2748091603,0,0
54,99.67,True,54,C,铅钡,浅蓝,风化,风化,3,风化,22.35376743,0,0.3210594963,3.200561854,1.284237985,4.163740343,0,0.8327480686,55.64362396,7.063308919,4.254038326,0.8829136149,0,0
54严重风化点,96.92,True,54,C,铅钡,浅蓝,风化,风化,3,风化,17.65373504,0,0,0,1.145274453,3.765992571,0,1.382583574,60.31778787,0,14.57903426,1.155592241,0,0
55,96.38,True,55,C,铅钡,绿,无风化,无风化,1,无风化,50.85079892,2.811786678,0,1.172442415,0,1.504461507,0,0.8923013073,34.156464,8.248599294,0.3631458809,0,0,0
56,92.24,True,56,C,铅钡,蓝绿,风化,风化,3,风化,31.60234172,0,0,1.311795317,0,2.005637467,0,0.856461405,44.72029488,16.74978317,2.753686036,0,0,0
57,92.47,True,57,C,铅钡,蓝绿,风化,风化,3,风化,27.48999676,0,0,1.416675679,0,2.357521358,0,1.254460906,48.77257489,18.70877041,0,0,0,0
58,98.76,True,58,C,铅钡,,风化,风化,3,风化,30.77156744,0,0.3442689348,3.53381936,0.7999189955,3.564196031,0.8707978939,3.169299311,39.84406642,7.75617659,9.102875658,0.2430133657,0,0
