分组口径,类型,风化,数据空间,成分,n,均值,标准差,最小值,Q1,中位数,Q3,最大值,偏度,超额峰度,CV
文物风化,高钾,风化,closed,K2O,6,0.5445788686,0.4464224944,0,0.1478400321,0.6656800641,0.8763134956,1.014361756,-0.5331296504,-1.908930579,0.8197572844
文物风化,高钾,风化,closed,CaO,6,0.8732464654,0.4879313036,0.2103997595,0.6468493081,0.8372150434,1.042744923,1.66,0.4774416172,0.9419049716,0.5587555437
文物风化,高钾,风化,closed,MgO,6,0.1977505651,0.30777727,0,0,0,0.4098775428,0.64,1.008237264,-1.634621717,1.556391356
文物风化,高钾,风化,closed,Al2O3,6,1.937846106,0.9668918465,0.8115419297,1.358858527,1.726131493,2.40166101,3.5,0.7516661232,0.06795383286,0.4989518226
文物风化,高钾,风化,closed,Fe2O3,6,0.26590087,0.06911157685,0.1705115346,0.2169302324,0.2758736628,0.3133663688,0.35,-0.3163302747,-1.386037136,0.2599148203
文物风化,高钾,风化,closed,CuO,6,1.568432308,0.9381367326,0.55,1.019592583,1.556059962,1.632480907,3.249749248,1.203839767,2.196060027,0.5981365772
文物风化,高钾,风化,closed,PbO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,closed,BaO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,closed,P2O5,6,0.2812709569,0.210837952,0,0.1654858391,0.2804034279,0.3609534091,0.6118355065,0.3901295346,0.3344833055,0.749590197
文物风化,高钾,风化,closed,SrO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,closed,SnO2,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,closed,SO2,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,SiO2,6,4.187044865,0.1873876936,3.830498276,4.180163869,4.246027057,4.262904437,4.372977095,-1.731995181,3.641136233,
文物风化,高钾,风化,paper_clr,Na2O,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,K2O,6,-0.3284779771,0.32750848,-0.8240683296,-0.5149017562,-0.2772555194,-0.06794237393,0,-0.5885699231,-0.8674760357,
文物风化,高钾,风化,paper_clr,CaO,6,-0.6648166858,0.639727277,-1.760007682,-0.738467576,-0.6203400161,-0.4745873832,0.2156342013,-0.7094830745,2.287841527,
文物风化,高钾,风化,paper_clr,MgO,6,-0.2868594087,0.4511697834,-0.9836859488,-0.5531028778,0,0,0,-1.095736014,-1.112630534,
文物风化,高钾,风化,paper_clr,Al2O3,6,0.1945293936,0.4860563263,-0.4100809655,-0.01785737378,0.04084933338,0.4387663601,0.9615795674,0.6699126941,0.02539008711,
文物风化,高钾,风化,paper_clr,Fe2O3,6,-1.714985419,0.4296808351,-2.470071629,-1.869311687,-1.533013882,-1.456800949,-1.341005526,-1.369694513,1.095297337,
文物风化,高钾,风化,paper_clr,CuO,6,-0.06001962811,0.4916506324,-0.8890204018,-0.2642143392,0.1030509752,0.1997464318,0.4774585427,-1.043687769,0.6195981607,
文物风化,高钾,风化,paper_clr,PbO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,BaO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,P2O5,6,-1.32641514,0.7462377008,-2.178839811,-1.736161126,-1.367704384,-1.23087276,0,1.13440735,2.101884233,
文物风化,高钾,风化,paper_clr,SrO,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,SnO2,6,0,0,0,0,0,0,0,,,
文物风化,高钾,风化,paper_clr,SO2,6,0,0,0,0,0,0,0,,,
文物风化,铅钡,无风化,raw,SiO2,13,53.44384615,14.58727101,31.94,37.36,55.21,65.91,75.51,-0.1893230709,-1.339328407,0.2729457564
文物风化,铅钡,无风化,raw,Na2O,13,0.7715384615,1.538309928,0,0,0,0,4.66,1.845654621,2.449809946,1.993821443
文物风化,铅钡,无风化,raw,K2O,13,0.2584615385,0.3981173645,0,0,0.15,0.25,1.41,2.384944499,6.077688702,1.540335041
文物风化,铅钡,无风化,raw,CaO,13,1.231538462,1.457702794,0,0.46,0.84,1.13,4.49,1.789018423,2.200300946,1.183643743
文物风化,铅钡,无风化,raw,MgO,13,0.4923076923,0.5454685119,0,0,0.51,0.89,1.67,0.754933746,-0.1456167967,1.107982915
文物风化,铅钡,无风化,raw,Al2O3,13,3.194615385,1.385241347,1.44,2.35,3.06,4.35,5.45,0.2636997068,-1.254726928,0.4336175659
文物风化,铅钡,无风化,raw,Fe2O3,13,0.9330769231,1.44513197,0,0,0,1.51,4.59,1.649150048,2.308100634,1.548781171
文物风化,铅钡,无风化,raw,CuO,13,1.556923077,2.490918119,0,0.16,0.53,0.86,8.46,2.210291503,4.698428505,1.599898002
文物风化,铅钡,无风化,raw,PbO,13,23.59384615,9.094393455,9.3,16.55,22.05,29.14,39.22,0.4192021315,-0.6891952524,0.3854561649
文物风化,铅钡,无风化,raw,BaO,13,10.49923077,6.949783524,3.42,5.68,10.06,10.35,26.23,1.501367494,1.786239606,0.6619326383
文物风化,铅钡,无风化,raw,P2O5,13,0.9038461538,1.570581307,0,0.13,0.2,1.41,5.75,2.810252371,8.651512577,1.737664424
文物风化,铅钡,无风化,raw,SrO,13,0.2969230769,0.3137510854,0,0,0.3,0.43,0.91,0.8835010948,-0.0119926726,1.05667464
文物风化,铅钡,无风化,raw,SnO2,13,0.06461538462,0.1579353974,0,0,0,0,0.44,2.191310701,3.31938463,2.444238293
文物风化,铅钡,无风化,raw,SO2,13,0.2815384615,1.015101359,0,0,0,0,3.66,3.605551275,13,3.605551275
文物风化,铅钡,无风化,closed,SiO2,13,54.68964384,14.36933593,32.30177994,42.25766316,55.9768833,66.96129229,75.54021609,-0.2554335458,-1.242175683,0.2627432713
文物风化,铅钡,无风化,closed,Na2O,13,0.7929207033,1.581286611,0,0,0,0,4.791281102,1.847026616,2.457099078,1.994255674
文物风化,铅钡,无风化,closed,K2O,13,0.2691572334,0.4145015765,0,0,0.150060024,0.2534725743,1.439509954,2.284510797,5.341872626,1.539997909
文物风化,铅钡,无风化,closed,CaO,13,1.253341866,1.483076882,0,0.4662477194,0.8541793777,1.172442415,4.583971414,1.788673689,2.205722506,1.183297966
文物风化,铅钡,无风化,closed,MgO,13,0.4995920648,0.5528870534,0,0,0.5167173252,0.9041958752,1.693196796,0.7506272556,-0.1490777705,1.106677012
文物风化,铅钡,无风化,closed,Al2O3,13,3.295063529,1.498043429,1.496725912,2.350940376,3.146206046,4.441041348,6.164461034,0.491213136,-0.7442486303,0.4546326392
文物风化,铅钡,无风化,closed,Fe2O3,13,0.961684736,1.474491377,0,0,0,1.707951589,4.663212435,1.601658636,2.12051665,1.533237788
文物风化,铅钡,无风化,closed,CuO,13,1.619101063,2.582342811,0,0.1663028791,0.5389465121,0.8923013073,8.555825243,2.113827956,3.99419548,1.594923794
文物风化,铅钡,无风化,closed,PbO,13,24.12082474,9.206725035,10.51917204,16.81397948,22.91861553,29.47006472,40.04083716,0.4709324744,-0.8118615477,0.3816919667
文物风化,铅钡,无风化,closed,BaO,13,10.88134501,7.481186607,3.474550442,5.903752209,10.19973639,10.50535988,26.63725823,1.549393621,1.766378979,0.6875240697
文物风化,铅钡,无风化,closed,P2O5,13,0.9682865573,1.766201034,0,0.1300520208,0.2027780594,1.428571429,6.503789164,2.953016388,9.440715938,1.824047871
文物风化,铅钡,无风化,closed,SrO,13,0.3017387182,0.31952342,0,0,0.3047851265,0.4359728277,0.9203074434,0.8913285334,-0.004289981201,1.058940735
文物风化,铅钡,无风化,closed,SnO2,13,0.06570515058,0.1605661065,0,0,0,0,0.4457953394,2.189385351,3.30467921,2.443736983
文物风化,铅钡,无风化,closed,SO2,13,0.2815947805,1.01530442,0,0,0,0,3.660732146,3.605551275,13,3.605551275
文物风化,铅钡,无风化,paper_clr,SiO2,13,3.013742723,0.6461945409,1.85952359,2.45950272,3.17483028,3.407238952,3.871521333,-0.3013048169,-0.9568149442,
文物风化,铅钡,无风化,paper_clr,Na2O,13,0.07113134842,0.2620873603,-0.2217215493,0,0,0,0.8763175292,2.741761619,8.623783306,
文物风化,铅钡,无风化,paper_clr,K2O,13,-1.288085438,1.158091019,-2.915489487,-2.222608177,-1.900572275,0,0,0.1040472641,-1.951126853,
文物风化,铅钡,无风化,paper_clr,CaO,13,-0.7148611633,0.7057226473,-1.99083656,-1.146601164,-0.8825679605,0,0.3401138015,0.0624548834,-0.6716850202,
文物风化,铅钡,无风化,paper_clr,MgO,13,-0.5411471179,0.6298533762,-1.822866062,-1.085910035,-0.3234901899,0,0,-0.7507613902,-0.7171711206,
文物风化,铅钡,无风化,paper_clr,Al2O3,13,0.1388817458,0.5161250857,-0.8471066277,-0.06546141456,0.2011456749,0.455716997,0.9012233391,-0.7167110969,0.2142837717,
文物风化,铅钡,无风化,paper_clr,Fe2O3,13,-0.3064673871,0.7282048769,-2.26490362,-0.3728224464,0,0,0.5545038057,-1.989759953,4.165085595,
文物风化,铅钡,无风化,paper_clr,CuO,13,-0.9257207362,1.021664488,-2.58009736,-1.369493074,-1.09767858,0,0.8995351977,0.08662027539,-0.6613009401,
文物风化,铅钡,无风化,paper_clr,PbO,13,2.160856237,0.5757512905,0.4689373769,2.063748954,2.328148322,2.507447921,2.610837246,-2.363412096,6.556375702,
文物风化,铅钡,无风化,paper_clr,BaO,13,1.245668628,0.4387095726,0.2602643327,1.16943365,1.244004455,1.472253348,2.031089818,-0.5625819429,1.405046014,
文物风化,铅钡,无风化,paper_clr,P2O5,13,-1.449052464,1.185383217,-3.201926832,-2.445751729,-1.360447346,-0.4869500692,0,-0.06939416409,-1.684970163,
文物风化,铅钡,无风化,paper_clr,SrO,13,-1.114089769,0.9953523557,-2.211561025,-2.173349023,-1.330124655,0,0,0.1290226648,-2.023534061,
文物风化,铅钡,无风化,paper_clr,SnO2,13,-0.3114255148,0.7604970664,-2.078029632,0,0,0,0,-2.182646714,3.25318718,
文物风化,铅钡,无风化,paper_clr,SO2,13,0.0205689077,0.07416225138,0,0,0,0,0.2673958001,3.605551275,13,
点位风化,高钾,无风化,raw,SiO2,12,67.98416667,8.755098731,59.01,61.6775,65.53,71.1675,87.05,1.158092024,0.5363730586,0.1287814378
点位风化,高钾,无风化,raw,Na2O,12,0.695,1.286916682,0,0,0,0.525,3.38,1.497490301,0.5591716158,1.851678679
点位风化,高钾,无风化,raw,K2O,12,9.330833333,3.920302535,0,7.6025,9.83,12.3025,14.52,-1.20344678,1.900331883,0.4201449533
点位风化,高钾,无风化,raw,CaO,12,5.3325,3.092478044,0,4.035,6.095,7.57,8.7,-0.8752475541,-0.5176953712,0.5799302474
点位风化,高钾,无风化,raw,MgO,12,1.079166667,0.6761449325,0,0.625,1.165,1.6025,1.98,-0.4338003221,-1.014588759,0.6265435668
点位风化,高钾,无风化,raw,Al2O3,12,6.62,2.491509218,3.05,5.14,6.185,7.9325,11.15,0.4821727784,-0.4922455044,0.376360909
点位风化,高钾,无风化,raw,Fe2O3,12,1.931666667,1.666694242,0,0.48,2.11,2.4475,6.04,1.175870417,2.567947838,0.8628270451
点位风化,高钾,无风化,raw,CuO,12,2.4525,1.659989732,0,0.9975,2.345,3.4275,5.09,0.1005956501,-1.058214172,0.6768561597
点位风化,高钾,无风化,raw,PbO,12,0.4116666667,0.5889873179,0,0,0.155,0.5125,1.62,1.373589166,0.4179671007,1.430738424
点位风化,高钾,无风化,raw,BaO,12,0.5983333333,0.9821019511,0,0,0,1.0725,2.86,1.493083471,1.238170108,1.641396019
点位风化,高钾,无风化,raw,P2O5,12,1.4025,1.433959078,0,0.69,1.02,1.2925,4.5,1.677553079,1.876197359,1.022430715
点位风化,高钾,无风化,raw,SrO,12,0.04166666667,0.04839859753,0,0,0.02,0.0775,0.12,0.5707242024,-1.452238803,1.161566341
点位风化,高钾,无风化,raw,SnO2,12,0.1966666667,0.6812733176,0,0,0,0,2.36,3.464101615,12,3.464101615
点位风化,高钾,无风化,raw,SO2,12,0.1016666667,0.1855132112,0,0,0,0.09,0.47,1.396431226,0.05546322247,1.82472011
点位风化,高钾,无风化,closed,SiO2,12,69.23145232,8.701644636,60.12838802,62.92800272,67.31085162,72.72864706,87.05,1.008050658,0.0256824657,0.1256891824
点位风化,高钾,无风化,closed,Na2O,12,0.7051895909,1.305063371,0,0,0,0.5334823697,3.414141414,1.492935765,0.5326725063,1.850656033
点位风化,高钾,无风化,closed,K2O,12,9.515033946,4.001146602,0,7.690216417,10.15061607,12.43055862,14.75459811,-1.227167414,1.869845416,0.4205078642
点位风化,高钾,无风化,closed,CaO,12,5.440411982,3.163653999,0,4.088066382,6.205617557,7.790126161,8.864886896,-0.8738360258,-0.5535073125,0.581510005
