风化,fold,set,文物编号,文物采样点
无风化,4,train,45,45
无风化,4,train,46,46
无风化,4,train,47,47
无风化,4,train,48,48
无风化,4,train,50,50未风化点
无风化,4,train,53,53未风化点
无风化,4,train,55,55
无风化,4,test,03,03部位2
无风化,4,test,13,13
无风化,4,test,32,32
无风化,4,test,33,33
无风化,4,test,35,35
无风化,4,test,49,49未风化点
无风化,5,train,01,01
无风化,5,train,03,03部位2
无风化,5,train,04,04
无风化,5,train,05,05
无风化,5,train,06,06部位1
无风化,5,train,06,06部位2
无风化,5,train,13,13
无风化,5,train,16,16
无风化,5,train,25,25未风化点
无风化,5,train,29,29未风化点
无风化,5,train,31,31
无风化,5,train,32,32
无风化,5,train,33,33
无风化,5,train,35,35
无风化,5,train,37,37
无风化,5,train,42,42未风化点1
无风化,5,train,42,42未风化点2
无风化,5,train,45,45
无风化,5,train,46,46
无风化,5,train,47,47
无风化,5,train,48,48
无风化,5,train,49,49未风化点
无风化,5,train,50,50未风化点
无风化,5,train,53,53未风化点
无风化,5,test,14,14
无风化,5,test,23,23未风化点
无风化,5,test,28,28未风化点
无风化,5,test,44,44未风化点
无风化,5,test,55,55
风化,1,train,02,02
风化,1,train,03,03部位1
风化,1,train,08,08
风化,1,train,08,08严重风化点
风化,1,train,09,09
风化,1,train,10,10
风化,1,train,11,11
风化,1,train,12,12
风化,1,train,19,19
风化,1,train,20,20
风化,1,train,21,21
风化,1,train,22,22
风化,1,train,24,24
风化,1,train,27,27
风化,1,train,30,30部位1
风化,1,train,30,30部位2
风化,1,train,36,36
风化,1,train,38,38
风化,1,train,39,39
风化,1,train,41,41
风化,1,train,43,43部位1
风化,1,train,43,43部位2
风化,1,train,49,49
风化,1,train,50,50
风化,1,train,51,51部位1
风化,1,train,51,51部位2
风化,1,train,52,52
风化,1,train,56,56
风化,1,train,57,57
风化,1,train,58,58
风化,1,test,07,07
风化,1,test,18,18
风化,1,test,26,26
风化,1,test,26,26严重风化点
风化,1,test,34,34
风化,1,test,40,40
风化,1,test,54,54
风化,1,test,54,54严重风化点
风化,2,train,02,02
风化,2,train,03,03部位1
风化,2,train,07,07
风化,2,train,09,09
风化,2,train,10,10
风化,2,train,11,11
风化,2,train,18,18
风化,2,train,19,19
风化,2,train,22,22
风化,2,train,26,26
风化,2,train,26,26严重风化点
风化,2,train,27,27
风化,2,train,30,30部位1
风化,2,train,30,30部位2
风化,2,train,34,34
风化,2,train,36,36
风化,2,train,38,38
风化,2,train,39,39
风化,2,train,40,40
风化,2,train,41,41
风化,2,train,43,43部位1
风化,2,train,43,43部位2
风化,2,train,49,49
风化,2,train,51,51部位1
风化,2,train,51,51部位2
风化,2,train,52,52
风化,2,train,54,54
风化,2,train,54,54严重风化点
风化,2,train,56,56
风化,2,train,57,57
风化,2,test,08,08
风化,2,test,08,08严重风化点
风化,2,test,12,12
风化,2,test,20,20
风化,2,test,21,21
风化,2,test,24,24
风化,2,test,50,50
风化,2,test,58,58
风化,3,train,02,02
风化,3,train,03,03部位1
风化,3,train,07,07
风化,3,train,08,08
风化,3,train,08,08严重风化点
风化,3,train,09,09
风化,3,train,10,10
风化,3,train,11,11
风化,3,train,12,12
风化,3,train,18,18
风化,3,train,19,19
风化,3,train,20,20
风化,3,train,21,21
风化,3,train,24,24
风化,3,train,26,26
风化,3,train,26,26严重风化点
风化,3,train,30,30部位1
风化,3,train,30,30部位2
风化,3,train,34,34
风化,3,train,38,38
风化,3,train,39,39
风化,3,train,40,40
风化,3,train,50,50
风化,3,train,51,51部位1
风化,3,train,51,51部位2
风化,3,train,52,52
风化,3,train,54,54
风化,3,train,54,54严重风化点
风化,3,train,57,57
风化,3,train,58,58
风化,3,test,22,22
风化,3,test,27,27
风化,3,test,36,36
风化,3,test,41,41
风化,3,test,43,43部位1
风化,3,test,43,43部位2
风化,3,test,49,49
风化,3,test,56,56
风化,4,train,02,02
风化,4,train,07,07
风化,4,train,08,08
风化,4,train,08,08严重风化点
风化,4,train,10,10
风化,4,train,12,12
风化,4,train,18,18
风化,4,train,19,19
风化,4,train,20,20
风化,4,train,21,21
风化,4,train,22,22
风化,4,train,24,24
风化,4,train,26,26
风化,4,train,26,26严重风化点
风化,4,train,27,27
风化,4,train,34,34
风化,4,train,36,36
风化,4,train,39,39
风化,4,train,40,40
风化,4,train,41,41
风化,4,train,43,43部位1
风化,4,train,43,43部位2
风化,4,train,49,49
风化,4,train,50,50
风化,4,train,51,51部位1
风化,4,train,51,51部位2
风化,4,train,52,52
风化,4,train,54,54
风化,4,train,54,54严重风化点
风化,4,train,56,56
风化,4,train,58,58
风化,4,test,03,03部位1
风化,4,test,09,09
风化,4,test,11,11
风化,4,test,30,30部位1
风化,4,test,30,30部位2
风化,4,test,38,38
风化,4,test,57,57
风化,5,train,03,03部位1
风化,5,train,07,07
风化,5,train,08,08
风化,5,train,08,08严重风化点
风化,5,train,09,09
风化,5,train,11,11
风化,5,train,12,12
风化,5,train,18,18
风化,5,train,20,20
风化,5,train,21,21
风化,5,train,22,22
风化,5,train,24,24
风化,5,train,26,26
风化,5,train,26,26严重风化点
风化,5,train,27,27
风化,5,train,30,30部位1
风化,5,train,30,30部位2
风化,5,train,34,34
风化,5,train,36,36
风化,5,train,38,38
风化,5,train,40,40
风化,5,train,41,41
风化,5,train,43,43部位1
风化,5,train,43,43部位2
风化,5,train,49,49
风化,5,train,50,50
风化,5,train,54,54
风化,5,train,54,54严重风化点
风化,5,train,56,56
风化,5,train,57,57
风化,5,train,58,58
风化,5,test,02,02
风化,5,test,10,10
风化,5,test,19,19
风化,5,test,39,39
风化,5,test,51,51部位1
风化,5,test,51,51部位2
风化,5,test,52,52
