sigma_y,repeat,target,group,week,base_week,feasible,coverage_at_base
0.002,5,90,3,32.5714285714,32.5714285714,True,0.900396091597
0.002,5,95,1,35.5714285714,35.5714285714,True,0.950873647417
0.002,5,95,2,34.8571428571,34.8571428571,True,0.950607768127
0.002,5,95,3,36.5714285714,36.5714285714,True,0.950407011168
0.002,5,99,1,inf,inf,False,
0.002,5,99,2,40,40,True,0.990159749985
0.002,5,99,3,inf,inf,False,
0.002,6,50,1,12.5714285714,12.5714285714,True,0.522799785648
0.002,6,50,2,12,12,True,0.501654684544
0.002,6,50,3,13.8571428571,13.8571428571,True,0.500416014876
0.002,6,75,1,16.8571428571,16.8571428571,True,0.753283057894
0.002,6,75,2,15.8571428571,15.8571428571,True,0.753564953804
0.002,6,75,3,19.2857142857,19.2857142857,True,0.753966331482
0.002,6,90,1,29.4285714286,29.4285714286,True,0.900328593595
0.002,6,90,2,27.5714285714,27.5714285714,True,0.900665768555
0.002,6,90,3,32.5714285714,32.5714285714,True,0.900491774082
0.002,6,95,1,35.5714285714,35.5714285714,True,0.950672319957
0.002,6,95,2,34.8571428571,34.8571428571,True,0.950472286769
0.002,6,95,3,36.5714285714,36.5714285714,True,0.950312895434
0.002,6,99,1,inf,inf,False,
0.002,6,99,2,40,40,True,0.99008834362
0.002,6,99,3,inf,inf,False,
0.002,7,50,1,12.4285714286,12.5714285714,True,0.52418292846
0.002,7,50,2,12,12,True,0.503092288971
0.002,7,50,3,13.8571428571,13.8571428571,True,0.500751337835
0.002,7,75,1,16.7142857143,16.8571428571,True,0.754957735538
0.002,7,75,2,15.7142857143,15.8571428571,True,0.755026740687
0.002,7,75,3,19.2857142857,19.2857142857,True,0.754276292665
0.002,7,90,1,29.4285714286,29.4285714286,True,0.900610404355
0.002,7,90,2,27.5714285714,27.5714285714,True,0.901319614479
0.002,7,90,3,32.5714285714,32.5714285714,True,0.90057851587
0.002,7,95,1,35.5714285714,35.5714285714,True,0.950894279139
0.002,7,95,2,34.8571428571,34.8571428571,True,0.950753007616
0.002,7,95,3,36.5714285714,36.5714285714,True,0.950413371835
0.002,7,99,1,inf,inf,False,
0.002,7,99,2,40,40,True,0.990139722824
0.002,7,99,3,inf,inf,False,
0.002,8,50,1,12.5714285714,12.5714285714,True,0.523740338428
0.002,8,50,2,12,12,True,0.502503991127
0.002,8,50,3,13.8571428571,13.8571428571,True,0.501873531512
0.002,8,75,1,16.8571428571,16.8571428571,True,0.753516537803
0.002,8,75,2,15.7142857143,15.8571428571,True,0.755515021937
0.002,8,75,3,19.2857142857,19.2857142857,True,0.754932497229
0.002,8,90,1,29.4285714286,29.4285714286,True,0.900788332735
0.002,8,90,2,27.5714285714,27.5714285714,True,0.901008503778
0.002,8,90,3,32.5714285714,32.5714285714,True,0.900996438095
0.002,8,95,1,35.5714285714,35.5714285714,True,0.950711062976
0.002,8,95,2,34.8571428571,34.8571428571,True,0.950745769909
0.002,8,95,3,36.5714285714,36.5714285714,True,0.950508373124
0.002,8,99,1,inf,inf,False,
0.002,8,99,2,40,40,True,0.990101754665
0.002,8,99,3,inf,inf,False,
0.002,9,50,1,12.4285714286,12.5714285714,True,0.524145594665
0.002,9,50,2,12,12,True,0.504642367363
0.002,9,50,3,13.8571428571,13.8571428571,True,0.500405775649
0.002,9,75,1,16.8571428571,16.8571428571,True,0.75345230954
0.002,9,75,2,15.7142857143,15.8571428571,True,0.756689293044
0.002,9,75,3,19.2857142857,19.2857142857,True,0.754804176944
0.002,9,90,1,29.4285714286,29.4285714286,True,0.900735659259
0.002,9,90,2,27.4285714286,27.5714285714,True,0.901454865932
0.002,9,90,3,32.5714285714,32.5714285714,True,0.900681512696
0.002,9,95,1,35.5714285714,35.5714285714,True,0.950683278697
0.002,9,95,2,34.8571428571,34.8571428571,True,0.951069678579
0.002,9,95,3,36.5714285714,36.5714285714,True,0.950418719224
0.002,9,99,1,inf,inf,False,
0.002,9,99,2,40,40,True,0.990192592144
0.002,9,99,3,inf,inf,False,
0.002,10,50,1,12.5714285714,12.5714285714,True,0.523305522544
0.002,10,50,2,12,12,True,0.502214491367
0.002,10,50,3,13.8571428571,13.8571428571,True,0.501771803413
0.002,10,75,1,16.8571428571,16.8571428571,True,0.754029529435
0.002,10,75,2,15.8571428571,15.8571428571,True,0.753518342972
0.002,10,75,3,19.2857142857,19.2857142857,True,0.755213975906
0.002,10,90,1,29.2857142857,29.4285714286,True,0.901180216244
0.002,10,90,2,27.5714285714,27.5714285714,True,0.900639704296
0.002,10,90,3,32.5714285714,32.5714285714,True,0.900853582791
0.002,10,95,1,35.5714285714,35.5714285714,True,0.95079432215
0.002,10,95,2,34.8571428571,34.8571428571,True,0.950449304921
0.002,10,95,3,36.5714285714,36.5714285714,True,0.950513030802
0.002,10,99,1,inf,inf,False,
0.002,10,99,2,40,40,True,0.990102410316
0.002,10,99,3,inf,inf,False,
0.002,11,50,1,12.5714285714,12.5714285714,True,0.522435111659
0.002,11,50,2,12,12,True,0.502367794514
0.002,11,50,3,13.7142857143,13.8571428571,True,0.50408921923
0.002,11,75,1,16.8571428571,16.8571428571,True,0.752435692719
0.002,11,75,2,15.8571428571,15.8571428571,True,0.752985783986
0.002,11,75,3,19.1428571429,19.2857142857,True,0.756444317954
0.002,11,90,1,29.4285714286,29.4285714286,True,0.900093078613
0.002,11,90,2,27.5714285714,27.5714285714,True,0.900440514088
0.002,11,90,3,32.5714285714,32.5714285714,True,0.901589393616
0.002,11,95,1,35.5714285714,35.5714285714,True,0.950484556811
0.002,11,95,2,34.8571428571,34.8571428571,True,0.950380699975
0.002,11,95,3,36.5714285714,36.5714285714,True,0.950732503619
0.002,11,99,1,inf,inf,False,
0.002,11,99,2,40,40,True,0.990118503571
0.002,11,99,3,inf,inf,False,
0.002,12,50,1,12.5714285714,12.5714285714,True,0.523926015411
0.002,12,50,2,12,12,True,0.502530574799
0.002,12,50,3,14,13.8571428571,True,0.499795066459
0.002,12,75,1,16.7142857143,16.8571428571,True,0.754522442818
0.002,12,75,2,15.7142857143,15.8571428571,True,0.755082300731
0.002,12,75,3,19.2857142857,19.2857142857,True,0.753559674535
0.002,12,90,1,29.4285714286,29.4285714286,True,0.901111670903
0.002,12,90,2,27.5714285714,27.5714285714,True,0.90098965168
0.002,12,90,3,32.5714285714,32.5714285714,True,0.900417540755
0.002,12,95,1,35.5714285714,35.5714285714,True,0.950959094933
0.002,12,95,2,34.8571428571,34.8571428571,True,0.950715848378
0.002,12,95,3,36.5714285714,36.5714285714,True,0.950224041939
0.002,12,99,1,inf,inf,False,
0.002,12,99,2,40,40,True,0.990092337132
0.002,12,99,3,inf,inf,False,
0.002,13,50,1,12.4285714286,12.5714285714,True,0.524299796138
0.002,13,50,2,12,12,True,0.502349615097
0.002,13,50,3,13.8571428571,13.8571428571,True,0.50180466686
0.002,13,75,1,16.7142857143,16.8571428571,True,0.755472915513
0.002,13,75,2,15.8571428571,15.8571428571,True,0.754434815475
0.002,13,75,3,19.2857142857,19.2857142857,True,0.754561109202
0.002,13,90,1,29.2857142857,29.4285714286,True,0.901306177889
0.002,13,90,2,27.5714285714,27.5714285714,True,0.900958503996
0.002,13,90,3,32.5714285714,32.5714285714,True,0.900838656085
0.002,13,95,1,35.5714285714,35.5714285714,True,0.951085695199
0.002,13,95,2,34.8571428571,34.8571428571,True,0.950548648834
0.002,13,95,3,36.5714285714,36.5714285714,True,0.950442263058
0.002,13,99,1,inf,inf,False,
0.002,13,99,2,40,40,True,0.990117013454
0.002,13,99,3,inf,inf,False,
0.002,14,50,1,12.5714285714,12.5714285714,True,0.52335315517
0.002,14,50,2,12,12,True,0.502405524254
0.002,14,50,3,13.8571428571,13.8571428571,True,0.502317803247
0.002,14,75,1,16.7142857143,16.8571428571,True,0.754280166967
0.002,14,75,2,15.8571428571,15.8571428571,True,0.753061711788
0.002,14,75,3,19.2857142857,19.2857142857,True,0.755466239793
0.002,14,90,1,29.4285714286,29.4285714286,True,0.900933027267
0.002,14,90,2,27.5714285714,27.5714285714,True,0.900659203529
0.002,14,90,3,32.5714285714,32.5714285714,True,0.901093074254
0.002,14,95,1,35.5714285714,35.5714285714,True,0.950920862811
0.002,14,95,2,34.8571428571,34.8571428571,True,0.950311200959
0.002,14,95,3,36.5714285714,36.5714285714,True,0.950604515416
0.002,14,99,1,inf,inf,False,
0.002,14,99,2,40,40,True,0.990115642548
0.002,14,99,3,inf,inf,False,
0.002,15,50,1,12.5714285714,12.5714285714,True,0.52313124282
0.002,15,50,2,12,12,True,0.502759695053
0.002,15,50,3,13.8571428571,13.8571428571,True,0.501100846699
0.002,15,75,1,16.7142857143,16.8571428571,True,0.754157287734
0.002,15,75,2,15.8571428571,15.8571428571,True,0.752687990665
0.002,15,75,3,19.2857142857,19.2857142857,True,0.754447826317
0.002,15,90,1,29.4285714286,29.4285714286,True,0.900749249118
0.002,15,90,2,27.5714285714,27.5714285714,True,0.900438444955
0.002,15,90,3,32.5714285714,32.5714285714,True,0.900839694909
0.002,15,95,1,35.5714285714,35.5714285714,True,0.950873383454
0.002,15,95,2,34.8571428571,34.8571428571,True,0.950354073729
0.002,15,95,3,36.5714285714,36.5714285714,True,0.950372431959
0.002,15,99,1,inf,inf,False,
0.002,15,99,2,40,40,True,0.990063667297
0.002,15,99,3,inf,inf,False,
0.002,16,50,1,12.5714285714,12.5714285714,True,0.522624058383
0.002,16,50,2,12,12,True,0.502348184586
0.002,16,50,3,13.8571428571,13.8571428571,True,0.500464490482
0.002,16,75,1,16.8571428571,16.8571428571,True,0.752478088651
0.002,16,75,2,15.8571428571,15.8571428571,True,0.753800238882
0.002,16,75,3,19.2857142857,19.2857142857,True,0.754482507706
0.002,16,90,1,29.4285714286,29.4285714286,True,0.900035568646
0.002,16,90,2,27.5714285714,27.5714285714,True,0.900538682938
0.002,16,90,3,32.5714285714,32.5714285714,True,0.900823788983
0.002,16,95,1,35.5714285714,35.5714285714,True,0.950552710465
0.002,16,95,2,34.8571428571,34.8571428571,True,0.950471145766
0.002,16,95,3,36.5714285714,36.5714285714,True,0.950364155429
0.002,16,99,1,inf,inf,False,
0.002,16,99,2,40,40,True,0.990134656429
0.002,16,99,3,inf,inf,False,
0.002,17,50,1,12.5714285714,12.5714285714,True,0.522747129202
0.002,17,50,2,12,12,True,0.502236545086
0.002,17,50,3,13.8571428571,13.8571428571,True,0.501760218825
0.002,17,75,1,16.8571428571,16.8571428571,True,0.752667776176
0.002,17,75,2,15.8571428571,15.8571428571,True,0.753665353571
0.002,17,75,3,19.2857142857,19.2857142857,True,0.755212860448
0.002,17,90,1,29.4285714286,29.4285714286,True,0.900252674307
0.002,17,90,2,27.5714285714,27.5714285714,True,0.900744863919
0.002,17,90,3,32.5714285714,32.5714285714,True,0.900828736169
0.002,17,95,1,35.5714285714,35.5714285714,True,0.950574619429
0.002,17,95,2,34.8571428571,34.8571428571,True,0.950512213366
0.002,17,95,3,36.5714285714,36.5714285714,True,0.950519646917
0.002,17,99,1,inf,inf,False,
0.002,17,99,2,40,40,True,0.990098118782
0.002,17,99,3,inf,inf,False,
0.002,18,50,1,12.5714285714,12.5714285714,True,0.523296215705
0.002,18,50,2,12,12,True,0.502252817154
0.002,18,50,3,13.8571428571,13.8571428571,True,0.501469573804
0.002,18,75,1,16.8571428571,16.8571428571,True,0.753547804696
0.002,18,75,2,15.8571428571,15.8571428571,True,0.754182151386
0.002,18,75,3,19.2857142857,19.2857142857,True,0.754841310637
0.002,18,90,1,29.4285714286,29.4285714286,True,0.900852850505
0.002,18,90,2,27.5714285714,27.5714285714,True,0.900744182723
0.002,18,90,3,32.5714285714,32.5714285714,True,0.900877629008
0.002,18,95,1,35.5714285714,35.5714285714,True,0.950778509889
0.002,18,95,2,34.8571428571,34.8571428571,True,0.950515942914
0.002,18,95,3,36.5714285714,36.5714285714,True,0.950470941407
0.002,18,99,1,inf,inf,False,
0.002,18,99,2,40,40,True,0.990104138851
0.002,18,99,3,inf,inf,False,
0.002,19,50,1,12.5714285714,12.5714285714,True,0.523420172078
0.002,19,50,2,12,12,True,0.502694368362
0.002,19,50,3,13.8571428571,13.8571428571,True,0.500892532723
0.002,19,75,1,16.8571428571,16.8571428571,True,0.753783294133
0.002,19,75,2,15.7142857143,15.8571428571,True,0.754748242242
0.002,19,75,3,19.2857142857,19.2857142857,True,0.754277263369
0.002,19,90,1,29.4285714286,29.4285714286,True,0.900790265628
0.002,19,90,2,27.5714285714,27.5714285714,True,0.900837251118
0.002,19,90,3,32.5714285714,32.5714285714,True,0.900640521731
0.002,19,95,1,35.5714285714,35.5714285714,True,0.950743717807
0.002,19,95,2,34.8571428571,34.8571428571,True,0.950699448586
0.002,19,95,3,36.5714285714,36.5714285714,True,0.950326698167
0.002,19,99,1,inf,inf,False,
0.002,19,99,2,40,40,True,0.990130007267
0.002,19,99,3,inf,inf,False,
0.002,20,50,1,12.5714285714,12.5714285714,True,0.52325918419
0.002,20,50,2,12,12,True,0.502052843571
0.002,20,50,3,14,13.8571428571,True,0.499488817794
0.002,20,75,1,16.8571428571,16.8571428571,True,0.75398513249
0.002,20,75,2,15.8571428571,15.8571428571,True,0.753445676395
0.002,20,75,3,19.2857142857,19.2857142857,True,0.754030781133
0.002,20,90,1,29.4285714286,29.4285714286,True,0.900587550231
0.002,20,90,2,27.5714285714,27.5714285714,True,0.900818961007
0.002,20,90,3,32.5714285714,32.5714285714,True,0.900394609996
0.002,20,95,1,35.5714285714,35.5714285714,True,0.950759683337
0.002,20,95,2,34.8571428571,34.8571428571,True,0.950508901051
0.002,20,95,3,36.5714285714,36.5714285714,True,0.950295644147
0.002,20,99,1,inf,inf,False,
0.002,20,99,2,40,40,True,0.990051388741
0.002,20,99,3,inf,inf,False,
0.002,21,50,1,12.5714285714,12.5714285714,True,0.523157298565
0.002,21,50,2,12,12,True,0.501722455025
0.002,21,50,3,13.8571428571,13.8571428571,True,0.501488051244
0.002,21,75,1,16.8571428571,16.8571428571,True,0.753939918109
0.002,21,75,2,15.8571428571,15.8571428571,True,0.753775809492
0.002,21,75,3,19.2857142857,19.2857142857,True,0.75424937691
0.002,21,90,1,29.4285714286,29.4285714286,True,0.900702723435
0.002,21,90,2,27.5714285714,27.5714285714,True,0.900742539338
0.002,21,90,3,32.5714285714,32.5714285714,True,0.900697776249
0.002,21,95,1,35.5714285714,35.5714285714,True,0.950726611274
0.002,21,95,2,34.8571428571,34.8571428571,True,0.950568974018
0.002,21,95,3,36.5714285714,36.5714285714,True,0.950400974069
0.002,21,99,1,inf,inf,False,
0.002,21,99,2,40,40,True,0.990064442158
0.002,21,99,3,inf,inf,False,
0.002,22,50,1,12.5714285714,12.5714285714,True,0.522877178022
0.002,22,50,2,12,12,True,0.503209352493
0.002,22,50,3,13.8571428571,13.8571428571,True,0.502411122833
0.002,22,75,1,16.8571428571,16.8571428571,True,0.753449925355
0.002,22,75,2,15.8571428571,15.8571428571,True,0.753518164158
0.002,22,75,3,19.2857142857,19.2857142857,True,0.755858182907
0.002,22,90,1,29.4285714286,29.4285714286,True,0.900646380016
0.002,22,90,2,27.5714285714,27.5714285714,True,0.900699487754
0.002,22,90,3,32.5714285714,32.5714285714,True,0.901230548109
0.002,22,95,1,35.5714285714,35.5714285714,True,0.950697422028
0.002,22,95,2,34.8571428571,34.8571428571,True,0.950513115951
0.002,22,95,3,36.5714285714,36.5714285714,True,0.950593633311
0.002,22,99,1,inf,inf,False,
0.002,22,99,2,40,40,True,0.990165531635
0.002,22,99,3,inf,inf,False,
0.002,23,50,1,12.5714285714,12.5714285714,True,0.523087011916
0.002,23,50,2,12,12,True,0.502726197243
0.002,23,50,3,14,13.8571428571,True,0.49971608179
0.002,23,75,1,16.8571428571,16.8571428571,True,0.753922104836
0.002,23,75,2,15.8571428571,15.8571428571,True,0.753598766668
0.002,23,75,3,19.2857142857,19.2857142857,True,0.754001591887
0.002,23,90,1,29.4285714286,29.4285714286,True,0.901081212929
0.002,23,90,2,27.5714285714,27.5714285714,True,0.900590939181
0.002,23,90,3,32.5714285714,32.5714285714,True,0.900374165603
0.002,23,95,1,35.5714285714,35.5714285714,True,0.950820045812
0.002,23,95,2,34.8571428571,34.8571428571,True,0.950507274696
0.002,23,95,3,36.5714285714,36.5714285714,True,0.950237512589
0.002,23,99,1,inf,inf,False,
0.002,23,99,2,40,40,True,0.990127146244
0.002,23,99,3,inf,inf,False,
0.002,24,50,1,12.5714285714,12.5714285714,True,0.523297045912
0.002,24,50,2,12,12,True,0.5025203228
0.002,24,50,3,13.8571428571,13.8571428571,True,0.5002638059
0.002,24,75,1,16.8571428571,16.8571428571,True,0.754061894757
0.002,24,75,2,15.8571428571,15.8571428571,True,0.75342643261
0.002,24,75,3,19.2857142857,19.2857142857,True,0.753995614392
0.002,24,90,1,29.4285714286,29.4285714286,True,0.900284120015
0.002,24,90,2,27.5714285714,27.5714285714,True,0.900823865618
0.002,24,90,3,32.5714285714,32.5714285714,True,0.900473518031
0.002,24,95,1,35.5714285714,35.5714285714,True,0.950830638409
0.002,24,95,2,34.8571428571,34.8571428571,True,0.950435323375
0.002,24,95,3,36.5714285714,36.5714285714,True,0.95032205752
0.002,24,99,1,inf,inf,False,
0.002,24,99,2,40,40,True,0.990103662014
0.002,24,99,3,inf,inf,False,
0.002,25,50,1,12.5714285714,12.5714285714,True,0.523364203317
0.002,25,50,2,12,12,True,0.501619040966
0.002,25,50,3,13.8571428571,13.8571428571,True,0.502630008118
0.002,25,75,1,16.8571428571,16.8571428571,True,0.753534010478
0.002,25,75,2,15.8571428571,15.8571428571,True,0.75428722586
0.002,25,75,3,19.2857142857,19.2857142857,True,0.755121333258
0.002,25,90,1,29.4285714286,29.4285714286,True,0.900814575808
0.002,25,90,2,27.5714285714,27.5714285714,True,0.900733922209
0.002,25,90,3,32.5714285714,32.5714285714,True,0.900982260704
0.002,25,95,1,35.5714285714,35.5714285714,True,0.950719969613
0.002,25,95,2,34.8571428571,34.8571428571,True,0.95061222996
0.002,25,95,3,36.5714285714,36.5714285714,True,0.95046540669
0.002,25,99,1,inf,inf,False,
0.002,25,99,2,40,40,True,0.990091621876
0.002,25,99,3,inf,inf,False,
0.002,26,50,1,12.5714285714,12.5714285714,True,0.523403657334
0.002,26,50,2,12,12,True,0.502780973911
0.002,26,50,3,13.8571428571,13.8571428571,True,0.500755250454
0.002,26,75,1,16.7142857143,16.8571428571,True,0.754161715508
0.002,26,75,2,15.8571428571,15.8571428571,True,0.753645002842
0.002,26,75,3,19.2857142857,19.2857142857,True,0.754531800747
0.002,26,90,1,29.4285714286,29.4285714286,True,0.900781316417
0.002,26,90,2,27.5714285714,27.5714285714,True,0.900724921908
0.002,26,90,3,32.5714285714,32.5714285714,True,0.900745732444
0.002,26,95,1,35.5714285714,35.5714285714,True,0.950821033546
0.002,26,95,2,34.8571428571,34.8571428571,True,0.950490917478
0.002,26,95,3,36.5714285714,36.5714285714,True,0.950378673417
0.002,26,99,1,inf,inf,False,
0.002,26,99,2,40,40,True,0.990086853504
0.002,26,99,3,inf,inf,False,
0.002,27,50,1,12.5714285714,12.5714285714,True,0.522585391998
0.002,27,50,2,12,12,True,0.503112375736
0.002,27,50,3,13.8571428571,13.8571428571,True,0.501666826861
0.002,27,75,1,16.8571428571,16.8571428571,True,0.752733596734
0.002,27,75,2,15.8571428571,15.8571428571,True,0.753807101931
0.002,27,75,3,19.2857142857,19.2857142857,True,0.755404974733
0.002,27,90,1,29.4285714286,29.4285714286,True,0.900475876672
0.002,27,90,2,27.5714285714,27.5714285714,True,0.900582773345
0.002,27,90,3,32.5714285714,32.5714285714,True,0.901108367102
0.002,27,95,1,35.5714285714,35.5714285714,True,0.950512315546
0.002,27,95,2,34.8571428571,34.8571428571,True,0.950519067901
0.002,27,95,3,36.5714285714,36.5714285714,True,0.950552582741
0.002,27,99,1,inf,inf,False,
0.002,27,99,2,40,40,True,0.990158677101
0.002,27,99,3,inf,inf,False,
0.002,28,50,1,12.5714285714,12.5714285714,True,0.52304064376
0.002,28,50,2,12,12,True,0.50135743618
0.002,28,50,3,13.8571428571,13.8571428571,True,0.501282559974
0.002,28,75,1,16.7142857143,16.8571428571,True,0.754330779825
0.002,28,75,2,15.8571428571,15.8571428571,True,0.753096256937
0.002,28,75,3,19.2857142857,19.2857142857,True,0.754251948425
0.002,28,90,1,29.4285714286,29.4285714286,True,0.900652561869
0.002,28,90,2,27.5714285714,27.5714285714,True,0.900714508125
0.002,28,90,3,32.5714285714,32.5714285714,True,0.900613342013
0.002,28,95,1,35.5714285714,35.5714285714,True,0.950885185174
0.002,28,95,2,34.8571428571,34.8571428571,True,0.950386362416
0.002,28,95,3,36.5714285714,36.5714285714,True,0.950374134949
0.002,28,99,1,inf,inf,False,
0.002,28,99,2,40,40,True,0.990082800388
0.002,28,99,3,inf,inf,False,
0.002,29,50,1,12.5714285714,12.5714285714,True,0.522053186383
0.002,29,50,2,12,12,True,0.502085328102
0.002,29,50,3,14,13.8571428571,True,0.498761475086
0.002,29,75,1,16.8571428571,16.8571428571,True,0.752512293203
0.002,29,75,2,15.8571428571,15.8571428571,True,0.752418943814
0.002,29,75,3,19.2857142857,19.2857142857,True,0.753445369857
0.002,29,90,1,29.4285714286,29.4285714286,True,0.900145113468
0.002,29,90,2,27.5714285714,27.5714285714,True,0.900329709053
0.002,29,90,3,32.5714285714,32.5714285714,True,0.900030417102
0.002,29,95,1,35.5714285714,35.5714285714,True,0.95048049518
0.002,29,95,2,34.8571428571,34.8571428571,True,0.950314257826
0.002,29,95,3,36.5714285714,36.5714285714,True,0.950212333884
0.002,29,99,1,inf,inf,False,
0.002,29,99,2,40,40,True,0.990094482899
0.002,29,99,3,inf,inf,False,
0.002,30,50,1,12.5714285714,12.5714285714,True,0.52280365995
0.002,30,50,2,12,12,True,0.50229716301
0.002,30,50,3,13.8571428571,13.8571428571,True,0.501193395683
0.002,30,75,1,16.7142857143,16.8571428571,True,0.754332772323
