outer_fold,role,person_id
2,train,B084
2,train,B089
2,train,B090
2,train,B091
2,train,B093
2,train,B095
2,train,B096
2,train,B097
2,train,B098
2,train,B099
2,train,B100
2,train,B101
2,train,B103
2,train,B104
2,train,B105
2,train,B106
2,train,B108
2,train,B109
2,train,B110
2,train,B113
2,train,B114
2,train,B116
2,train,B121
2,train,B122
2,train,B123
2,train,B125
2,train,B126
2,train,B128
2,train,B129
2,train,B130
2,train,B131
2,train,B132
2,train,B134
2,train,B135
2,train,B136
2,train,B137
2,train,B138
2,train,B139
2,train,B140
2,train,B142
2,train,B144
2,train,B145
2,train,B147
2,test,B002
2,test,B003
2,test,B005
2,test,B009
2,test,B010
2,test,B014
2,test,B018
2,test,B019
2,test,B020
2,test,B021
2,test,B027
2,test,B029
2,test,B033
2,test,B034
2,test,B035
2,test,B037
2,test,B039
2,test,B043
2,test,B046
2,test,B050
2,test,B052
2,test,B060
2,test,B062
2,test,B065
2,test,B067
2,test,B068
2,test,B071
2,test,B080
2,test,B085
2,test,B086
2,test,B087
2,test,B088
2,test,B092
2,test,B094
2,test,B102
2,test,B107
2,test,B111
2,test,B112
2,test,B115
2,test,B117
2,test,B118
2,test,B119
2,test,B120
2,test,B124
2,test,B127
2,test,B133
2,test,B141
2,test,B143
2,test,B146
3,train,B001
3,train,B002
3,train,B003
3,train,B005
3,train,B009
3,train,B010
3,train,B014
3,train,B017
3,train,B018
3,train,B019
3,train,B020
3,train,B021
3,train,B023
3,train,B024
3,train,B025
3,train,B026
3,train,B027
3,train,B028
3,train,B029
3,train,B030
3,train,B031
3,train,B033
3,train,B034
3,train,B035
3,train,B037
3,train,B038
3,train,B039
3,train,B042
3,train,B043
3,train,B044
3,train,B046
3,train,B050
3,train,B051
3,train,B052
3,train,B060
3,train,B062
3,train,B063
3,train,B064
3,train,B065
3,train,B066
3,train,B067
3,train,B068
3,train,B069
3,train,B070
3,train,B071
3,train,B072
3,train,B074
3,train,B076
3,train,B077
3,train,B078
3,train,B079
3,train,B080
3,train,B082
3,train,B085
3,train,B086
3,train,B087
3,train,B088
3,train,B092
3,train,B094
3,train,B095
3,train,B096
3,train,B098
3,train,B100
3,train,B101
3,train,B102
3,train,B105
3,train,B107
3,train,B108
3,train,B111
3,train,B112
3,train,B113
3,train,B114
3,train,B115
3,train,B116
3,train,B117
3,train,B118
3,train,B119
3,train,B120
3,train,B121
3,train,B123
3,train,B124
3,train,B126
3,train,B127
3,train,B128
3,train,B129
3,train,B132
3,train,B133
3,train,B134
3,train,B137
3,train,B138
3,train,B140
3,train,B141
3,train,B143
3,train,B144
3,train,B145
3,train,B146
3,train,B147
3,test,B004
3,test,B006
3,test,B007
3,test,B008
3,test,B011
3,test,B012
3,test,B013
3,test,B015
3,test,B016
3,test,B022
3,test,B032
3,test,B036
3,test,B040
3,test,B041
3,test,B045
3,test,B047
3,test,B048
3,test,B049
3,test,B053
3,test,B054
3,test,B055
3,test,B056
3,test,B057
3,test,B058
3,test,B059
3,test,B061
3,test,B073
3,test,B075
3,test,B081
3,test,B083
3,test,B084
3,test,B089
3,test,B090
3,test,B091
3,test,B093
3,test,B097
3,test,B099
3,test,B103
3,test,B104
3,test,B106
3,test,B109
3,test,B110
3,test,B122
3,test,B125
3,test,B130
3,test,B131
3,test,B135
3,test,B136
3,test,B139
3,test,B142
