mode,solver,target,k,group,bmi_lower,bmi_upper,n,week,feasible,within_10_25_weeks,group_risk,minimum_group_size,empirical_coverage,empirical_inverse_week
GPR,GA,90,4,2,30.8999798004,32.2276153307,45,13.8571428571,True,True,450,39,0.911111111111,13.8571428571
GPR,GA,90,4,3,32.2276153307,33.6674951615,42,13.9857142857,True,True,420,39,0.880952380952,14
GPR,GA,90,4,4,33.6674951615,inf,69,18.2342857143,True,True,690,39,0.898550724638,19.5714285714
GPR,DP,90,4,1,-inf,29.8438934825,48,14.81,True,True,480,39,0.895833333333,16
GPR,DP,90,4,2,29.8438934825,30.6553293031,41,16.2857142857,True,True,410,39,0.90243902439,16.2857142857
GPR,DP,90,4,3,30.6553293031,32.7461857581,71,13.8571428571,True,True,710,39,0.901408450704,13.8571428571
GPR,DP,90,4,4,32.7461857581,inf,100,17.0285714286,True,True,1000,39,0.9,17
GPR,GA,90,5,1,-inf,30.110278895,63,16.2285714286,True,True,630,31,0.888888888889,16.2857142857
GPR,GA,90,5,2,30.110278895,31.0522097844,49,16.0285714286,True,True,490,31,0.897959183673,16.1428571429
GPR,GA,90,5,3,31.0522097844,32.9420211591,57,14.4571428572,True,True,570,31,0.894736842105,15.1428571429
GPR,GA,90,5,4,32.9420211591,34.44804095,43,13.8571428571,True,True,430,31,0.906976744186,13.8571428571
GPR,GA,90,5,5,34.44804095,inf,48,20.6571428571,True,True,480,31,0.895833333333,20.8571428571
GPR,DP,90,5,1,-inf,29.8438934825,48,14.81,True,True,480,31,0.895833333333,16
GPR,DP,90,5,2,29.8438934825,30.8832495075,55,16.2285714286,True,True,550,31,0.890909090909,16.2857142857
GPR,DP,90,5,3,30.8832495075,32.7881955317,61,13.8571428571,True,True,610,31,0.901639344262,13.8571428571
GPR,DP,90,5,4,32.7881955317,35.2610052275,60,14.11,True,True,600,31,0.9,14
GPR,DP,90,5,5,35.2610052275,inf,36,21.2857142857,True,True,360,31,0.888888888889,22
GPR,GA,90,6,1,-inf,29.266758785,29,16.9485714286,True,True,290,26,0.896551724138,19.6
GPR,GA,90,6,2,29.266758785,29.908172635,27,14.98,True,True,270,26,0.888888888889,16
GPR,GA,90,6,3,29.908172635,30.9445601675,51,16.1428571429,True,True,510,26,0.921568627451,16.1428571429
GPR,GA,90,6,4,30.9445601675,32.7461857581,53,13.7828571429,True,True,530,26,0.88679245283,13.8
GPR,GA,90,6,5,32.7461857581,33.822939626,35,14.66,True,True,350,26,0.885714285714,15.1
GPR,GA,90,6,6,33.822939626,inf,65,18.9028571428,True,True,650,26,0.892307692308,19.5714285714
GPR,DP,90,6,1,-inf,29.8438934825,48,14.81,True,True,480,26,0.895833333333,16
GPR,DP,90,6,2,29.8438934825,30.6088358516,38,16.56,True,True,380,26,0.894736842105,17.2
GPR,DP,90,6,3,30.6088358516,32.63762972,71,13.8571428571,True,True,710,26,0.901408450704,13.8571428571
GPR,DP,90,6,4,32.63762972,34.3113083525,51,14,True,True,510,26,0.901960784314,14
GPR,DP,90,6,5,34.3113083525,35.8127098658,26,17.5928571429,True,True,260,26,0.884615384615,17.9
GPR,DP,90,6,6,35.8127098658,inf,26,21.2857142857,True,True,260,26,0.884615384615,22
GPR,GA,95,3,1,-inf,30.44222608,75,19.72,True,True,750,52,0.946666666667,20
GPR,GA,95,3,2,30.44222608,33.1047842733,101,16.4285714286,True,True,1010,52,0.950495049505,16.4285714286
GPR,GA,95,3,3,33.1047842733,inf,84,20.8142857142,True,True,840,52,0.940476190476,20.8571428571
GPR,DP,95,3,1,-inf,30.8832495075,103,17.8514285714,True,True,1030,52,0.941747572816,17.8571428571
GPR,DP,95,3,2,30.8832495075,34.13111342,99,15.4128571429,True,True,990,52,0.949494949495,16.4285714286
GPR,DP,95,3,3,34.13111342,inf,58,22.2142857143,True,True,580,52,0.948275862069,23.4285714286
GPR,GA,95,4,1,-inf,30.8195186109,98,18.07,True,True,980,39,0.948979591837,19.6
GPR,GA,95,4,2,30.8195186109,31.8235897491,39,16.1714285715,True,True,390,39,0.948717948718,16.4285714286
GPR,GA,95,4,3,31.8235897491,34.2637751125,69,16.3428571428,True,True,690,39,0.942028985507,16.5714285714
GPR,GA,95,4,4,34.2637751125,inf,54,22.5,True,True,540,39,0.944444444444,23.4285714286
GPR,DP,95,4,1,-inf,30.8832495075,103,17.8514285714,True,True,1030,39,0.941747572816,17.8571428571
GPR,DP,95,4,2,30.8832495075,32.975838265,67,16.09,True,True,670,39,0.940298507463,16.4285714286
GPR,DP,95,4,3,32.975838265,34.3505859375,39,14.0714285714,True,True,390,39,0.948717948718,16
GPR,DP,95,4,4,34.3505859375,inf,51,22.7142857143,True,True,510,39,0.941176470588,23.4285714286
GPR,GA,95,5,1,-inf,30.0954206137,62,19.98,True,True,620,31,0.935483870968,20
GPR,GA,95,5,2,30.0954206137,30.8462766725,38,16.3014285715,True,True,380,31,0.947368421053,17.2
GPR,GA,95,5,3,30.8462766725,31.7422635895,33,15.6371428572,True,True,330,31,0.939393939394,16.1428571429
GPR,GA,95,5,4,31.7422635895,34.8124490168,84,17.1785714286,True,True,840,31,0.940476190476,17.2857142857
GPR,GA,95,5,5,34.8124490168,inf,43,23.2857142857,True,True,430,31,0.93023255814,23.4285714286
GPR,DP,95,5,1,-inf,29.8910641175,54,17.4457142857,True,True,540,31,0.944444444444,19.6
GPR,DP,95,5,2,29.8910641175,30.8832495075,49,17.8342857143,True,True,490,31,0.938775510204,17.8571428571
GPR,DP,95,5,3,30.8832495075,32.7471559025,58,15.4692857143,True,True,580,31,0.948275862069,16.4285714286
GPR,DP,95,5,4,32.7471559025,35.54333333,67,17.2,True,True,670,31,0.940298507463,17.2857142857
GPR,DP,95,5,5,35.54333333,inf,32,22.9,True,True,320,31,0.9375,24
GPR,GA,95,6,1,-inf,29.4270833333,37,19.68,True,True,370,26,0.945945945946,20
GPR,GA,95,6,2,29.4270833333,30.5592895634,43,17.6485714286,True,True,430,26,0.93023255814,17.8
GPR,GA,95,6,3,30.5592895634,32.7522001331,83,16.5571428571,True,True,830,26,0.939759036145,16.5714285714
GPR,GA,95,6,4,32.7522001331,34.2702066727,44,14.935,True,True,440,26,0.931818181818,15.1
GPR,GA,95,6,5,34.2702066727,35.75595619,26,20.1178571428,True,True,260,26,0.923076923077,20.8571428571
GPR,GA,95,6,6,35.75595619,inf,27,23.4,True,True,270,26,0.925925925926,24
GPR,DP,95,6,1,-inf,29.1418650775,26,19.9,True,True,260,26,0.923076923077,20
GPR,DP,95,6,2,29.1418650775,31.6374174886,103,16.2714285714,True,True,1030,26,0.941747572816,16.2857142857
GPR,DP,95,6,3,31.6374174886,32.975838265,41,16.5714285714,True,True,410,26,0.951219512195,16.5714285714
GPR,DP,95,6,4,32.975838265,33.8246107523,26,13.8571428571,True,True,260,26,0.961538461538,13.8571428571
GPR,DP,95,6,5,33.8246107523,35.8127098658,38,18.3435714286,True,True,380,26,0.947368421053,20.8571428571
GPR,DP,95,6,6,35.8127098658,inf,26,23.5,True,True,260,26,0.923076923077,24
GPR,GA,99,3,1,-inf,30.110278895,63,21.8614285714,True,True,630,52,0.984126984127,23.5
GPR,GA,99,3,2,30.110278895,33.7801939188,131,18.69,True,True,1310,52,0.984732824427,18.8571428571
GPR,GA,99,3,3,33.7801939188,inf,66,24.85,True,True,660,52,0.984848484848,26.4285714286
GPR,DP,99,3,1,-inf,29.9453484525,58,21.9935714285,True,True,580,52,0.98275862069,23.5
GPR,DP,99,3,2,29.9453484525,34.3113083525,150,18.5841428571,True,True,1500,52,0.986666666667,18.8571428571
GPR,DP,99,3,3,34.3113083525,inf,52,25.19,True,False,520,52,0.980769230769,26.4285714286
GPR,GA,99,4,1,-inf,30.6091215167,87,21.2271428571,True,True,870,39,0.988505747126,23.5
GPR,GA,99,4,2,30.6091215167,31.81679622,48,17.1857142857,True,True,480,39,0.979166666667,17.8571428571
GPR,GA,99,4,3,31.81679622,34.440835603,76,19.9928571428,True,True,760,39,0.986842105263,23.4
GPR,GA,99,4,4,34.440835603,inf,49,25.2628571429,True,False,490,39,0.979591836735,26.4285714286
GPR,DP,99,4,1,-inf,29.9453484525,58,21.9935714285,True,True,580,39,0.98275862069,23.5
GPR,DP,99,4,2,29.9453484525,30.859375,44,17.542,True,True,440,39,0.977272727273,17.8
GPR,DP,99,4,3,30.859375,34.6061223491,113,18.7902857142,True,True,1130,39,0.982300884956,18.8571428571
GPR,DP,99,4,4,34.6061223491,inf,45,25.36,True,False,450,39,0.977777777778,26.4285714286
GPR,GA,99,5,1,-inf,30.1248699275,64,21.835,True,True,640,31,0.984375,23.5
GPR,GA,99,5,2,30.1248699275,31.7422635895,69,17.8182857143,True,True,690,31,0.985507246377,17.8571428571
GPR,GA,99,5,3,31.7422635895,33.0371969383,41,21.5828571428,True,True,410,31,0.975609756098,23.4
GPR,GA,99,5,4,33.0371969383,34.5700278402,40,17.9044285714,True,True,400,31,0.975,18.3
GPR,GA,99,5,5,34.5700278402,inf,46,25.3357142857,True,False,460,31,0.978260869565,26.4285714286
GPR,DP,99,5,1,-inf,29.3512110725,31,20.1,True,True,310,31,0.967741935484,20.1428571429
GPR,DP,99,5,2,29.3512110725,30.0954206137,31,22.7071428571,True,True,310,31,0.967741935484,23.5
GPR,DP,99,5,3,30.0954206137,33.3333333333,118,18.7624285714,True,True,1180,31,0.983050847458,18.8571428571
GPR,DP,99,5,4,33.3333333333,34.6061223491,35,16.8485714286,True,True,350,31,0.971428571429,17.2857142857
GPR,DP,99,5,5,34.6061223491,inf,45,25.36,True,False,450,31,0.977777777778,26.4285714286
GPR,GA,99,6,1,-inf,29.40759637,35,20.0942857143,True,True,350,26,0.971428571429,20.1428571429
GPR,GA,99,6,2,29.40759637,30.588235295,49,22.2314285714,True,True,490,26,0.979591836735,23.5
GPR,GA,99,6,3,30.588235295,31.0819589962,31,17.66,True,True,310,26,0.967741935484,17.8571428571
GPR,GA,99,6,4,31.0819589962,32.8050629235,50,21.174,True,True,500,26,0.98,23.4
GPR,GA,99,6,5,32.8050629235,34.4496074325,48,17.8232857143,True,True,480,26,0.979166666667,18.3
GPR,GA,99,6,6,34.4496074325,inf,47,25.3114285714,True,False,470,26,0.978723404255,26.4285714286
GPR,DP,99,6,1,-inf,29.1418650775,26,20.1071428572,True,True,260,26,0.961538461538,20.1428571429
GPR,DP,99,6,2,29.1418650775,29.8910641175,28,16.2085714286,True,True,280,26,0.964285714286,16.2857142857
GPR,DP,99,6,3,29.8910641175,30.5592895634,26,22.8392857143,True,True,260,26,0.961538461538,23.5
GPR,DP,99,6,4,30.5592895634,33.3639424533,101,18.8571428571,True,True,1010,26,0.990099009901,18.8571428571
GPR,DP,99,6,5,33.3639424533,34.6061223491,34,16.8614285714,True,True,340,26,0.970588235294,17.2857142857
GPR,DP,99,6,6,34.6061223491,inf,45,25.36,True,False,450,26,0.977777777778,26.4285714286
