日期,当前时段序号,当前时间段,实测数据截止时段序号,实测数据截止时间段,未来输入来源,冻结购电量最大变化（kWh）,滚动初始储电量（kWh）,第二阶段剩余紧急购电费（元）,储能吞吐量第二目标值（kWh）,当前计划购电量（kWh）,当前实际负载电量（kWh）,当前实际光伏电量（kWh）,当前充电量（kWh）,当前放电量（kWh）,当前运行模式,当前紧急购电量（kWh）,当前弃光量（kWh）,当前未利用计划购电量（kWh）,滚动预测日末储电量（kWh）,第一目标求解状态,第二目标求解状态,第一目标MIP相对间隙,第二目标MIP相对间隙,第一阶段紧急购电费最优值（元）,第一目标固定数值容差（元）,候选时域最大约束残差（kWh或元）
2025-01-01,11,01:40-01:50,11,01:40-01:50,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,534.916875,32239.759332,582.514017,615.776883,0.000000,0.000000,0.000000,0.000000,33.262867,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,534.916874,1e-06,1.81898940355e-12
2025-01-01,12,01:50-02:00,12,01:50-02:00,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,666.291012,32239.759332,583.074050,677.455000,0.000000,0.000000,0.000000,0.000000,94.380950,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,666.291011,1e-06,9.09494701773e-13
2025-01-01,13,02:00-02:10,13,02:00-02:10,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,572.124571,32239.759332,584.204917,635.111833,0.000000,0.000000,0.000000,0.000000,50.906917,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,572.124570,1e-06,2.16004991671e-12
2025-01-01,14,02:10-02:20,14,02:10-02:20,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,582.595533,32239.759332,585.439783,640.824917,0.000000,0.000000,0.000000,0.000000,55.385133,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,582.595532,1e-06,1.63709046319e-12
2025-01-01,15,02:20-02:30,15,02:20-02:30,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,724.054608,32239.759332,586.144750,705.770000,0.000000,0.000000,0.000000,0.000000,119.625250,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,724.054607,1e-06,1.81898940355e-12
2025-01-01,16,02:30-02:40,16,02:30-02:40,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,677.372651,32239.759332,586.320767,684.995917,0.000000,0.000000,0.000000,0.000000,98.675150,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,677.372650,1e-06,1.81898940355e-12
2025-01-01,17,02:40-02:50,17,02:40-02:50,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,635.654175,32239.759332,586.425300,666.149083,0.000000,0.000000,0.000000,0.000000,79.723783,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,635.654174,1e-06,1.81898940355e-12
2025-01-01,18,02:50-03:00,18,02:50-03:00,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,673.837840,32239.759332,586.849600,683.698333,0.000000,0.000000,0.000000,0.000000,96.848733,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,673.837839,1e-06,1.63709046319e-12
2025-01-01,19,03:00-03:10,19,03:00-03:10,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,666.656343,32239.759332,587.821017,681.009617,0.000000,0.000000,0.000000,0.000000,93.188600,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,666.656342,1e-06,1.81898940355e-12
2025-01-01,20,03:10-03:20,20,03:10-03:20,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,680.119695,32239.759332,589.547567,688.960433,0.000000,0.000000,0.000000,0.000000,99.412867,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,680.119694,1e-06,1.63709046319e-12
2025-01-01,21,03:20-03:30,21,03:20-03:30,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,693.103484,32239.759332,590.813467,696.530000,0.000000,0.000000,0.000000,0.000000,105.716533,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,693.103483,1e-06,1.81898940355e-12
2025-01-01,22,03:30-03:40,22,03:30-03:40,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,612.339393,32239.759332,590.213117,658.895183,0.000000,0.000000,0.000000,0.000000,68.682067,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,612.339392,1e-06,9.09494701773e-13
2025-01-01,23,03:40-03:50,23,03:40-03:50,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,595.234101,32239.759332,591.066267,651.791600,0.000000,0.000000,0.000000,0.000000,60.725333,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,595.234100,1e-06,1.81898940355e-12
2025-01-01,24,03:50-04:00,24,03:50-04:00,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,659.535619,32239.759332,593.367833,683.218333,0.000000,0.000000,0.000000,0.000000,89.850500,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,659.535618,1e-06,1.81898940355e-12
2025-01-01,25,04:00-04:10,25,04:00-04:10,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,668.931240,32239.759332,593.659683,687.310383,0.000000,0.000000,0.000000,0.000000,93.650700,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,668.931239,1e-06,1.81898940355e-12
2025-01-01,26,04:10-04:20,26,04:10-04:20,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,686.797393,32239.759332,592.786383,694.834467,0.000000,0.000000,0.000000,0.000000,102.048083,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,686.797392,1e-06,1.25055521494e-12
2025-01-01,27,04:20-04:30,27,04:20-04:30,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,717.496929,32239.759332,593.337867,710.040000,0.000000,0.000000,0.000000,0.000000,116.702133,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,717.496928,1e-06,1.81898940355e-12
2025-01-01,28,04:30-04:40,28,04:30-04:40,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,695.889883,32239.759332,596.775667,702.870367,0.000000,0.000000,0.000000,0.000000,106.094700,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,695.889882,1e-06,9.09494701773e-13
2025-01-01,29,04:40-04:50,29,04:40-04:50,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,711.568633,32239.759332,597.819333,710.309500,0.000000,0.000000,0.000000,0.000000,112.490167,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,711.568632,1e-06,9.09494701773e-13
2025-01-01,30,04:50-05:00,30,04:50-05:00,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,745.098493,32239.759332,595.210583,723.650000,0.000000,0.000000,0.000000,0.000000,128.439417,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,745.098492,1e-06,1.81898940355e-12
2025-01-01,31,05:00-05:10,31,05:00-05:10,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,702.822286,32239.759332,590.606500,701.370133,0.000000,0.000000,0.000000,0.000000,110.763633,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,702.822285,1e-06,9.09494701773e-13
2025-01-01,32,05:10-05:20,32,05:10-05:20,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,745.917621,32239.759332,589.485183,717.020550,0.000000,0.000000,0.000000,0.000000,127.535367,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,745.917620,1e-06,9.09494701773e-13
2025-01-01,33,05:20-05:30,33,05:20-05:30,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,816.200562,32239.759332,578.455450,742.765000,0.000000,0.000000,0.000000,0.000000,164.309550,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,816.200561,1e-06,9.09494701773e-13
2025-01-01,34,05:30-05:40,34,05:30-05:40,当前时段用实测，未来时段用0:00预测,0.000000,9900.911445,857.136142,31984.344711,1383.659783,691.439500,0.000000,692.220283,0.000000,1.000000,0.000000,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,857.136141,1e-06,5.34328137292e-12
2025-01-01,35,05:40-05:50,35,05:40-05:50,当前时段用实测，未来时段用0:00预测,0.000000,10523.909700,1309.634085,31292.124427,591.140200,749.688883,0.000000,0.000000,0.000000,0.000000,158.548683,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,1309.634084,1.3106340841e-06,9.09494701773e-13
2025-01-01,36,05:50-06:00,36,05:50-06:00,当前时段用实测，未来时段用0:00预测,0.000000,10523.909700,1755.158531,31292.124427,0.000000,894.896667,0.000000,0.000000,833.333333,0.000000,61.563333,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,1755.158529,1.75615852936e-06,9.09494701773e-13
2025-01-01,37,06:00-06:10,37,06:00-06:10,当前时段用实测，未来时段用0:00预测,0.000000,9597.983774,2499.121094,30458.791093,0.000000,906.816517,0.000000,0.000000,833.333333,0.000000,73.483183,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2499.121091,2.5001210911e-06,1.81898940355e-12
2025-01-01,38,06:10-06:20,38,06:10-06:20,当前时段用实测，未来时段用0:00预测,0.000000,8672.057848,3242.463381,29625.457760,0.000000,886.148833,0.000000,0.000000,833.333333,0.000000,52.815500,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3242.463377,3.24346337739e-06,9.09494701773e-13
2025-01-01,39,06:20-06:30,39,06:20-06:30,当前时段用实测，未来时段用0:00预测,0.000000,7746.131922,4267.148685,28792.124426,0.000000,899.970000,0.000000,0.000000,833.333333,0.000000,66.636667,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4267.148681,4.26814868066e-06,9.09494701773e-13
2025-01-01,40,06:30-06:40,40,06:30-06:40,当前时段用实测，未来时段用0:00预测,0.000000,6820.205996,5407.884256,27958.791092,0.000000,907.900117,0.967700,0.000000,833.333333,0.000000,73.599083,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5407.884250,5.40888425022e-06,9.09494701773e-13
2025-01-01,41,06:40-06:50,41,06:40-06:50,当前时段用实测，未来时段用0:00预测,0.000000,5894.280070,6649.400522,27125.457758,0.000000,907.400167,0.000000,0.000000,833.333333,0.000000,74.066833,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6649.400515,6.6504005151e-06,4.54747350886e-13
2025-01-01,42,06:50-07:00,42,06:50-07:00,当前时段用实测，未来时段用0:00预测,0.000000,4968.354144,8014.489391,26292.124424,0.000000,905.605000,0.512500,0.000000,378.254361,0.000000,526.838139,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,8014.489383,8.01548938275e-06,9.09494701773e-13
2025-01-01,43,07:00-07:10,43,07:00-07:10,当前时段用实测，未来时段用0:00预测,0.000000,4548.071521,7532.517925,25913.870063,0.000000,908.213633,29.299217,0.000000,0.000000,0.000000,878.914417,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,7532.517917,7.53351791737e-06,5.79583879983e-08
2025-01-01,44,07:10-07:20,44,07:10-07:20,当前时段用实测，未来时段用0:00预测,0.000000,4548.071521,5722.369941,25913.870064,0.000000,918.334033,70.249333,0.000000,0.000000,0.000000,848.084700,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5722.369936,5.72336993565e-06,4.52082735007e-07
2025-01-01,45,07:20-07:30,45,07:20-07:30,当前时段用实测，未来时段用0:00预测,0.000000,4548.071521,4034.361920,25913.870065,0.000000,912.666667,112.850000,0.000000,0.000001,0.000000,799.816666,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4034.361916,4.03536191586e-06,9.09494701773e-13
2025-01-01,46,07:30-07:40,46,07:30-07:40,当前时段用实测，未来时段用0:00预测,0.000000,4548.071520,2517.336037,25913.870064,0.000000,888.236917,158.468533,0.000000,0.000000,0.000000,729.768383,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2517.336035,2.51833603467e-06,1.36424205266e-12
2025-01-01,47,07:40-07:50,47,07:40-07:50,当前时段用实测，未来时段用0:00预测,0.000000,4548.071519,2081.516121,25913.870065,0.000000,1014.019383,209.261750,0.000000,320.684117,0.000000,484.073516,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2081.516119,2.08251611853e-06,4.54747350886e-13
2025-01-01,48,07:50-08:00,48,07:50-08:00,当前时段用实测，未来时段用0:00预测,0.000000,4191.755834,2783.232024,25593.185948,0.000000,1219.333333,265.381250,0.000000,833.333333,0.000000,120.618750,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2783.232021,2.78423202128e-06,4.54747350886e-13
2025-01-01,49,08:00-08:10,49,08:00-08:10,当前时段用实测，未来时段用0:00预测,0.000000,3265.829908,4984.613941,24759.852613,0.000000,1244.915783,322.920200,0.000000,833.333333,0.000000,88.662250,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4984.613936,4.9856139361e-06,4.54747350886e-13
2025-01-01,50,08:10-08:20,50,08:10-08:20,当前时段用实测，未来时段用0:00预测,0.000000,2339.903982,7324.495369,23926.519279,0.000000,1204.281833,370.854350,0.000000,545.853149,0.000000,287.574334,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,7324.495361,7.32549536125e-06,4.54747350886e-13
2025-01-01,51,08:20-08:30,51,08:20-08:30,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,8586.448887,23380.666130,0.000000,1202.688333,415.018750,0.000000,0.000000,0.000000,787.669583,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,8586.448878,8.5874488781e-06,3.63797880709e-12
2025-01-01,52,08:30-08:40,52,08:30-08:40,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,7189.877231,23380.666130,0.000000,1226.950067,471.052433,0.000000,0.000000,0.000000,755.897633,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,7189.877224,7.19087722414e-06,1.78988557309e-08
2025-01-01,53,08:40-08:50,53,08:40-08:50,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,5858.636289,23380.666131,0.000000,1212.585500,520.355250,0.000000,0.000000,0.000000,692.230250,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5858.636283,5.85963628264e-06,2.53414327744e-07
2025-01-01,54,08:50-09:00,54,08:50-09:00,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,4660.787111,23380.666131,0.000000,1179.548333,558.493750,0.000000,0.000000,0.000000,621.054583,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4660.787106,4.66178710622e-06,4.65332050226e-07
2025-01-01,55,09:00-09:10,55,09:00-09:10,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,3935.253840,23380.666131,0.000000,1203.646033,600.299617,0.000000,0.000000,0.000000,603.346417,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3935.253836,3.93625383627e-06,5.93689037487e-07
2025-01-01,56,09:10-09:20,56,09:10-09:20,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,3327.832568,23380.666131,0.000000,1204.925217,645.939200,0.000000,0.000000,0.000000,558.986017,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3327.832564,3.32883256446e-06,7.0115129347e-07
2025-01-01,57,09:20-09:30,57,09:20-09:30,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,2829.459234,23380.666132,0.000000,1183.221667,691.637500,0.000000,0.000000,0.000000,491.584167,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2829.459232,2.83045923161e-06,7.89323166828e-07
2025-01-01,58,09:30-09:40,58,09:30-09:40,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,2805.930544,23349.128571,0.000000,1216.192017,733.913367,0.000000,0.000000,0.000000,482.278650,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2805.930541,2.80693054139e-06,1.81898940355e-12
2025-01-01,59,09:40-09:50,59,09:40-09:50,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,2946.507357,23253.492214,0.000000,1218.862600,770.791750,0.000000,0.000000,0.000000,448.070850,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,2946.507354,2.94750735384e-06,9.09494701773e-13
2025-01-01,60,09:50-10:00,60,09:50-10:00,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,3116.859009,23100.434239,0.000000,1183.243333,806.106250,0.000000,0.000000,0.000000,377.137083,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3116.859006,3.11785900635e-06,4.54747350886e-13
2025-01-01,61,10:00-10:10,61,10:00-10:10,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,3536.004517,22888.693953,0.000000,1187.586900,846.783733,0.000000,0.000000,0.000000,340.803167,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,3536.004514,3.53700451368e-06,4.54747350886e-13
2025-01-01,62,10:10-10:20,62,10:10-10:20,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,4015.179486,22623.238267,0.000000,1182.718400,889.792133,0.000000,0.000000,0.000000,292.926267,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4015.179482,4.01617948238e-06,1.81898940355e-12
2025-01-01,63,10:20-10:30,63,10:20-10:30,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,4702.929631,22309.166615,0.000000,1164.361667,915.787500,0.000000,0.000000,0.000000,248.574167,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,4702.929627,4.70392962653e-06,9.09494701773e-13
2025-01-01,64,10:30-10:40,64,10:30-10:40,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,5926.717153,21945.303973,0.000000,1183.161700,906.329633,0.000000,0.000000,0.000000,276.832067,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5926.717147,5.92771714682e-06,9.09494701773e-13
2025-01-01,65,10:40-10:50,65,10:40-10:50,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,6940.671656,21537.318902,0.000000,1198.998833,899.368767,0.000000,0.000000,0.000000,299.630067,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6940.671649,6.94167164908e-06,4.54747350886e-13
2025-01-01,66,10:50-11:00,66,10:50-11:00,当前时段用实测，未来时段用0:00预测,0.000000,1733.400483,7806.177490,21095.662159,0.000000,1189.196667,895.350000,0.000000,0.000000,0.000000,293.846667,0.000000,0.000000,5400.000000,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,7806.177482,7.8071774825e-06,9.09494701773e-13
