日期,阶段,预测历史截止,调参历史截止,负载先验回退,光伏先验回退,电价先验回退,负载衰减天数,光伏衰减天数,价格水平权重,价格形态衰减天数,终端惩罚,求解路径,求解状态,MIP相对间隙,日内滚动求解次数,日初储电量,计划日末储电量,实际日末储电量,计划购电费（预测口径）,计划购电费（实际口径）,紧急购电费,实际总购电费,电价MAE,净负荷MAE,净负荷0.8分位数损失,净负荷覆盖率,紧急购电费占比,紧急购电量,未利用计划购电量,未利用计划购电对应费用（实际电价，已含在计划费用中）,实际弃光量,计划与实际充电量之差,计划与实际放电量之差,实际减计划日末储电量,计划与实际末态偏差恒等式残差
2025-01-11,初始化,2025-01-10,2025-01-10,否,否,否,14.0,14.0,1,7,1.3081348528361945,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,26046.952749,25352.799287,145.354288,25498.153575,0.051164,40.230192,9.136894,0.854167,0.005701,43.998667,4312.040782,2157.232876,1279.093665,1461.045247,1183.446650,0.000000,4.092726157978177e-12
2025-01-12,初始化,2025-01-11,2025-01-11,否,否,否,21.0,14.0,1,7,1.68622899847613,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,75476.762575,76610.088466,479.968258,77090.056724,0.040604,32.661258,7.480239,0.847222,0.006226,127.688617,4584.825383,3489.063083,56.814583,1398.758333,1132.994250,0.000000,5.6843418860808015e-12
2025-01-13,初始化,2025-01-12,2025-01-12,否,否,否,21.0,14.0,1,28,1.6763510108967934,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,75946.250934,75971.932385,180.366613,76152.298998,0.039846,50.753703,11.364288,0.881944,0.002368,65.526833,7188.807620,5893.962307,26.991083,2232.848086,1808.606950,0.000000,2.0463630789890885e-12
2025-01-14,初始化,2025-01-13,2025-01-13,否,否,否,21.0,14.0,1,28,1.65349990154614,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5995.670370,75597.038194,75585.909138,715.671449,76301.580587,0.030188,43.748744,9.895175,0.888889,0.009380,173.719233,6127.180088,4951.331816,84.496983,1494.981955,1207.038717,-4.329630,-3.183231456205249e-12
2025-01-15,初始化,2025-01-14,2025-01-14,否,否,否,21.0,5.0,1,28,1.6372340244061407,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5995.670370,6000.000000,6000.000000,74597.233609,75652.392418,1004.571667,76656.964086,0.030271,34.715947,8.251396,0.881944,0.013105,179.259317,4733.943399,3642.359591,17.962183,1060.468416,858.979417,0.000000,-6.0254023992456496e-12
2025-01-16,初始化,2025-01-15,2025-01-15,否,否,否,21.0,5.0,1,28,1.637743169707307,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,74787.799621,74830.876361,1226.800355,76057.676715,0.031023,42.306821,10.333418,0.798611,0.016130,224.199017,5695.116552,4373.752966,4.496117,1483.248169,1201.431017,0.000000,-3.410605131648481e-12
2025-01-17,初始化,2025-01-16,2025-01-16,否,否,否,14.0,5.0,1,28,1.2959115431136776,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,24989.346597,24262.455916,267.840425,24530.296341,0.045597,43.024252,10.086731,0.819444,0.010919,119.679283,4028.169650,1948.286188,1947.913560,1959.022510,1586.808233,0.000000,3.183231456205249e-12
2025-01-18,初始化,2025-01-17,2025-01-17,否,否,否,14.0,5.0,1,28,1.3160671503222476,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5969.300037,25192.219643,24633.114946,438.082034,25071.196980,0.045449,41.723141,10.186276,0.812500,0.017474,154.961949,3770.782285,1734.592309,1980.006467,2337.132468,1865.447332,-30.699963,0.0
2025-01-19,初始化,2025-01-18,2025-01-18,否,否,否,42.0,5.0,1,28,1.6656558745016663,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5969.300037,6000.000000,6000.000000,74224.898365,74494.292589,422.465666,74916.758255,0.035061,36.161980,8.185604,0.868056,0.005639,83.973983,5041.098070,3595.512876,55.528917,1383.514403,1120.646667,0.000000,2.2737367544323206e-13
2025-01-20,初始化,2025-01-19,2025-01-19,否,否,否,21.0,7.0,1,28,1.6426150949379752,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5988.276889,73761.620730,74367.753598,429.322531,74797.076130,0.028767,41.380995,8.901781,0.909722,0.005740,99.998383,6089.710987,4695.474253,0.483500,1689.795370,1358.183450,-11.723111,4.092726157978177e-12
2025-01-21,初始化,2025-01-20,2025-01-20,否,否,否,21.0,7.0,1,28,1.6405872186390114,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5988.276889,6000.000000,6000.000000,73896.528566,72735.778879,406.545196,73142.324075,0.034874,73.480467,15.620610,0.902778,0.005558,74.729067,10835.685612,7936.174407,100.494417,3810.693395,3086.661650,0.000000,9.094947017729282e-13
2025-01-22,初始化,2025-01-21,2025-01-21,否,否,否,42.0,7.0,1,28,1.648795918654758,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,74384.461172,74133.939002,380.537339,74514.476342,0.031578,36.996297,8.769835,0.847222,0.005107,106.891000,4942.017013,3937.062831,113.713417,1469.731213,1190.482283,0.000000,9.094947017729282e-13
2025-01-23,初始化,2025-01-22,2025-01-22,否,否,否,42.0,5.0,1,28,1.6302574264241323,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,73228.931225,74677.395055,475.900506,75153.295562,0.032452,30.951736,8.260556,0.812500,0.006332,98.227331,3841.464526,2912.871213,12.818800,1540.558042,1247.852014,0.000000,1.8189894035458565e-12
2025-01-24,初始化,2025-01-23,2025-01-23,否,否,否,10.0,7.0,1,28,1.290709790149973,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,24608.519088,23243.083564,110.613410,23353.696974,0.053861,59.756994,12.677898,0.923611,0.004736,55.672263,6257.086370,2619.381254,2414.358126,1892.023329,1532.538897,0.000000,6.139089236967266e-12
2025-01-25,初始化,2025-01-24,2025-01-24,否,否,否,42.0,7.0,1,28,1.2960861601376437,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,24203.857838,22950.775581,27.246295,22978.021876,0.060909,65.579464,13.728566,0.847222,0.001186,14.865133,5402.215693,2411.440323,4119.258361,1880.258970,1523.009766,0.000000,5.002220859751105e-12
2025-01-26,初始化,2025-01-25,2025-01-25,否,否,否,42.0,5.0,1,28,1.6569829344100075,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5989.190741,72859.042119,73419.375836,305.644080,73725.019916,0.034659,39.376830,9.209374,0.868056,0.004146,57.357450,5534.216294,4101.334882,17.569717,2393.476461,1928.987600,-10.809259,9.094947017729282e-13
2025-01-27,初始化,2025-01-26,2025-01-26,否,否,否,21.0,5.0,1,28,1.646337855268301,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5989.190741,6000.000000,6000.000000,72171.704394,71888.565802,195.824180,72084.389983,0.031505,59.159102,12.462787,0.916667,0.002717,36.230133,8848.725993,6703.278770,64.082000,3476.480226,2815.948983,0.000000,-6.821210263296962e-12
2025-01-28,初始化,2025-01-27,2025-01-27,否,否,否,42.0,5.0,1,28,1.6112145306389916,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,70522.937396,71675.915514,511.488739,72187.404254,0.032986,38.899075,8.663620,0.868056,0.007086,153.879657,5532.750076,4250.758026,118.084817,1682.709926,1362.995040,0.000000,2.0463630789890885e-12
2025-01-29,初始化,2025-01-28,2025-01-28,否,否,否,42.0,5.0,1,28,1.6486977817220354,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,72092.640515,70213.797099,47.711893,70261.508993,0.042872,74.056424,15.234105,0.937500,0.000679,9.332817,11269.525007,8549.658717,66.931317,4557.642407,3691.690350,0.000000,-9.094947017729282e-13
2025-01-30,初始化,2025-01-29,2025-01-29,否,否,否,28.0,3.0,1,28,1.6513389973054275,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,70797.819892,69307.466240,50.892864,69358.359105,0.038069,47.337756,10.034640,0.916667,0.000734,7.801800,6844.226513,5114.273495,32.387417,1707.251296,1382.873550,0.000000,-2.2737367544323206e-13
2025-01-31,初始化,2025-01-30,2025-01-30,否,否,否,14.0,3.0,1,28,1.2680243411757524,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,21763.465330,21368.056374,65.728498,21433.784872,0.050806,42.574293,9.962954,0.833333,0.003067,24.464248,4054.072416,1709.016863,1629.931650,1178.565883,954.638365,0.000000,4.320099833421409e-12
2025-02-01,正式期,2025-01-31,2025-01-31,否,否,否,42.0,3.0,1,28,1.2668047139617293,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,21613.400234,20422.693202,0.000000,20422.693202,0.073451,68.924995,13.839567,0.993056,0.000000,0.000000,6969.199063,2702.908525,3445.799983,2715.750597,2199.757983,0.000000,0.0
2025-02-02,正式期,2025-02-01,2025-02-01,否,否,否,28.0,3.0,1,28,1.6468317168219786,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,69395.935609,66156.086666,57.549807,66213.636472,0.082076,75.781137,15.193935,0.986111,0.000869,9.049900,11460.597262,7957.713007,166.806250,3810.366728,3086.397050,0.000000,-5.9117155615240335e-12
2025-02-03,正式期,2025-02-02,2025-02-02,否,否,否,21.0,3.0,1,28,1.602032714707226,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,67501.956495,66701.123912,0.000000,66701.123912,0.068237,57.976864,11.730590,0.972222,0.000000,0.000000,8902.607838,6137.406287,45.105267,3494.468621,2830.519583,0.000000,2.2737367544323206e-12
2025-02-04,正式期,2025-02-03,2025-02-03,否,否,否,14.0,3.0,1,28,1.6057482258836677,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,67723.839244,66084.301812,261.690551,66345.992362,0.067634,48.888107,10.391540,0.944444,0.003944,50.304683,7063.910984,4646.511874,107.596117,1978.925267,1602.929467,0.000000,6.821210263296962e-13
2025-02-05,正式期,2025-02-04,2025-02-04,否,否,否,7.0,3.0,1,28,1.5674544210062327,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,66548.963803,65842.503652,47.489701,65889.993352,0.060924,49.884589,10.649665,0.965278,0.000721,7.338283,7214.796958,5291.221468,124.975150,2484.060391,2012.088917,0.000000,5.002220859751105e-12
2025-02-06,正式期,2025-02-05,2025-02-05,否,否,否,3.0,3.0,1,28,1.5761479692840217,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,65451.319681,63970.519255,362.685834,64333.205089,0.068147,39.568260,9.080143,0.819444,0.005638,83.284150,5587.541641,4048.136105,33.109433,2102.385041,1702.931883,0.000000,2.7284841053187847e-12
2025-02-07,正式期,2025-02-06,2025-02-06,否,否,否,10.0,3.0,1,14,1.2240002008444757,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,21165.528194,19373.397686,0.000000,19373.397686,0.074283,74.724550,15.021043,0.979167,0.000000,0.000000,6621.359129,2502.466393,4477.120292,1972.042305,1597.354267,0.000000,2.5011104298755527e-12
2025-02-08,正式期,2025-02-07,2025-02-07,否,否,否,7.0,3.0,1,7,1.0997147992405174,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,18494.179756,18409.728918,3.514098,18413.243016,0.046144,61.863332,12.676015,0.944444,0.000191,1.020650,5124.910716,1997.197401,4139.358186,2634.397819,2133.862233,0.000000,1.3642420526593924e-12
2025-02-09,正式期,2025-02-08,2025-02-08,否,否,否,3.0,3.0,1,7,1.4262955942078839,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,60603.742240,62109.865946,75.070710,62184.936656,0.042770,38.814336,9.964655,0.854167,0.001207,14.676581,4914.854299,3533.555771,10.501917,1990.910799,1612.637747,0.000000,6.59383658785373e-12
2025-02-10,正式期,2025-02-09,2025-02-09,否,否,否,3.0,3.0,1,7,1.4258971326687113,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5950.401741,60951.461622,60293.679752,247.441186,60541.120938,0.041661,69.037098,15.045464,0.854167,0.004087,87.364272,10060.896100,6735.301954,283.075283,4552.042167,3642.515722,-49.598259,4.547473508864641e-12
2025-02-11,正式期,2025-02-10,2025-02-10,否,否,否,3.0,3.0,1,7,1.4229722942180771,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5950.401741,6000.000000,6000.000000,60866.032109,60449.030327,93.754158,60542.784485,0.035918,56.591842,11.981577,0.868056,0.001549,29.301818,8184.684271,5708.689146,213.604433,2832.114055,2294.012384,0.000000,0.0
2025-02-12,正式期,2025-02-11,2025-02-11,否,否,否,3.0,3.0,1,7,1.4148749495400572,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,60010.257597,59233.685950,331.274125,59564.960074,0.036607,49.528604,10.793156,0.833333,0.005562,69.827864,7186.759785,4636.534696,111.621983,2749.492918,2227.089263,0.000000,-5.9117155615240335e-12
2025-02-13,正式期,2025-02-12,2025-02-12,否,否,否,3.0,3.0,1,7,1.3951091715266584,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,58931.375933,57751.405461,305.583328,58056.988789,0.042588,71.229380,15.785758,0.819444,0.005264,116.580191,9906.250921,6272.347673,662.107950,4915.217788,3981.326408,0.000000,1.8189894035458565e-12
2025-02-14,正式期,2025-02-13,2025-02-13,否,否,否,5.0,3.0,1,7,1.0619791704380945,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,15867.274609,15749.145460,276.275412,16025.420871,0.055448,41.259144,11.389651,0.791667,0.017240,70.816417,1318.584101,611.383388,3348.780067,845.819218,685.113567,0.000000,6.821210263296962e-13
2025-02-15,正式期,2025-02-14,2025-02-14,否,否,否,5.0,3.0,1,7,1.0751099704142715,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5964.819180,15746.030973,16196.800439,37.311014,16234.111454,0.045870,38.725939,9.630049,0.770833,0.002298,12.972383,594.281406,345.507765,4439.525421,1146.584944,897.071067,-35.180820,2.5011104298755527e-12
2025-02-16,正式期,2025-02-15,2025-02-15,否,否,否,3.0,3.0,1,7,1.4211451472191043,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5964.819180,6000.000000,6000.000000,57271.892161,57109.146530,469.084346,57578.230876,0.039828,32.271799,8.121503,0.819444,0.008147,104.241336,4235.845927,2978.170742,24.286883,1626.216444,1317.235319,0.000000,1.1368683772161603e-12
2025-02-17,正式期,2025-02-16,2025-02-16,否,否,否,3.0,3.0,1,7,1.3730286974299752,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5984.207407,55088.022202,56107.976265,204.577412,56312.553677,0.033290,54.383533,12.092486,0.840278,0.003633,84.149083,7534.449887,5024.209168,491.216900,3577.103704,2883.240667,-15.792593,1.8189894035458565e-12
2025-02-18,正式期,2025-02-17,2025-02-17,否,否,否,3.0,3.0,1,7,1.3814632025685405,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5984.207407,6000.000000,6000.000000,55478.848946,54943.742996,534.217268,55477.960264,0.035261,44.506050,9.991892,0.826389,0.009629,116.739817,6421.327727,4128.407815,87.274383,2665.886543,2159.368100,0.000000,3.183231456205249e-12
2025-02-19,正式期,2025-02-18,2025-02-18,否,否,否,3.0,3.0,1,7,1.3733145764176842,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5939.394370,55207.948641,54872.086651,631.822182,55503.908832,0.034250,44.924305,12.258892,0.701389,0.011383,206.546950,5137.444297,3288.105856,223.794100,1066.217263,809.090917,-60.605630,-3.296918293926865e-12
2025-02-20,正式期,2025-02-19,2025-02-19,否,否,否,5.0,3.0,1,7,1.3444354699667718,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5939.394370,6000.000000,6000.000000,54536.441211,55474.689743,341.371759,55816.061502,0.031398,52.768975,12.011012,0.833333,0.006116,81.400602,7258.785570,4755.682327,226.636733,2656.597287,2151.843802,0.000000,4.547473508864641e-13
2025-02-21,正式期,2025-02-20,2025-02-20,否,否,否,5.0,3.0,1,7,1.0404675674536916,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,15154.406634,15491.658595,192.353486,15684.012081,0.058165,44.229832,10.224829,0.847222,0.012264,72.344250,1439.761639,680.108002,6331.625523,949.909053,769.426333,0.000000,-1.4779288903810084e-12
2025-02-22,正式期,2025-02-21,2025-02-21,否,否,否,7.0,3.0,1,7,1.0684006142646685,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,15347.823249,15617.404130,175.073010,15792.477140,0.048388,28.517468,8.006798,0.701389,0.011086,44.811100,986.772440,486.346625,4511.752414,1061.725638,859.997767,0.000000,9.094947017729282e-13
2025-02-23,正式期,2025-02-22,2025-02-22,否,否,否,5.0,3.0,1,7,1.4043404855635941,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,54647.573250,54298.053539,166.110414,54464.163953,0.040468,44.330444,11.282047,0.847222,0.003050,64.236319,5466.030486,3663.199354,208.689565,2034.526134,1647.966169,0.000000,5.4569682106375694e-12
2025-02-24,正式期,2025-02-23,2025-02-23,否,否,否,5.0,3.0,1,7,1.3746663351417074,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,53575.949688,53834.725809,134.277911,53969.003720,0.033095,60.354844,12.781327,0.909722,0.002488,24.781500,8298.932912,5193.684804,724.944183,3415.631728,2766.661700,0.000000,-3.183231456205249e-12
2025-02-25,正式期,2025-02-24,2025-02-24,否,否,否,5.0,3.0,1,7,1.369507923645486,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,53175.456363,52610.021209,205.021628,52815.042837,0.035414,74.193346,15.722781,0.895833,0.003882,43.434800,8816.740388,4971.516561,2293.098083,4247.029938,3440.094250,0.000000,1.3642420526593924e-12
2025-02-26,正式期,2025-02-25,2025-02-25,否,否,否,7.0,3.0,1,7,1.368038787399619,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,52748.242898,52666.864614,126.723362,52793.587977,0.035561,47.142031,10.231833,0.875000,0.002400,25.489883,6462.570767,4000.357396,507.303217,2850.401317,2308.825067,0.000000,-1.3642420526593924e-12
2025-02-27,正式期,2025-02-26,2025-02-26,否,否,否,7.0,3.0,1,7,1.360584302937985,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,52470.526277,51063.462192,207.082713,51270.544905,0.035001,56.033858,11.817278,0.923611,0.004039,36.840133,7318.996640,4403.530853,760.174266,1402.622840,1136.124500,0.000000,1.1368683772161603e-12
2025-02-28,正式期,2025-02-27,2025-02-27,否,否,否,7.0,3.0,1,7,1.035092940401225,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,14729.082702,14617.366396,38.603935,14655.970331,0.053346,43.011610,11.162833,0.777778,0.002634,20.788333,2006.693480,861.830608,7297.948926,1027.821173,832.535150,0.000000,7.617018127348274e-12
2025-03-01,正式期,2025-02-28,2025-02-28,否,否,否,7.0,3.0,1,7,1.0743232320460463,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,6000.000000,14948.748360,14696.491010,0.000000,14696.491010,0.051227,45.635546,13.855517,0.812500,0.000000,0.000000,958.205418,457.283676,7828.726563,1541.921481,1248.956400,0.000000,-2.5011104298755527e-12
2025-03-02,正式期,2025-03-01,2025-03-01,否,否,否,7.0,3.0,1,7,1.3960587047739657,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,6000.000000,6000.000000,5997.127778,53117.820192,52947.744476,13949.612241,66897.356717,0.055990,63.880256,24.794677,0.756944,0.208523,2563.739122,6714.605627,4424.206409,27.869967,3928.078710,3179.158755,-2.872222,-3.183231456205249e-12
2025-03-03,正式期,2025-03-02,2025-03-02,否,否,否,7.0,3.0,1,7,1.366513828332624,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,144,5997.127778,6000.000000,5996.351685,55183.125232,55593.616510,527.543937,56121.160447,0.045456,58.323526,14.245367,0.777778,0.009400,114.047250,7449.010809,5130.804640,194.979400,1930.470576,1560.397683,-3.648315,-6.821210263296962e-13
