日期,时间段,预测负载电量,预测光伏电量,冻结计划购电量,辅助充电量,辅助放电量,辅助时段末储电量
2025-01-01,03:30-03:40,590.213117,0.000000,590.213117,0.000000,0.000000,10050.000000
2025-01-01,03:40-03:50,591.066267,0.000000,591.066267,0.000000,0.000000,10050.000000
2025-01-01,03:50-04:00,593.367833,0.000000,593.367833,0.000000,0.000000,10050.000000
2025-01-01,04:00-04:10,593.659683,0.000000,593.659683,0.000000,0.000000,10050.000000
2025-01-01,04:10-04:20,592.786383,0.000000,592.786383,0.000000,0.000000,10050.000000
2025-01-01,04:20-04:30,593.337867,0.000000,593.337867,0.000000,0.000000,10050.000000
2025-01-01,04:30-04:40,596.775667,0.000000,596.775667,0.000000,0.000000,10050.000000
2025-01-01,04:40-04:50,597.819333,0.000000,597.819333,0.000000,0.000000,10050.000000
2025-01-01,04:50-05:00,595.210583,0.000000,595.210583,0.000000,0.000000,10050.000000
2025-01-01,05:00-05:10,593.719517,3.113017,590.606500,0.000000,0.000000,10050.000000
2025-01-01,05:10-05:20,598.563483,9.078300,589.485183,0.000000,0.000000,10050.000000
2025-01-01,05:20-05:30,596.617417,18.161967,578.455450,0.000000,0.000000,10050.000000
2025-01-01,05:30-05:40,581.019833,30.693383,1383.659783,833.333333,0.000000,10800.000000
2025-01-01,05:40-05:50,637.316567,46.176367,591.140200,0.000000,0.000000,10800.000000
2025-01-01,05:50-06:00,733.012117,64.758233,0.000000,0.000000,668.253883,10057.495685
2025-01-01,06:00-06:10,742.335383,86.880050,0.000000,0.000000,655.455333,9329.211981
2025-01-01,06:10-06:20,728.631983,112.127950,0.000000,0.000000,616.504033,8644.207500
2025-01-01,06:20-06:30,732.158833,140.704350,0.000000,0.000000,591.454483,7987.035852
2025-01-01,06:30-06:40,730.765933,173.279067,0.000000,0.000000,557.486867,7367.606000
2025-01-01,06:40-06:50,739.129283,209.889583,0.000000,0.000000,529.239700,6779.561889
2025-01-01,06:50-07:00,753.909350,251.438633,0.000000,0.000000,502.470717,6221.261093
2025-01-01,07:00-07:10,754.012017,298.568450,0.000000,0.000000,455.443567,5715.212685
2025-01-01,07:10-07:20,757.647783,347.581083,0.000000,0.000000,410.066700,5259.583019
2025-01-01,07:20-07:30,753.873633,396.876850,0.000000,0.000000,356.996783,4862.919926
2025-01-01,07:30-07:40,730.559433,447.195867,0.000000,0.000000,283.363567,4548.071519
2025-01-01,07:40-07:50,818.409983,497.725867,0.000000,0.000000,320.684117,4191.755833
2025-01-01,07:50-08:00,966.622117,548.200667,0.000000,0.000000,418.421450,3726.843111
2025-01-01,08:00-08:10,980.804333,598.893550,0.000000,0.000000,381.910783,3302.497796
2025-01-01,08:10-08:20,958.011883,648.455533,0.000000,0.000000,309.556350,2958.546296
2025-01-01,08:20-08:30,961.509683,696.890283,0.000000,0.000000,264.619400,2664.524741
2025-01-01,08:30-08:40,959.035083,745.294283,0.000000,0.000000,213.740800,2427.034963
2025-01-01,08:40-08:50,970.696783,792.137867,0.000000,0.000000,178.558917,2228.636167
2025-01-01,08:50-09:00,992.376683,836.984567,0.000000,0.000000,155.392117,2055.978259
2025-01-01,09:00-09:10,993.161600,880.902100,0.000000,0.000000,112.259500,1931.245481
2025-01-01,09:10-09:20,988.259233,923.862367,0.000000,0.000000,64.396867,1859.693407
2025-01-01,09:20-09:30,987.297133,964.734883,0.000000,0.000000,22.562250,1834.624241
2025-01-01,09:30-09:40,984.597667,1002.021733,0.000000,17.424067,0.000000,1850.305901
2025-01-01,09:40-09:50,983.187700,1036.025467,0.000000,52.837767,0.000000,1897.859891
2025-01-01,09:50-10:00,983.703267,1068.265683,0.000000,84.562417,0.000000,1973.966066
2025-01-01,10:00-10:10,982.913217,1099.896800,0.000000,116.983583,0.000000,2079.251291
2025-01-01,10:10-10:20,981.126133,1127.786733,0.000000,146.660600,0.000000,2211.245831
2025-01-01,10:20-10:30,978.911800,1152.432050,0.000000,173.520250,0.000000,2367.414056
2025-01-01,10:30-10:40,976.338467,1177.367550,0.000000,201.029083,0.000000,2548.340231
2025-01-01,10:40-10:50,974.165800,1199.571917,0.000000,225.406117,0.000000,2751.205736
2025-01-01,10:50-11:00,973.176450,1217.185700,0.000000,244.009250,0.000000,2970.814061
2025-01-01,11:00-11:10,973.118383,1231.280800,575.170917,833.333333,0.000000,3720.814061
2025-01-01,11:10-11:20,970.572967,1243.204500,0.000000,272.631533,0.000000,3966.182441
2025-01-01,11:20-11:30,969.132200,1253.453183,0.000000,284.320983,0.000000,4222.071326
2025-01-01,11:30-11:40,972.065850,1261.367317,179.277171,468.578638,0.000000,4643.792100
2025-01-01,11:40-11:50,952.150167,1265.358983,520.124517,833.333333,0.000000,5393.792100
2025-01-01,11:50-12:00,919.910117,1266.840550,486.402900,833.333333,0.000000,6143.792100
2025-01-01,12:00-12:10,915.798450,1268.719333,480.412450,833.333333,0.000000,6893.792100
2025-01-01,12:10-12:20,919.075400,1267.108733,485.300000,833.333333,0.000000,7643.792100
2025-01-01,12:20-12:30,914.304833,1259.031200,488.606967,833.333333,0.000000,8393.792100
2025-01-01,12:30-12:40,910.393800,1245.456400,498.270733,833.333333,0.000000,9143.792100
2025-01-01,12:40-12:50,927.684433,1232.236200,0.000000,304.551767,0.000000,9417.888690
2025-01-01,12:50-13:00,954.292467,1218.799650,0.000000,264.507183,0.000000,9655.945155
2025-01-01,13:00-13:10,956.582617,1199.090167,0.000000,242.507550,0.000000,9874.201950
2025-01-01,13:10-13:20,952.447267,1175.522850,0.000000,223.075583,0.000000,10074.969975
2025-01-01,13:20-13:30,952.975083,1151.734400,0.000000,198.759317,0.000000,10253.853360
2025-01-01,13:30-13:40,951.374767,1128.734583,0.000000,177.359817,0.000000,10413.477195
2025-01-01,13:40-13:50,949.486367,1101.226667,0.000000,151.740300,0.000000,10550.043465
2025-01-01,13:50-14:00,948.716383,1068.751417,0.000000,120.035033,0.000000,10658.074995
2025-01-01,14:00-14:10,947.854850,1035.669300,0.000000,87.814450,0.000000,10737.108000
2025-01-01,14:10-14:20,946.493667,1000.118533,0.000000,53.624867,0.000000,10785.370380
2025-01-01,14:20-14:30,944.908467,961.163600,0.000000,16.255133,0.000000,10800.000000
2025-01-01,14:30-14:40,944.032467,920.251100,0.000000,0.000000,23.781367,10773.576259
2025-01-01,14:40-14:50,945.450183,878.130167,0.000000,0.000000,67.320017,10698.776241
2025-01-01,14:50-15:00,947.042400,834.952533,112.089867,0.000000,0.000000,10698.776241
2025-01-01,15:00-15:10,944.836583,790.574733,266.732694,112.470844,0.000000,10800.000000
2025-01-01,15:10-15:20,942.727517,745.204000,197.523517,0.000000,0.000000,10800.000000
2025-01-01,15:20-15:30,942.847783,698.033750,244.814033,0.000000,0.000000,10800.000000
2025-01-01,15:30-15:40,943.766800,648.232183,295.534617,0.000000,0.000000,10800.000000
2025-01-01,15:40-15:50,944.876600,599.099100,345.777500,0.000000,0.000000,10800.000000
2025-01-01,15:50-16:00,945.579450,550.647967,394.931483,0.000000,0.000000,10800.000000
2025-01-01,16:00-16:10,945.169100,499.737450,445.431650,0.000000,0.000000,10800.000000
2025-01-01,16:10-16:20,943.598767,447.902183,495.696583,0.000000,0.000000,10800.000000
2025-01-01,16:20-16:30,944.315367,397.196317,547.119050,0.000000,0.000000,10800.000000
2025-01-01,16:30-16:40,948.172867,348.187433,599.985433,0.000000,0.000000,10800.000000
2025-01-01,16:40-16:50,933.943567,298.513817,635.429750,0.000000,0.000000,10800.000000
2025-01-01,16:50-17:00,911.118733,250.288050,660.830683,0.000000,0.000000,10800.000000
2025-01-01,17:00-17:10,911.232317,209.195383,702.036933,0.000000,0.000000,10800.000000
2025-01-01,17:10-17:20,910.787833,172.722050,738.065783,0.000000,0.000000,10800.000000
2025-01-01,17:20-17:30,915.407633,139.462917,775.944717,0.000000,0.000000,10800.000000
2025-01-01,17:30-17:40,936.955133,110.871883,826.083250,0.000000,0.000000,10800.000000
2025-01-01,17:40-17:50,848.535433,86.112633,762.422800,0.000000,0.000000,10800.000000
2025-01-01,17:50-18:00,701.428133,64.445517,636.982617,0.000000,0.000000,10800.000000
2025-01-01,18:00-18:10,687.126850,45.965550,532.078317,0.000000,109.082983,10678.796685
2025-01-01,18:10-18:20,709.322633,30.492100,678.830533,0.000000,0.000000,10678.796685
2025-01-01,18:20-18:30,704.325400,18.056900,686.268500,0.000000,0.000000,10678.796685
2025-01-01,18:30-18:40,705.556400,9.052017,696.504383,0.000000,0.000000,10678.796685
2025-01-01,18:40-18:50,707.743750,3.109483,0.000000,0.000000,704.634267,9895.869722
2025-01-01,18:50-19:00,706.529917,0.000000,0.000000,0.000000,706.529917,9110.836481
2025-01-01,19:00-19:10,707.444733,0.000000,0.000000,0.000000,707.444733,8324.786778
2025-01-01,19:10-19:20,708.653117,0.000000,0.000000,0.000000,708.653117,7537.394426
2025-01-01,19:20-19:30,709.446883,0.000000,0.000000,0.000000,709.446883,6749.120111
2025-01-01,19:30-19:40,711.232450,0.000000,0.000000,0.000000,711.232450,5958.861833
2025-01-01,19:40-19:50,711.662500,0.000000,0.000000,0.000000,711.662500,5168.125722
2025-01-01,19:50-20:00,711.445033,0.000000,0.000000,0.000000,711.445033,4377.631241
2025-01-01,20:00-20:10,713.704083,0.000000,0.000000,0.000000,713.704083,3584.626704
2025-01-01,20:10-20:20,715.284150,0.000000,0.000000,0.000000,715.284150,2789.866537
2025-01-01,20:20-20:30,715.226850,0.000000,0.000000,0.000000,715.226850,1995.170037
2025-01-01,20:30-20:40,715.653033,0.000000,0.000000,0.000000,715.653033,1200.000000
2025-01-01,20:40-20:50,715.868917,0.000000,715.868917,0.000000,0.000000,1200.000000
2025-01-01,20:50-21:00,717.005117,0.000000,717.005117,0.000000,0.000000,1200.000000
2025-01-01,21:00-21:10,720.160300,0.000000,720.160300,0.000000,0.000000,1200.000000
2025-01-01,21:10-21:20,717.054867,0.000000,717.054867,0.000000,0.000000,1200.000000
2025-01-01,21:20-21:30,720.445967,0.000000,720.445967,0.000000,0.000000,1200.000000
2025-01-01,21:30-21:40,738.134717,0.000000,738.134717,0.000000,0.000000,1200.000000
2025-01-01,21:40-21:50,671.693567,0.000000,671.693567,0.000000,0.000000,1200.000000
2025-01-01,21:50-22:00,560.456983,0.000000,1393.790317,833.333333,0.000000,1950.000000
2025-01-01,22:00-22:10,551.565567,0.000000,1384.898900,833.333333,0.000000,2700.000000
2025-01-01,22:10-22:20,568.826050,0.000000,568.826050,0.000000,0.000000,2700.000000
2025-01-01,22:20-22:30,563.655217,0.000000,1396.988550,833.333333,0.000000,3450.000000
2025-01-01,22:30-22:40,564.426533,0.000000,1397.759867,833.333333,0.000000,4200.000000
2025-01-01,22:40-22:50,566.747433,0.000000,566.747433,0.000000,0.000000,4200.000000
2025-01-01,22:50-23:00,566.540433,0.000000,1066.540433,500.000000,0.000000,4650.000000
2025-01-01,23:00-23:10,567.830150,0.000000,567.830150,0.000000,0.000000,4650.000000
2025-01-01,23:10-23:20,569.358633,0.000000,569.358633,0.000000,0.000000,4650.000000
2025-01-01,23:20-23:30,570.330183,0.000000,1403.663517,833.333333,0.000000,5400.000000
2025-01-01,23:30-23:40,571.615383,0.000000,571.615383,0.000000,0.000000,5400.000000
2025-01-01,23:40-23:50,573.176833,0.000000,573.176833,0.000000,0.000000,5400.000000
2025-01-01,23:50-24:00,574.120983,0.000000,574.120983,0.000000,0.000000,5400.000000
