内部时段序号,内部真实区间,附件1/2结束时刻口径区间,模板列,模板列号,模板显示区间,映射说明
21,03:20-03:30,03:20-03:30,V,22,3:30-3:40,数值不循环移动；末段仍归本日期
22,03:30-03:40,03:30-03:40,W,23,3:40-3:50,数值不循环移动；末段仍归本日期
23,03:40-03:50,03:40-03:50,X,24,3:50-4:00,数值不循环移动；末段仍归本日期
24,03:50-04:00,03:50-04:00,Y,25,4:00-4:10,数值不循环移动；末段仍归本日期
25,04:00-04:10,04:00-04:10,Z,26,4:10-4:20,数值不循环移动；末段仍归本日期
26,04:10-04:20,04:10-04:20,AA,27,4:20-4:30,数值不循环移动；末段仍归本日期
27,04:20-04:30,04:20-04:30,AB,28,4:30-4:40,数值不循环移动；末段仍归本日期
28,04:30-04:40,04:30-04:40,AC,29,4:40-4:50,数值不循环移动；末段仍归本日期
29,04:40-04:50,04:40-04:50,AD,30,4:50-5:00,数值不循环移动；末段仍归本日期
30,04:50-05:00,04:50-05:00,AE,31,5:00-5:10,数值不循环移动；末段仍归本日期
31,05:00-05:10,05:00-05:10,AF,32,5:10-5:20,数值不循环移动；末段仍归本日期
32,05:10-05:20,05:10-05:20,AG,33,5:20-5:30,数值不循环移动；末段仍归本日期
33,05:20-05:30,05:20-05:30,AH,34,5:30-5:40,数值不循环移动；末段仍归本日期
34,05:30-05:40,05:30-05:40,AI,35,5:40-5:50,数值不循环移动；末段仍归本日期
35,05:40-05:50,05:40-05:50,AJ,36,5:50-6:00,数值不循环移动；末段仍归本日期
36,05:50-06:00,05:50-06:00,AK,37,6:00-6:10,数值不循环移动；末段仍归本日期
37,06:00-06:10,06:00-06:10,AL,38,6:10-6:20,数值不循环移动；末段仍归本日期
38,06:10-06:20,06:10-06:20,AM,39,6:20-6:30,数值不循环移动；末段仍归本日期
39,06:20-06:30,06:20-06:30,AN,40,6:30-6:40,数值不循环移动；末段仍归本日期
40,06:30-06:40,06:30-06:40,AO,41,6:40-6:50,数值不循环移动；末段仍归本日期
41,06:40-06:50,06:40-06:50,AP,42,6:50-7:00,数值不循环移动；末段仍归本日期
42,06:50-07:00,06:50-07:00,AQ,43,7:0-7:10,数值不循环移动；末段仍归本日期
43,07:00-07:10,07:00-07:10,AR,44,7:10-7:20,数值不循环移动；末段仍归本日期
44,07:10-07:20,07:10-07:20,AS,45,7:20-7:30,数值不循环移动；末段仍归本日期
45,07:20-07:30,07:20-07:30,AT,46,7:30-7:40,数值不循环移动；末段仍归本日期
46,07:30-07:40,07:30-07:40,AU,47,7:40-7:50,数值不循环移动；末段仍归本日期
47,07:40-07:50,07:40-07:50,AV,48,7:50-8:00,数值不循环移动；末段仍归本日期
48,07:50-08:00,07:50-08:00,AW,49,8:00-8:10,数值不循环移动；末段仍归本日期
49,08:00-08:10,08:00-08:10,AX,50,8:10-8:20,数值不循环移动；末段仍归本日期
50,08:10-08:20,08:10-08:20,AY,51,8:20-8:30,数值不循环移动；末段仍归本日期
51,08:20-08:30,08:20-08:30,AZ,52,8:30-8:40,数值不循环移动；末段仍归本日期
52,08:30-08:40,08:30-08:40,BA,53,8:40-8:50,数值不循环移动；末段仍归本日期
53,08:40-08:50,08:40-08:50,BB,54,8:50-9:00,数值不循环移动；末段仍归本日期
54,08:50-09:00,08:50-09:00,BC,55,9:00-9:10,数值不循环移动；末段仍归本日期
55,09:00-09:10,09:00-09:10,BD,56,9:10-9:20,数值不循环移动；末段仍归本日期
56,09:10-09:20,09:10-09:20,BE,57,9:20-9:30,数值不循环移动；末段仍归本日期
57,09:20-09:30,09:20-09:30,BF,58,9:30-9:40,数值不循环移动；末段仍归本日期
58,09:30-09:40,09:30-09:40,BG,59,9:40-9:50,数值不循环移动；末段仍归本日期
59,09:40-09:50,09:40-09:50,BH,60,9:50-10:00,数值不循环移动；末段仍归本日期
60,09:50-10:00,09:50-10:00,BI,61,10:00-10:10,数值不循环移动；末段仍归本日期
61,10:00-10:10,10:00-10:10,BJ,62,10:10-10:20,数值不循环移动；末段仍归本日期
62,10:10-10:20,10:10-10:20,BK,63,10:20-10:30,数值不循环移动；末段仍归本日期
63,10:20-10:30,10:20-10:30,BL,64,10:30-10:40,数值不循环移动；末段仍归本日期
64,10:30-10:40,10:30-10:40,BM,65,10:40-10:50,数值不循环移动；末段仍归本日期
65,10:40-10:50,10:40-10:50,BN,66,10:50-11:00,数值不循环移动；末段仍归本日期
66,10:50-11:00,10:50-11:00,BO,67,11:00-11:10,数值不循环移动；末段仍归本日期
67,11:00-11:10,11:00-11:10,BP,68,11:10-11:20,数值不循环移动；末段仍归本日期
68,11:10-11:20,11:10-11:20,BQ,69,11:20-11:30,数值不循环移动；末段仍归本日期
69,11:20-11:30,11:20-11:30,BR,70,11:30-11:40,数值不循环移动；末段仍归本日期
70,11:30-11:40,11:30-11:40,BS,71,11:40-11:50,数值不循环移动；末段仍归本日期
71,11:40-11:50,11:40-11:50,BT,72,11:50-12:00,数值不循环移动；末段仍归本日期
72,11:50-12:00,11:50-12:00,BU,73,12:00-12:10,数值不循环移动；末段仍归本日期
73,12:00-12:10,12:00-12:10,BV,74,12:10-12:20,数值不循环移动；末段仍归本日期
74,12:10-12:20,12:10-12:20,BW,75,12:20-12:30,数值不循环移动；末段仍归本日期
75,12:20-12:30,12:20-12:30,BX,76,12:30-12:40,数值不循环移动；末段仍归本日期
76,12:30-12:40,12:30-12:40,BY,77,12:40-12:50,数值不循环移动；末段仍归本日期
77,12:40-12:50,12:40-12:50,BZ,78,12:50-13:00,数值不循环移动；末段仍归本日期
78,12:50-13:00,12:50-13:00,CA,79,13:00-13:10,数值不循环移动；末段仍归本日期
79,13:00-13:10,13:00-13:10,CB,80,13:10-13:20,数值不循环移动；末段仍归本日期
80,13:10-13:20,13:10-13:20,CC,81,13:20-13:30,数值不循环移动；末段仍归本日期
81,13:20-13:30,13:20-13:30,CD,82,13:30-13:40,数值不循环移动；末段仍归本日期
82,13:30-13:40,13:30-13:40,CE,83,13:40-13:50,数值不循环移动；末段仍归本日期
83,13:40-13:50,13:40-13:50,CF,84,13:50-14:00,数值不循环移动；末段仍归本日期
84,13:50-14:00,13:50-14:00,CG,85,14:00-14:10,数值不循环移动；末段仍归本日期
85,14:00-14:10,14:00-14:10,CH,86,14:10-14:20,数值不循环移动；末段仍归本日期
86,14:10-14:20,14:10-14:20,CI,87,14:20-14:30,数值不循环移动；末段仍归本日期
87,14:20-14:30,14:20-14:30,CJ,88,14:30-14:40,数值不循环移动；末段仍归本日期
88,14:30-14:40,14:30-14:40,CK,89,14:40-14:50,数值不循环移动；末段仍归本日期
89,14:40-14:50,14:40-14:50,CL,90,14:50-15:00,数值不循环移动；末段仍归本日期
90,14:50-15:00,14:50-15:00,CM,91,15:00-15:10,数值不循环移动；末段仍归本日期
91,15:00-15:10,15:00-15:10,CN,92,15:10-15:20,数值不循环移动；末段仍归本日期
92,15:10-15:20,15:10-15:20,CO,93,15:20-15:30,数值不循环移动；末段仍归本日期
93,15:20-15:30,15:20-15:30,CP,94,15:30-15:40,数值不循环移动；末段仍归本日期
94,15:30-15:40,15:30-15:40,CQ,95,15:40-15:50,数值不循环移动；末段仍归本日期
95,15:40-15:50,15:40-15:50,CR,96,15:50-16:00,数值不循环移动；末段仍归本日期
96,15:50-16:00,15:50-16:00,CS,97,16:00-16:10,数值不循环移动；末段仍归本日期
97,16:00-16:10,16:00-16:10,CT,98,16:10-16:20,数值不循环移动；末段仍归本日期
98,16:10-16:20,16:10-16:20,CU,99,16:20-16:30,数值不循环移动；末段仍归本日期
99,16:20-16:30,16:20-16:30,CV,100,16:30-16:40,数值不循环移动；末段仍归本日期
100,16:30-16:40,16:30-16:40,CW,101,16:40-16:50,数值不循环移动；末段仍归本日期
101,16:40-16:50,16:40-16:50,CX,102,16:50-17:00,数值不循环移动；末段仍归本日期
102,16:50-17:00,16:50-17:00,CY,103,17:00-17:10,数值不循环移动；末段仍归本日期
103,17:00-17:10,17:00-17:10,CZ,104,17:10-17:20,数值不循环移动；末段仍归本日期
104,17:10-17:20,17:10-17:20,DA,105,17:20-17:30,数值不循环移动；末段仍归本日期
105,17:20-17:30,17:20-17:30,DB,106,17:30-17:40,数值不循环移动；末段仍归本日期
106,17:30-17:40,17:30-17:40,DC,107,17:40-17:50,数值不循环移动；末段仍归本日期
107,17:40-17:50,17:40-17:50,DD,108,17:50-18:00,数值不循环移动；末段仍归本日期
108,17:50-18:00,17:50-18:00,DE,109,18:00-18:10,数值不循环移动；末段仍归本日期
109,18:00-18:10,18:00-18:10,DF,110,18:10-18:20,数值不循环移动；末段仍归本日期
110,18:10-18:20,18:10-18:20,DG,111,18:20-18:30,数值不循环移动；末段仍归本日期
111,18:20-18:30,18:20-18:30,DH,112,18:30-18:40,数值不循环移动；末段仍归本日期
112,18:30-18:40,18:30-18:40,DI,113,18:40-18:50,数值不循环移动；末段仍归本日期
113,18:40-18:50,18:40-18:50,DJ,114,18:50-19:00,数值不循环移动；末段仍归本日期
114,18:50-19:00,18:50-19:00,DK,115,19:00-19:10,数值不循环移动；末段仍归本日期
115,19:00-19:10,19:00-19:10,DL,116,19:10-19:20,数值不循环移动；末段仍归本日期
116,19:10-19:20,19:10-19:20,DM,117,19:20-19:30,数值不循环移动；末段仍归本日期
117,19:20-19:30,19:20-19:30,DN,118,19:30-19:40,数值不循环移动；末段仍归本日期
118,19:30-19:40,19:30-19:40,DO,119,19:40-19:50,数值不循环移动；末段仍归本日期
119,19:40-19:50,19:40-19:50,DP,120,19:50-20:00,数值不循环移动；末段仍归本日期
120,19:50-20:00,19:50-20:00,DQ,121,20:00-20:10,数值不循环移动；末段仍归本日期
121,20:00-20:10,20:00-20:10,DR,122,20:10-20:20,数值不循环移动；末段仍归本日期
122,20:10-20:20,20:10-20:20,DS,123,20:20-20:30,数值不循环移动；末段仍归本日期
123,20:20-20:30,20:20-20:30,DT,124,20:30-20:40,数值不循环移动；末段仍归本日期
124,20:30-20:40,20:30-20:40,DU,125,20:40-20:50,数值不循环移动；末段仍归本日期
125,20:40-20:50,20:40-20:50,DV,126,20:50-21:00,数值不循环移动；末段仍归本日期
126,20:50-21:00,20:50-21:00,DW,127,21:00-21:10,数值不循环移动；末段仍归本日期
127,21:00-21:10,21:00-21:10,DX,128,21:10-21:20,数值不循环移动；末段仍归本日期
128,21:10-21:20,21:10-21:20,DY,129,21:20-21:30,数值不循环移动；末段仍归本日期
129,21:20-21:30,21:20-21:30,DZ,130,21:30-21:40,数值不循环移动；末段仍归本日期
130,21:30-21:40,21:30-21:40,EA,131,21:40-21:50,数值不循环移动；末段仍归本日期
131,21:40-21:50,21:40-21:50,EB,132,21:50-22:00,数值不循环移动；末段仍归本日期
132,21:50-22:00,21:50-22:00,EC,133,22:00-22:10,数值不循环移动；末段仍归本日期
133,22:00-22:10,22:00-22:10,ED,134,22:10-22:20,数值不循环移动；末段仍归本日期
134,22:10-22:20,22:10-22:20,EE,135,22:20-22:30,数值不循环移动；末段仍归本日期
135,22:20-22:30,22:20-22:30,EF,136,22:30-22:40,数值不循环移动；末段仍归本日期
136,22:30-22:40,22:30-22:40,EG,137,22:40-22:50,数值不循环移动；末段仍归本日期
137,22:40-22:50,22:40-22:50,EH,138,22:50-23:00,数值不循环移动；末段仍归本日期
138,22:50-23:00,22:50-23:00,EI,139,23:00-23:10,数值不循环移动；末段仍归本日期
139,23:00-23:10,23:00-23:10,EJ,140,23:10-23:20,数值不循环移动；末段仍归本日期
140,23:10-23:20,23:10-23:20,EK,141,23:20-23:30,数值不循环移动；末段仍归本日期
141,23:20-23:30,23:20-23:30,EL,142,23:30-23:40,数值不循环移动；末段仍归本日期
142,23:30-23:40,23:30-23:40,EM,143,23:40-23:50,数值不循环移动；末段仍归本日期
143,23:40-23:50,23:40-23:50,EN,144,23:50-0:00+1,数值不循环移动；末段仍归本日期
144,23:50-24:00,23:50-24:00,EO,145,0:00-0:10+1,数值不循环移动；末段仍归本日期
