文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
27,98.81,True,27,B,高钾,蓝绿,风化,风化,3,风化,4.16208439,0,0,-0.4293752131,-0.9836859488,0.5527829438,-1.976937722,0.06428260707,0,0,-1.389151057,0,0,0
28未风化点,98.69,True,28,A,铅钡,浅蓝,风化,无风化,2,无风化,3.937306649,0,-1.630450484,0.009292778362,-0.2833768356,1.264185673,-1.174974955,-1.39203946,2.558038078,1.112867856,-0.2441561224,-2.403640372,-1.753052806,0
29未风化点,99.88,True,29,A,铅钡,浅蓝,风化,无风化,2,无风化,3.527634304,-0.703632634,-1.824223829,0.4716722755,-0.2214749051,2.04280181,-0.8309720563,-0.9213561178,1.890160915,0.08778476803,-1.511849144,-2.006545386,0,0
30部位1,97.95,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,2.374571955,0,-0.8181491958,0.3401138015,-1.181941608,0.3084369449,-0.4103228115,0,2.507447921,1.16943365,0,-2.211561025,-2.078029632,0
30部位2,98.7,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,2.45950272,0,0,0.2950417607,-1.822866062,0.2011456749,-0.1415635882,0,2.481199031,1.187465011,-0.8059318042,-1.883490684,-1.970502061,0
31,98.43,True,31,C,铅钡,紫,无风化,无风化,2,无风化,3.218913957,0,0,-0.4993725892,-1.085910035,0.1652465078,0.5545038057,-1.79035677,1.837009883,0.2602643327,-0.4869500692,-2.173349023,0,0
32,98.66,True,32,C,铅钡,浅绿,无风化,无风化,2,无风化,3.871521333,0,-1.933470195,-1.149351236,0,0.4858391726,-0.3728224464,-2.58009736,2.610837246,1.212322773,-2.144779288,0,0,0
33,99.96,True,33,C,铅钡,深绿,无风化,无风化,2,无风化,3.869874366,0,-2.351510716,-0.900677834,-0.4543907314,0.4000245968,0,-1.209413316,2.328148322,0.8125568721,-2.49461156,0,0,0
34,97.52,True,34,C,铅钡,深绿,风化,风化,3,风化,3.01415695,0,-1.949526489,-0.8116934869,0,-0.08080597837,-1.318254712,-0.1511224768,3.277294876,1.739352965,-1.642041789,-2.07735986,0,0
35,96.21,True,35,C,铅钡,浅绿,无风化,无风化,2,无风化,3.695343397,0,0,-1.460530804,0,-0.1283036644,-2.26490362,-2.325528242,2.600365824,1.244004455,-1.360447346,0,0,0
36,97.63,True,36,C,铅钡,深绿,风化,风化,3,风化,3.460126437,0.5795623776,-2.184057675,-1.212197092,0,0.2520588109,-1.357379101,-0.6036072991,3.510395705,2.164375243,-2.877204855,-1.732072551,0,0
37,99.98,True,37,C,铅钡,深绿,无风化,无风化,2,无风化,3.066275218,0,-2.499743317,-1.146601164,0,-0.02943546705,0,0.0718727314,1.817164918,1.305952522,-0.6516309116,-2.201250329,0,0.2673958001
38,98.57,True,38,C,铅钡,深绿,风化,风化,3,风化,2.756779399,-0.4155211984,0,-1.123267178,0,0.2063012014,-1.975479054,-1.052315442,3.160522203,1.543756759,-1.471573873,-1.629202817,0,0
39,98.76,True,39,C,铅钡,深绿,风化,风化,3,风化,2.230992285,0,0,-0.9323136891,0,-1.729820885,0,-1.164507076,3.074691842,0.9401812485,-0.8882536993,-1.530970026,0,0
40,98.57,True,40,C,铅钡,,风化,风化,3,风化,1.900991272,0,0,-0.2890776393,0,-1.713523766,-2.575747277,0,3.336474681,0.985597804,-0.3440365236,-1.300678551,0,0
41,93.71,True,41,C,铅钡,浅绿,风化,风化,3,风化,1.811558214,0,-1.925028567,0.4973577254,-0.09974640614,0.09892428866,-0.5218323955,-2.764779222,2.682865179,1.174244385,0.9055073989,-1.8590706,0,0
42未风化点1,98.01,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,3.233309095,1.043857584,-2.600721611,-0.9393239595,-0.6174239298,0.5576962449,0,0.2784768464,2.381971352,1.644912399,-3.22933027,-1.753423751,0,0
42未风化点2,97.9,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,2.32621027,0.1248861266,-2.661887231,0,-1.463645101,0.1213587861,0,-0.6114332258,1.389649239,0.7748611353,0,0,0,0
43部位1,94.68,True,43,C,铅钡,浅蓝,风化,风化,3,风化,1.195842812,0,0,0.3336617108,-1.439193604,-0.5117295714,-1.597096633,0.3544367733,2.769181644,0.6638437585,0,-1.76894689,0,0
43部位2,96.67,True,43,C,铅钡,浅蓝,风化,风化,3,风化,1.714309773,0,0,0.4932955023,-1.414295782,-0.1362901967,-1.033698741,-0.9508928372,2.438088957,-0.1812752926,1.188783691,-2.118025072,0,0
44未风化点,99.12,True,44,A,铅钡,浅蓝,风化,无风化,2,无风化,3.233793129,0.245605585,-2.482247243,-0.112003502,0,1.668004951,-1.134174095,-1.716779401,1.737995486,0.7796880709,0,-2.219882979,0,0
45,98.34,True,45,A,铅钡,浅蓝,无风化,无风化,2,无风化,3.407238952,0.2701115495,-2.915489487,-0.8825679605,-1.009319666,0.9012233391,0,-1.343092846,2.063748954,1.686037708,0,-2.177890543,0,0
46,98.63,True,46,A,铅钡,浅蓝,无风化,无风化,1,无风化,3.17483028,0,-2.222608177,0,-0.3234901899,0.7302165951,0,-1.09767858,2.392512339,1.472253348,-2.445751729,-1.680283887,0,0
47,97.26,True,47,A,铅钡,浅蓝,无风化,无风化,1,无风化,3.279660286,0.8763175292,-1.900572275,-0.8019599863,-1.156994241,0.455716997,0,-1.093480835,2.572051255,1.55976113,-2.965283012,-0.8252168484,0,0
48,99.17,True,48,A,铅钡,,风化,风化,2,无风化,3.105805483,-1.093837093,-2.010127825,0.1660433435,-0.438911125,1.74304598,-0.8411347392,0,1.883603911,1.118549732,-0.7753833616,-2.256987903,-0.6006664042,0
49,95.5,True,49,A,铅钡,黑,风化,风化,3,风化,1.902897442,0,0,0.06456833594,-1.071868261,0.225557712,-0.4491727418,-1.813805606,2.074510016,0.351158109,0.9498144461,-2.233659452,0,0
49未风化点,98.24,True,49,A,铅钡,黑,风化,无风化,1,无风化,3.104617764,0,-2.099572057,-0.1632313589,-0.7132776958,0.9762029243,-0.6565823521,-1.694106949,2.240764151,0.5371014813,0.5676561497,-2.099572057,0,0
50,90.17,True,50,A,铅钡,黑,风化,风化,3,风化,1.809005357,0,0,0.07976624443,-1.835277257,-0.4543162415,-2.188917297,-0.9580370396,2.703934962,1.572987292,0.7666240961,-1.495770116,0,0
50未风化点,96.94,True,50,A,铅钡,黑,风化,无风化,1,无风化,2.582229804,0,0,-0.08704402999,-1.841063171,0.2006380425,0,-1.581551976,2.196449721,0.6028928749,0.6220017366,-2.694553002,0,0
51部位1,95.33,True,51,C,铅钡,浅蓝,风化,风化,3,风化,2.014053669,0,0,0.08626360514,-1.015145888,0.4691288813,-1.015145888,-0.8742884554,2.505762331,1.001436394,0.9027648664,-2.130707735,-1.94412178,0
51部位2,91.7,True,51,C,铅钡,浅蓝,风化,风化,3,风化,1.693508622,0,0,0.2675625412,-0.9959795616,-0.4472603649,-2.235043686,-1.65522519,2.570927057,0,0.8015105824,0,0,0
52,94.08,True,52,C,铅钡,浅蓝,风化,风化,3,风化,2.436446737,-0.6127486065,0,0.008180366237,-1.409436466,-0.6631794601,-2.281275435,-1.168274409,3.047444615,1.344803118,0.9306195584,-1.632580017,0,0
53未风化点,98.25,True,53,A,铅钡,浅蓝,风化,无风化,2,无风化,3.390808325,0.3491094184,-2.97002301,-1.011209456,-0.6317198346,1.038961703,0,-1.378934236,1.851723757,1.433364751,0,-2.072081417,0,0
54,99.67,True,54,C,铅钡,浅蓝,风化,风化,3,风化,1.914497916,0,-2.328625782,-0.02917058228,-0.9423314211,0.2339168352,0,-1.375521077,2.826470541,0.7624166711,0.2553717702,-1.317024871,0,0
54严重风化点,96.92,True,54,C,铅钡,浅蓝,风化,风化,3,风化,1.216607156,0,0,0,-1.518695917,-0.3283287648,0,-1.330386318,2.445286827,0,1.025244264,-1.509727247,0,0
55,96.38,True,55,C,铅钡,绿,无风化,无风化,1,无风化,2.673354175,-0.2217215493,0,-1.096452551,0,-0.8471066277,0,-1.369493074,2.275410192,0.8545017445,-2.268492309,0,0,0
56,92.24,True,56,C,铅钡,蓝绿,风化,风化,3,风化,1.753603088,0,0,-1.428231465,0,-1.003666186,0,-1.854574159,2.100799288,1.118757178,-0.686687744,0,0,0
57,92.47,True,57,C,铅钡,蓝绿,风化,风化,3,风化,1.386720094,0,0,-1.578789035,0,-1.069491295,0,-1.700396167,1.960066074,1.001890329,0,0,0,0
58,98.76,True,58,C,铅钡,,风化,风化,3,风化,2.316326434,0,-2.176596834,0.1521145631,-1.333509507,0.1606738165,-1.248610063,0.04324583145,2.574708802,0.9382248106,1.098325675,-2.524903529,0,0
