文物采样点,文物编号,类型,论文阶段,拟合阶段_表13_14,预测方法,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,含量合计
24,24,铅钡,4,4,shift,77.21586726,0,0,0.1603259851,0,2.266889081,0,0.9718710797,13.69251411,5.240572875,0.01508852898,0.4368710804,0,0,100
26,26,铅钡,4,4,shift,66.39597403,0,0,0.6816993214,0,1.385018252,0,1.685146232,19.25667971,8.94199666,0.4681526798,0.2998118046,0,0.8855213039,100
26严重风化点,26,铅钡,4,4,shift,22.7411892,0,0.3721664228,2.596397274,0,4.25415925,0,1.045777723,35.55116431,17.90998834,1.646093099,0.7526658012,0,13.13039857,100
30部位1,30,铅钡,3,3,shift,51.69942638,0,1.19347279,2.690607789,0.829505911,4.300921535,3.812224248,0,25.15197276,9.543770215,0,0.3412396256,0.4368587389,0,100
30部位2,30,铅钡,3,3,shift,54.28867386,0,0,2.480929381,0.4215101891,3.726525169,4.811025213,0,23.63256452,9.373233607,0.3393573316,0.4569589013,0.4692218253,0,100
34,34,铅钡,3,3,shift,55.07715135,0,0.2163610688,0.4779080619,0,1.637694826,0.8641440348,1.415457913,30.52318508,9.483099329,0.08568765328,0.219310686,0,0,100
36,36,铅钡,3,3,shift,58.17464675,2.68430731,0.1157187453,0.2165150297,0,1.544808022,0.5619204369,0.608787178,26.0582023,9.808787522,0.01684899273,0.2094577163,0,0,100
38,38,铅钡,3,3,shift,51.29744923,1.768050563,0,0.4216300663,0,2.629202228,0.5395841477,0.6924936245,32.72035999,9.395197136,0.1224203101,0.4136127093,0,0,100
39,39,铅钡,3,3,shift,44.80601561,0,0,0.7541341666,0,0.5604848153,0,0.9146997701,44.37408583,7.592125552,0.3241702871,0.6742839649,0,0,100
40,40,铅钡,3,3,shift,31.68631204,0,0,1.411417415,0,0.560395433,0.4303343271,0,56.71177612,7.81520777,0.5495114036,0.8350454929,0,0,100
41,41,铅钡,3,3,shift,34.83719454,0,0.4668443738,3.725733389,2.896557137,4.127076692,4.034796661,0.2183503828,35.46712714,11.34698447,2.304934045,0.5744011672,0,0,100
43部位1,43,铅钡,3,3,shift,24.31463805,0,0,4.086447605,0.9803790225,2.895112033,1.778552808,6.383203486,49.95042794,8.79919053,0,0.8120485221,0,0,100
43部位2,43,铅钡,3,3,shift,40.88463883,0,0,4.799533487,1.00631052,4.219311988,3.128040567,1.732472137,35.91472145,3.783878629,3.957630884,0.5734615028,0,0,100
49,49,铅钡,3,3,shift,48.71037724,0,0,3.084351934,1.398315393,5.977903948,5.5371659,0.7212183166,24.63377201,6.358121591,3.074758461,0.5040152053,0,0,100
50,50,铅钡,3,3,shift,35.40735653,0,0,2.500420899,0.5203668839,2.41842293,0.776202257,1.355099359,36.90927582,17.22706637,2.044095927,0.8416930303,0,0,100
51部位1,51,铅钡,3,3,shift,43.19385487,0,0,2.500990246,1.17426276,6.05140867,2.49467777,1.464265392,30.08481561,9.666450595,2.32757438,0.4432828576,0.5984168471,0,100
51部位2,51,铅钡,3,3,shift,42.60136074,0,0,4.074380432,1.626677913,3.289168649,1.000995274,0.9113301426,43.63756284,0,2.858524002,0,0,0,100
52,52,铅钡,3,3,shift,45.83255525,1.786639427,0,1.608829443,0.5505999825,1.356470477,0.4891595184,0.759018651,35.96715684,9.477601329,1.664599786,0.5073692977,0,0,100
54,54,铅钡,3,3,shift,39.15260492,0,0.3161574569,2.231283629,1.264629828,4.789392182,0,0.8882034332,41.51493591,7.621444658,1.219886795,1.001461197,0,0,100
54严重风化点,54,铅钡,3,3,shift,34.99832541,0,0,0,1.276521723,4.903169971,0,1.669132961,50.93720342,0,4.732031374,1.483615141,0,0,100
56,56,铅钡,3,3,shift,49.54718356,0,0,0.8186238706,0,2.065089938,0,0.8177044939,29.86643577,16.1781204,0.7068419697,0,0,0,100
57,57,铅钡,3,3,shift,43.86655245,0,0,0.8998039049,0,2.470593417,0,1.219003146,33.15228982,18.39175726,0,0,0,0,100
58,58,铅钡,3,3,shift,50.01022974,0,0.314568363,2.285978792,0.7309088435,3.804150076,1.690377664,3.136616096,27.58366167,7.765619104,2.422122141,0.2557675068,0,0,100
