文物采样点,含量合计,有效,文物编号,纹饰,类型,颜色,文物风化,点位风化,论文阶段,论文风化,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
24,98.88,True,24,C,铅钡,紫,无风化,无风化,4,风化,4.735893956,-3.343798385,-3.343798385,0.5170122287,-3.343798385,1.735768829,-3.343798385,3.407383987,4.644146614,4.538938607,-0.6940780434,1.177724134,-3.343798385,-3.343798385
25未风化点,97.06,True,25,C,铅钡,浅蓝,风化,无风化,1,无风化,4.706905706,1.620004046,-3.851854427,0.3207210614,-3.851854427,1.424610407,1.221011452,0.8960852063,4.245362531,2.677373376,-0.8779746858,-0.8266813914,-3.851854427,-3.851854427
26,99.82,True,26,C,铅钡,紫,风化,风化,4,风化,3.685662414,-3.905986028,-3.905986028,1.065128768,-3.905986028,0.3438107107,-3.905986028,3.058505455,4.08589235,4.174003698,1.841518659,-0.09802204159,-3.905986028,1.373430128
26严重风化点,99.89,True,26,C,铅钡,紫,风化,风化,4,风化,1.629522533,-4.290071847,-0.6004918676,1.417738943,-4.290071847,0.4813133028,-4.290071847,1.59673271,3.714326017,3.883922117,2.114202876,-0.1622369366,-4.290071847,3.085257694
27,98.81,True,27,B,高钾,蓝绿,风化,风化,3,风化,6.654054951,-2.491970561,-2.491970561,2.062595348,1.508284612,3.044753505,0.5150328392,2.556253168,-2.491970561,-2.491970561,1.102819504,-2.491970561,-2.491970561,-2.491970561
28未风化点,98.69,True,28,A,铅钡,浅蓝,风化,无风化,2,无风化,4.637525729,-4.201314483,-0.9302314031,0.7095118588,0.4168422449,1.964404754,-0.4747558744,-0.6918203796,3.258257158,1.813086937,0.456062958,-1.703421291,-1.052833725,-4.201314483
29未风化点,99.88,True,29,A,铅钡,浅蓝,风化,无风化,2,无风化,4.274266006,0.04299906769,-1.077592128,1.218303977,0.5251567966,2.789433512,-0.08434035468,-0.1747244162,2.636792617,0.8344164697,-0.7652174427,-1.259913684,-4.47979021,-4.47979021
30部位1,97.95,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,4.028063969,-4.133730034,0.8353428178,1.993605815,0.4715504061,1.961928959,1.243169202,-4.133730034,4.160939934,2.822925663,-4.133730034,-0.5580690111,-0.4245376185,-4.133730034
30部位2,98.7,True,30,A,铅钡,深蓝,无风化,无风化,3,风化,4.107324679,-4.119554896,-4.119554896,1.942863719,-0.1750441035,1.848967633,1.50625837,-4.119554896,4.12902099,2.835286969,0.8418901541,-0.2356687253,-0.3226801023,-4.119554896
31,98.43,True,31,C,铅钡,紫,无风化,无风化,2,无风化,4.816048492,-3.992836339,-3.992836339,1.097761946,0.511224501,1.762381043,2.151638341,-0.1932222348,3.434144419,1.857398868,1.110184466,-0.5762144871,-3.992836339,-3.992836339
32,98.66,True,32,C,铅钡,浅绿,无风化,无风化,2,无风化,5.654015296,-3.208489134,-0.1509762313,0.6331427275,-3.208489134,2.268333136,1.409671517,-0.7976033962,4.393331209,2.994816737,-0.3622853249,-3.208489134,-3.208489134,-3.208489134
33,99.96,True,33,C,铅钡,深绿,无风化,无风化,2,无风化,5.676824678,-3.252510561,-0.5445604047,0.9062724776,1.35255958,2.206974908,-3.252510561,0.5975369959,4.135098633,2.619507184,-0.6876612483,-3.252510561,-3.252510561,-3.252510561
34,97.52,True,34,C,铅钡,深绿,风化,风化,3,风化,4.497904075,-3.70936781,-0.4657793646,0.6720536372,-3.70936781,1.402941146,0.1654924122,1.332624647,4.761042,3.223100089,-0.1582946649,-0.5936127361,-3.70936781,-3.70936781
35,96.21,True,35,C,铅钡,浅绿,无风化,无风化,2,无风化,5.896552112,-2.934944953,-2.934944953,0.7406779104,-2.934944953,2.07290505,-0.06369490525,-0.1243195271,4.801574539,3.445213169,0.840761369,-2.934944953,-2.934944953,-2.934944953
36,97.63,True,36,C,铅钡,深绿,风化,风化,3,风化,4.498726506,1.618162447,-1.145457606,-0.1735970226,-3.808200253,1.29065888,-0.3187790325,0.4349927699,4.548995774,3.202975312,-1.838604786,-0.6934724819,-3.808200253,-3.808200253
37,99.98,True,37,C,铅钡,深绿,无风化,无风化,2,无风化,4.676285924,-4.025026767,-0.8897326108,0.4634095431,-4.025026767,1.58057524,-4.025026767,1.681883438,3.427175625,2.915963228,0.958379795,-0.5912396222,-4.025026767,1.877406507
38,98.57,True,38,C,铅钡,深绿,风化,风化,3,风化,4.287287409,1.114986811,-3.826270024,0.4072408313,-3.826270024,1.736809211,-0.4449710439,0.4781925673,4.691030212,3.074264769,0.05893413705,-0.09869480715,-3.826270024,-3.826270024
39,98.76,True,39,C,铅钡,深绿,风化,风化,3,风化,4.65401567,-3.230697847,-3.230697847,1.490709696,-3.230697847,0.6932025001,-3.230697847,1.258516309,5.497715227,3.363204634,1.534769686,0.8920533589,-3.230697847,-3.230697847
40,98.57,True,40,C,铅钡,,风化,风化,3,风化,4.272700975,-3.162279604,-3.162279604,2.082632063,-3.162279604,0.6581859364,-0.2040375743,-3.162279604,5.708184384,3.357307507,2.027673179,1.071031152,-3.162279604,-3.162279604
41,93.71,True,41,C,铅钡,浅绿,风化,风化,3,风化,3.04881895,-4.536622699,-0.6877678313,1.734618462,1.13751433,1.336185025,0.7154283406,-1.527518486,3.920125915,2.411505121,2.142768135,-0.6218098635,-4.536622699,-4.536622699
42未风化点1,98.01,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,4.375146046,2.185694535,-1.45888466,0.2025129916,0.5244130214,1.699533196,-4.186735488,1.420313798,3.523808303,2.78674935,-2.087493319,-0.6115867994,-4.186735488,-4.186735488
42未风化点2,97.9,True,42,A,铅钡,浅蓝,风化,无风化,1,无风化,4.999578306,2.798254162,0.01148080444,-3.564490713,1.209722934,2.794726821,-3.564490713,2.061934809,4.063017274,3.44822917,-3.564490713,-3.564490713,-3.564490713,-3.564490713
43部位1,94.68,True,43,C,铅钡,浅蓝,风化,风化,3,风化,3.332270401,-3.845569661,-3.845569661,2.4700893,0.6972339854,1.624698018,0.539330956,2.490864363,4.905609234,2.800271348,-3.845569661,0.367480699,-3.845569661,-3.845569661
43部位2,96.67,True,43,C,铅钡,浅蓝,风化,风化,3,风化,3.429063962,-4.286885474,-4.286885474,2.208049692,0.3004584072,1.578463993,0.6810554487,0.7638613524,4.152843146,1.533478897,2.90353788,-0.4032708827,-4.286885474,-4.286885474
44未风化点,99.12,True,44,A,铅钡,浅蓝,风化,无风化,2,无风化,4.801341239,1.813153695,-0.9146991333,1.455544608,-3.918870275,3.235553061,0.433374015,-0.1492312911,3.305543596,2.347236181,-3.918870275,-0.6523348688,-3.918870275,-3.918870275
45,98.34,True,45,A,铅钡,浅蓝,无风化,无风化,2,无风化,4.930017239,1.792889836,-1.3927112,0.6402103262,0.5134586205,2.424001626,-3.806945717,0.1796854409,3.58652724,3.208815995,-3.806945717,-0.6551122567,-3.806945717,-3.806945717
46,98.63,True,46,A,铅钡,浅蓝,无风化,无风化,1,无风化,5.12296549,-3.506643378,-0.2744729673,-3.506643378,1.62464502,2.678351805,-3.506643378,0.8504566297,4.34064755,3.420388558,-0.4976165186,0.2678513235,-3.506643378,-3.506643378
47,97.26,True,47,A,铅钡,浅蓝,无风化,无风化,1,无风化,4.414378238,2.011035481,-0.7658543233,0.3327579654,-0.02227628911,1.590434949,-4.160632489,0.04123711661,3.706769207,2.694479081,-1.83056506,0.3095011032,-4.160632489,-4.160632489
48,99.17,True,48,A,铅钡,,风化,风化,2,无风化,3.889233818,-0.3104087579,-1.22669949,0.9494716784,0.3445172099,2.526474315,-0.05770640431,-4.700570009,2.667032246,1.901978067,0.008044973252,-1.473559568,0.1827619307,-4.700570009
49,95.5,True,49,A,铅钡,黑,风化,风化,3,风化,3.648024501,-4.362817648,-4.362817648,1.809695395,0.6732587976,1.970684771,1.295954317,-0.06867854708,3.819637075,2.096285168,2.694941505,-0.4885323926,-4.362817648,-4.362817648
49未风化点,98.24,True,49,A,铅钡,黑,风化,无风化,1,无风化,4.287094788,-4.33574909,-0.9170950323,1.019245666,0.4691993289,2.158679949,0.5258946725,-0.5116299241,3.423241175,1.719578506,1.750133174,-0.9170950323,-4.33574909,-4.33574909
50,90.17,True,50,A,铅钡,黑,风化,风化,3,风化,3.462861981,-4.134641562,-4.134641562,1.733622869,-0.1814206318,1.199540383,-0.5350606721,0.6958195852,4.357791586,3.226843917,2.420480721,0.1580865085,-4.134641562,-4.134641562
50未风化点,96.94,True,50,A,铅钡,黑,风化,无风化,1,无风化,4.675310178,-3.767544674,-3.767544674,2.006036344,0.2520172032,2.293718417,-3.767544674,0.5115283987,4.289530096,2.695973249,2.715082111,-0.6014726275,-3.767544674,-3.767544674
51部位1,95.33,True,51,C,铅钡,浅蓝,风化,风化,3,风化,3.265866876,-4.589981759,-4.589981759,1.338076812,0.2366673188,1.720942088,0.2366673188,0.3775247515,3.757575537,2.253249601,2.154578073,-0.8788945282,-0.6923085726,-4.589981759
51部位2,91.7,True,51,C,铅钡,浅蓝,风化,风化,3,风化,4.290120449,-3.462149103,-3.462149103,2.864174369,1.600632266,2.149351463,0.3615681417,0.941386637,5.167538885,-3.462149103,3.39812241,-3.462149103,-3.462149103,-3.462149103
52,94.08,True,52,C,铅钡,浅蓝,风化,风化,3,风化,3.610195517,0.5610001738,-4.303745528,1.181929147,-0.2356876857,0.5105693202,-1.107526655,0.005474371106,4.221193396,2.518551898,2.104368339,-0.458831237,-4.303745528,-4.303745528
53未风化点,98.25,True,53,A,铅钡,浅蓝,风化,无风化,2,无风化,4.929429221,1.887730315,-1.431402114,0.5274114403,0.906901062,2.5775826,-3.846552242,0.1596866602,3.390344654,2.971985648,-3.846552242,-0.5334605204,-3.846552242,-3.846552242
54,99.67,True,54,C,铅钡,浅蓝,风化,风化,3,风化,3.570859934,-4.140905044,-0.6722637645,1.627191435,0.7140305966,1.890278853,-4.140905044,0.2808409405,4.482832559,2.418778689,1.911733788,0.3393371471,-4.140905044,-4.140905044
54严重风化点,96.92,True,54,C,铅钡,浅蓝,风化,风化,3,风化,4.346012237,-3.129405082,-3.129405082,-3.129405082,1.610709165,2.801076317,-3.129405082,1.799018763,5.574691909,-3.129405082,4.154649346,1.619677835,-3.129405082,-3.129405082
55,96.38,True,55,C,铅钡,绿,无风化,无风化,1,无风化,5.184830603,2.289754879,-3.348635237,1.415023876,-3.348635237,1.6643698,-3.348635237,1.141983354,4.786886619,3.365978172,0.2429841191,-3.348635237,-3.348635237,-3.348635237
56,92.24,True,56,C,铅钡,蓝绿,风化,风化,3,风化,4.905652126,-3.152049038,-3.152049038,1.723817573,-3.152049038,2.148382852,-3.152049038,1.297474879,5.252848326,4.270806216,2.465361294,-3.152049038,-3.152049038,-3.152049038
57,92.47,True,57,C,铅钡,蓝绿,风化,风化,3,风化,5.118989783,-2.799202267,-2.799202267,2.153480654,-2.799202267,2.662778394,-2.799202267,2.031873522,5.692335764,4.734160019,-2.799202267,-2.799202267,-2.799202267,-2.799202267
58,98.76,True,58,C,铅钡,,风化,风化,3,风化,3.540998184,-4.490463085,-0.951925084,1.376786314,-0.1088377561,1.385345567,-0.02393831235,1.267917582,3.799380552,2.162896561,2.322997426,-1.300231778,-4.490463085,-4.490463085
