日期,阶段,预测历史截止,调参历史截止,负载先验回退,光伏先验回退,负载衰减天数（仅marginal生效）,光伏衰减天数（仅marginal生效）,终端惩罚,求解路径,求解状态,MIP相对间隙,预测秒数,选中方案求解秒数,当日预测与候选计算秒数（不含写盘）,日初储电量,计划日末储电量,实际日末储电量,计划购电费,紧急购电费,实际总购电费,预测方法,联合净负荷衰减天数（仅joint生效）,净负荷MAE,净负荷0.8分位数损失,净负荷覆盖率,紧急购电费占比,紧急购电量,未利用计划购电量,未利用计划购电对应费用（已含在计划费用中）,实际弃光量,计划充电截断量,计划放电截断量,实际减计划日末储电量,截断偏差恒等式残差
2025-01-11,初始化,2025-01-10,2025-01-10,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000204,0.003137,0.014376,6384.950648,6000.000000,6307.937056,28558.111956,921.941223,29480.053180,marginal,14.0,40.746453,9.240146,0.854167,0.031273,202.525550,1241.464750,652.231852,4281.489492,1335.227942,1358.677983,307.937056,2.9558577807620168e-12
2025-01-12,初始化,2025-01-11,2025-01-11,否,否,28.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000245,0.003062,0.014245,6307.937056,6000.000000,6291.381148,64014.672193,655.884899,64670.557092,marginal,21.0,32.661258,7.480239,0.847222,0.010142,181.588583,1940.100200,1263.824697,2456.314858,1204.643374,1238.004167,291.381148,4.320099833421409e-12
2025-01-13,初始化,2025-01-12,2025-01-12,否,否,28.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000251,0.003287,0.014317,6291.381148,6000.000000,6191.181854,64107.673415,644.356896,64752.030311,marginal,21.0,52.469989,11.706285,0.881944,0.009951,201.661567,2238.416531,1520.048566,5148.454607,2018.383454,1806.954267,191.181854,4.547473508864641e-13
2025-01-14,初始化,2025-01-13,2025-01-13,否,否,14.0,21.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000275,0.003083,0.014242,6191.181854,6000.000000,6082.724786,64103.591447,841.053807,64944.645254,marginal,21.0,45.109388,10.190209,0.881944,0.012950,232.959700,1710.466753,1216.239405,4663.949091,1478.715444,1272.211817,82.724786,4.092726157978177e-12
2025-01-15,初始化,2025-01-14,2025-01-14,否,否,14.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000298,0.003074,0.014234,6082.724786,6000.000000,6095.835907,63736.876196,1278.003775,65014.879971,marginal,14.0,35.360003,8.254337,0.881944,0.019657,242.495800,2126.702147,1351.827905,2749.897117,1031.773580,921.988917,95.835907,0.0
2025-01-16,初始化,2025-01-15,2025-01-15,否,否,21.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000318,0.003076,0.014157,6095.835907,6000.000000,6203.311082,63718.796401,1721.142530,65439.938930,marginal,14.0,43.795245,10.513605,0.805556,0.026301,365.581017,2317.008776,1479.506624,3611.097217,1479.875176,1381.678867,203.311082,-1.8189894035458565e-12
2025-01-17,初始化,2025-01-16,2025-01-16,否,否,14.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000275,0.003202,0.014876,6203.311082,6000.000000,6439.463401,28036.132562,549.873477,28586.006038,marginal,14.0,48.127190,10.822620,0.861111,0.019236,181.409717,1583.695367,866.504512,4898.002722,1790.196756,1845.576433,439.463401,-1.8189894035458565e-12
2025-01-18,初始化,2025-01-17,2025-01-17,否,否,7.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000260,0.003356,0.014946,6439.463401,6000.000000,6377.040088,27170.971342,1352.791450,28523.762793,marginal,14.0,39.919908,10.082606,0.784722,0.047427,355.118050,1241.025517,653.626287,3861.630446,1819.720129,1813.309383,377.040088,7.275957614183426e-12
2025-01-19,初始化,2025-01-18,2025-01-18,否,否,14.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000324,0.003203,0.014570,6377.040088,6000.000000,6290.126296,62957.126635,746.294514,63703.421149,marginal,14.0,37.770414,8.581602,0.868056,0.011715,149.378133,2025.850108,1243.257735,3056.871885,1309.091543,1321.477817,290.126296,2.0463630789890885e-12
2025-01-20,初始化,2025-01-19,2025-01-19,否,否,21.0,7.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000329,0.003074,0.014092,6290.126296,6000.000000,6280.687630,63172.896459,568.778256,63741.674715,marginal,14.0,41.956131,8.965531,0.916667,0.008923,137.833083,2020.043821,1292.254479,3868.445959,1248.730947,1264.090933,280.687630,-2.2737367544323206e-13
2025-01-21,初始化,2025-01-20,2025-01-20,否,否,21.0,7.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000374,0.003256,0.014896,6280.687630,6000.000000,6473.881167,63135.994705,492.551357,63628.546063,marginal,7.0,74.244921,15.678448,0.902778,0.007741,145.283500,2350.432996,1524.056263,8250.911578,3102.252140,2939.317283,473.881167,3.183231456205249e-12
2025-01-22,初始化,2025-01-21,2025-01-21,否,否,21.0,7.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000405,0.003206,0.014621,6473.881167,6000.000000,6155.835648,62999.013617,1167.073570,64166.087187,marginal,7.0,37.822665,8.886076,0.847222,0.018188,278.752983,1866.510648,1162.795615,3365.831232,1482.726914,1341.260883,155.835648,4.547473508864641e-13
2025-01-23,初始化,2025-01-22,2025-01-22,否,否,21.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000412,0.003170,0.014474,6155.835648,6000.000000,6311.987444,62839.002743,605.576775,63444.579518,marginal,7.0,32.266746,8.477147,0.819444,0.009545,150.129333,2004.565351,1270.876758,1773.080250,1227.980885,1275.453217,311.987444,2.2737367544323206e-12
2025-01-24,初始化,2025-01-23,2025-01-23,否,否,10.0,7.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000305,0.003233,0.014720,6311.987444,6000.000000,6581.697513,27287.131408,552.816508,27839.947917,marginal,10.0,60.296112,12.785721,0.923611,0.019857,162.614883,1674.785717,869.795426,6566.013474,1409.428174,1665.164583,581.697513,3.865352482534945e-12
2025-01-25,初始化,2025-01-24,2025-01-24,否,否,56.0,7.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000452,0.003361,0.015046,6581.697513,6000.000000,6404.258042,26847.329926,703.654120,27550.984046,marginal,7.0,65.952275,13.803128,0.847222,0.025540,131.570367,1237.603350,688.993510,8037.053730,1599.339130,1659.296933,404.258042,5.002220859751105e-12
2025-01-26,初始化,2025-01-25,2025-01-25,否,否,21.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000536,0.003066,0.014346,6404.258042,6000.000000,6324.491315,62317.501605,312.786711,62630.288316,marginal,10.0,40.013450,9.207947,0.875000,0.004994,85.029433,1884.725984,1194.187407,3449.038107,1880.860041,1815.538817,324.491315,2.2737367544323206e-13
2025-01-27,初始化,2025-01-26,2025-01-26,否,否,21.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000472,0.003107,0.014544,6324.491315,6000.000000,6329.810103,62207.182746,429.940265,62637.123011,marginal,7.0,61.817780,12.981188,0.916667,0.006864,128.260583,2034.586398,1332.600383,6969.160395,2984.307376,2714.118067,329.810103,-9.094947017729282e-13
2025-01-28,初始化,2025-01-27,2025-01-27,否,否,84.0,5.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000466,0.003054,0.014335,6329.810103,6000.000000,6257.370611,61898.484418,604.012736,62502.497154,marginal,7.0,40.509220,8.939048,0.881944,0.009664,200.928867,1780.730883,1181.718317,3905.108167,1500.387984,1446.947817,257.370611,-2.2737367544323206e-13
2025-01-29,初始化,2025-01-28,2025-01-28,否,否,21.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000496,0.003145,0.014458,6257.370611,6000.000000,6473.967714,60767.307992,213.211874,60980.519866,marginal,7.0,68.109106,14.027683,0.937500,0.003496,46.248817,2645.130117,1709.333766,7239.523489,3431.990256,3206.483050,473.967714,-1.8189894035458565e-12
2025-01-30,初始化,2025-01-29,2025-01-29,否,否,21.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000497,0.003203,0.014478,6473.967714,6000.000000,6214.496519,60287.266576,523.195924,60810.462500,marginal,3.0,48.242959,10.193095,0.916667,0.008604,96.601933,2136.591983,1239.210414,4743.752102,1532.444486,1434.326900,214.496519,1.8189894035458565e-12
2025-01-31,初始化,2025-01-30,2025-01-30,否,否,56.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000371,0.003557,0.015191,6214.496519,6000.000000,6674.276204,25360.115115,689.528139,26049.643254,marginal,7.0,44.784878,9.875047,0.868056,0.026470,133.982250,1884.378017,976.986113,3795.798001,761.546934,1223.701600,674.276204,-2.2737367544323206e-13
2025-02-01,正式期,2025-01-31,2025-01-31,否,否,56.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000393,0.003468,0.015057,6674.276204,6000.000000,6780.016111,24950.151862,61.363182,25011.515044,marginal,7.0,70.573865,14.169341,0.993056,0.002453,13.096400,2831.380600,1421.436510,6985.100918,1941.873251,2274.931833,780.016111,5.002220859751105e-12
2025-02-02,正式期,2025-02-01,2025-02-01,否,否,21.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000596,0.003338,0.014760,6780.016111,6000.000000,6475.516519,59378.830851,56.714305,59435.545156,marginal,3.0,76.754265,15.388561,0.986111,0.000954,9.049900,4345.612633,2681.518865,6891.625985,3271.785185,3078.110867,475.516519,-2.7284841053187847e-12
2025-02-03,正式期,2025-02-02,2025-02-02,否,否,14.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000624,0.003259,0.014676,6475.516519,6000.000000,6379.741306,58857.955268,11.827462,58869.782730,marginal,3.0,58.041271,11.746219,0.972222,0.000201,2.404200,3593.739403,2165.891666,4950.026936,3112.682006,2863.039600,379.741306,2.2737367544323206e-12
2025-02-04,正式期,2025-02-03,2025-02-03,否,否,14.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000642,0.003384,0.014888,6379.741306,6000.000000,6475.602667,58564.647171,411.451982,58976.099152,marginal,3.0,49.579773,10.501385,0.944444,0.006977,94.354233,3678.023567,2220.519277,3150.489699,1598.531049,1722.852550,475.602667,2.0463630789890885e-12
2025-02-05,正式期,2025-02-04,2025-02-04,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000685,0.003340,0.014853,6475.602667,6000.000000,6338.423167,58407.498333,47.829434,58455.327767,marginal,3.0,50.810792,10.819428,0.965278,0.000818,10.950767,2901.510721,1805.227066,4184.111176,1989.406564,1916.000167,338.423167,1.8189894035458565e-12
2025-02-06,正式期,2025-02-05,2025-02-05,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000729,0.003601,0.025214,6338.423167,6000.000000,6240.069779,56699.567519,1003.532291,57703.099810,marginal,3.0,40.083971,9.116128,0.826389,0.017391,224.603250,1933.242933,1132.818383,3708.541686,2046.487303,1873.717517,240.069779,-1.8189894035458565e-12
2025-02-07,正式期,2025-02-06,2025-02-06,否,否,10.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000758,0.004169,0.017733,6240.069779,6000.000000,6488.365463,24054.190110,72.231148,24126.421258,marginal,5.0,75.278234,15.124386,0.979167,0.002994,16.497333,2750.319517,1386.321201,7909.594571,1451.971955,1615.626200,488.365463,2.7284841053187847e-12
2025-02-08,正式期,2025-02-07,2025-02-07,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000532,0.003209,0.015100,6488.365463,6000.000000,6347.006390,22818.488525,264.954304,23083.442829,marginal,5.0,63.356732,12.856355,0.958333,0.011478,39.214767,2063.708450,1083.064653,7158.848080,2426.747447,2277.971183,347.006390,-1.8189894035458565e-12
2025-02-09,正式期,2025-02-08,2025-02-08,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000778,0.003182,0.015188,6347.006390,6000.000000,6234.137093,55783.891419,1097.986289,56881.877708,marginal,3.0,39.312800,10.040940,0.861111,0.019303,259.774683,1810.936344,1051.244699,3249.925392,2086.262469,1900.595983,234.137093,3.183231456205249e-12
2025-02-10,正式期,2025-02-09,2025-02-09,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000811,0.003146,0.014993,6234.137093,6000.000000,6133.219752,55483.882406,858.323224,56342.205631,marginal,3.0,69.845675,15.192393,0.854167,0.015234,248.417800,1605.577618,1023.252949,8858.896586,4554.424021,3808.981233,133.219752,9.094947017729282e-13
2025-02-11,正式期,2025-02-10,2025-02-10,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000872,0.003161,0.015206,6133.219752,6000.000000,6069.115907,55097.537775,679.046343,55776.584117,marginal,3.0,57.900174,12.182406,0.868056,0.012174,132.327433,1730.017903,1030.716113,7004.522313,3241.738416,2688.012433,69.115907,-1.8189894035458565e-12
2025-02-12,正式期,2025-02-11,2025-02-11,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000902,0.003141,0.015068,6069.115907,6000.000000,6234.571529,54329.441317,895.570096,55225.011413,marginal,3.0,50.900646,11.047928,0.833333,0.016217,203.451017,1193.820759,626.758405,6256.024852,2865.049845,2531.804750,234.571529,-5.4569682106375694e-12
2025-02-13,正式期,2025-02-12,2025-02-12,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000923,0.003185,0.015371,6234.571529,6000.000000,6141.886485,53529.320054,634.178501,54163.498555,marginal,3.0,72.675998,15.944483,0.826389,0.011709,193.967067,1507.325278,918.017623,9287.884728,4947.648206,4135.292883,141.886485,9.094947017729282e-13
2025-02-14,正式期,2025-02-13,2025-02-13,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000602,0.003213,0.014999,6141.886485,6000.000000,6221.529207,19779.545356,941.116121,20720.661477,marginal,5.0,42.528980,11.525643,0.791667,0.045419,253.427083,1086.568700,507.871794,3813.368536,901.261786,929.398333,221.529207,5.229594535194337e-12
2025-02-15,正式期,2025-02-14,2025-02-14,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000641,0.003243,0.015039,6221.529207,6000.000000,6199.046283,19591.314971,1358.150466,20949.465437,marginal,5.0,39.810326,9.823058,0.777778,0.064830,307.876283,886.786633,400.764248,4380.423083,1297.494583,1230.112267,199.046283,2.9558577807620168e-12
2025-02-16,正式期,2025-02-15,2025-02-15,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000969,0.003188,0.015428,6199.046283,6000.000000,6161.068389,52061.714617,1295.211742,53356.926360,marginal,3.0,32.338678,8.065708,0.826389,0.024274,267.597600,1319.292822,767.651076,2990.619295,1565.963601,1413.392067,161.068389,2.7284841053187847e-12
2025-02-17,正式期,2025-02-16,2025-02-16,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001009,0.003178,0.015461,6161.068389,6000.000000,6127.598648,51721.084393,860.629954,52581.714346,marginal,3.0,56.399346,12.394080,0.847222,0.016367,246.098983,1224.866767,783.023532,7226.258750,3858.846667,3240.504583,127.598648,-2.7284841053187847e-12
2025-02-18,正式期,2025-02-17,2025-02-17,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001053,0.003190,0.015502,6127.598648,6000.000000,6201.003329,51088.790973,893.945093,51982.736066,marginal,3.0,44.566289,9.957968,0.833333,0.017197,194.202467,1082.142300,585.644958,5344.549323,2617.408173,2301.003617,201.003329,4.092726157978177e-12
2025-02-19,正式期,2025-02-18,2025-02-18,否,否,3.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001086,0.003189,0.015449,6201.003329,6000.000000,6071.831344,51030.437225,2387.911121,53418.348347,marginal,3.0,45.900187,12.394187,0.708333,0.044702,630.845450,868.193333,459.405534,5061.522139,1561.490256,1329.455317,71.831344,-1.5916157281026244e-12
2025-02-20,正式期,2025-02-19,2025-02-19,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001133,0.003177,0.015661,6071.831344,6000.000000,6366.674148,51251.533978,1155.202506,52406.736484,marginal,3.0,54.078156,12.150416,0.847222,0.022043,266.601050,1679.501750,886.350911,5907.242014,2650.482881,2476.897867,366.674148,-4.547473508864641e-13
2025-02-21,正式期,2025-02-20,2025-02-20,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000663,0.003129,0.014792,6366.674148,6000.000000,6424.079864,18865.636093,976.312695,19841.948788,marginal,5.0,44.560827,10.291027,0.847222,0.049204,276.274733,991.415450,498.644141,6563.635628,737.172085,978.781267,424.079864,-1.5916157281026244e-12
2025-02-22,正式期,2025-02-21,2025-02-21,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000644,0.003068,0.014542,6424.079864,6000.000000,6304.242740,18868.719598,801.538919,19670.258516,marginal,3.0,29.149724,7.963626,0.715278,0.040749,218.868067,987.729767,495.514645,4482.709638,968.299754,1058.141267,304.242740,-2.2737367544323206e-13
2025-02-23,正式期,2025-02-22,2025-02-22,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001149,0.003187,0.015588,6304.242740,6000.000000,6174.222926,50258.292052,1156.519731,51414.811783,marginal,3.0,45.118850,11.383398,0.854167,0.022494,281.905867,1686.867083,970.440015,4203.534610,2109.492860,1865.489850,174.222926,3.183231456205249e-12
2025-02-24,正式期,2025-02-23,2025-02-23,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001170,0.003230,0.015720,6174.222926,6000.000000,6252.377817,50025.940152,757.264393,50783.204545,marginal,3.0,61.025610,12.893406,0.909722,0.014912,139.502183,1674.473250,898.471860,7375.717688,3581.670388,3128.293050,252.377817,-2.2737367544323206e-12
2025-02-25,正式期,2025-02-24,2025-02-24,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001171,0.003162,0.015440,6252.377817,6000.000000,6256.700386,49788.671710,790.324374,50578.996084,marginal,3.0,75.799967,16.042782,0.902778,0.015626,180.649817,1431.820417,800.310083,9831.316694,4326.637328,3735.606583,256.700386,-4.547473508864641e-12
2025-02-26,正式期,2025-02-25,2025-02-25,否,否,5.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001177,0.003205,0.015578,6256.700386,6000.000000,6295.880925,49072.414310,558.185864,49630.600174,marginal,3.0,47.046494,10.333146,0.861111,0.011247,158.830150,1171.601136,670.484706,5639.530551,3091.293704,2770.240733,295.880925,-2.2737367544323206e-12
2025-02-27,正式期,2025-02-26,2025-02-26,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001299,0.003206,0.015726,6295.880925,6000.000000,6230.400963,48822.841449,540.002148,49362.843597,marginal,3.0,56.885622,11.871475,0.930556,0.010939,103.378183,1711.624167,829.904735,6436.134630,1565.790597,1475.651250,230.400963,5.4569682106375694e-12
2025-02-28,正式期,2025-02-27,2025-02-27,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000802,0.003044,0.014595,6230.400963,6000.000000,6398.089665,18484.438463,719.794510,19204.232973,marginal,5.0,43.653487,11.052113,0.791667,0.037481,177.960733,1197.945017,563.747541,7941.061087,840.317471,1038.937850,398.089665,6.821210263296962e-12
2025-03-01,正式期,2025-02-28,2025-02-28,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.000759,0.003096,0.014788,6398.089665,6000.000000,6345.393741,18247.996974,749.504639,18997.501613,marginal,5.0,46.099038,13.946181,0.812500,0.039453,144.020083,1994.908800,910.388282,6626.794495,1318.200412,1378.596700,345.393741,9.094947017729282e-13
2025-03-02,正式期,2025-03-01,2025-03-01,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001288,0.003190,0.015540,6345.393741,6000.000000,6187.028619,49585.305266,7884.354609,57469.659875,marginal,3.0,64.098192,24.750248,0.763889,0.137192,1657.677233,1976.773333,973.844456,3589.797325,3019.853242,2614.406883,187.028619,0.0
2025-03-03,正式期,2025-03-02,2025-03-02,否,否,7.0,3.0,1.3952,LP已验证互斥及全部原约束,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0.001344,0.003266,0.016042,6187.028619,6000.000000,6212.136226,52021.490911,1734.311852,53755.802763,marginal,5.0,58.850007,14.300103,0.777778,0.032263,366.774750,2191.462651,1228.300664,5711.653553,2459.536971,2183.147550,212.136226,4.092726157978177e-12
