日期,时间段,训练样本最晚日期,参数验证最晚日期,负载预测来源,光伏预测来源,电价（元/kWh）,预测负载电量（kWh）,预测光伏电量（kWh）,实际负载电量（kWh）,实际光伏电量（kWh）,计划购电量（kWh）,计划充电量（kWh）,计划放电量（kWh）,实际充电量（kWh）,实际放电量（kWh）,紧急购电量（kWh）,实际弃光量（kWh）,未利用计划购电量（kWh）,时段初储电量（kWh）,时段末储电量（kWh）,时段计划购电费（元）,时段紧急购电费（元）,时段总购电费（元）,预测方法,预测净负荷（kWh）,实际净负荷（kWh）,计划充电截断量（kWh）,计划放电截断量（kWh）
2025-02-01,01:40-01:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.433300,505.689450,0.000000,448.025967,0.000000,505.689450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.663483,10050.000000,10050.000000,219.115239,0.000000,219.115239,marginal,505.689450,448.025967,0.000000,0.000000
2025-02-01,01:50-02:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.431100,516.238333,0.000000,397.403333,0.000000,516.238333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.835000,10050.000000,10050.000000,222.550345,0.000000,222.550345,marginal,516.238333,397.403333,0.000000,0.000000
2025-02-01,02:00-02:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.429300,501.905767,0.000000,434.090633,0.000000,501.905767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.815133,10050.000000,10050.000000,215.468146,0.000000,215.468146,marginal,501.905767,434.090633,0.000000,0.000000
2025-02-01,02:10-02:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.432400,514.926933,0.000000,490.560917,0.000000,514.926933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.366017,10050.000000,10050.000000,222.654406,0.000000,222.654406,marginal,514.926933,490.560917,0.000000,0.000000
2025-02-01,02:20-02:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.436700,510.430000,0.000000,503.220000,0.000000,510.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,10050.000000,10050.000000,222.904781,0.000000,222.904781,marginal,510.430000,503.220000,0.000000,0.000000
2025-02-01,02:30-02:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.434800,514.736183,0.000000,474.072817,0.000000,514.736183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.663367,10050.000000,10050.000000,223.807293,0.000000,223.807293,marginal,514.736183,474.072817,0.000000,0.000000
2025-02-01,02:40-02:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.433500,526.834350,0.000000,461.384400,0.000000,526.834350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.449950,10050.000000,10050.000000,228.382691,0.000000,228.382691,marginal,526.834350,461.384400,0.000000,0.000000
2025-02-01,02:50-03:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435700,549.000000,0.000000,476.941667,0.000000,549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,72.058333,10050.000000,10050.000000,239.199300,0.000000,239.199300,marginal,549.000000,476.941667,0.000000,0.000000
2025-02-01,03:00-03:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437400,557.118417,0.000000,483.399550,0.000000,557.118417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.718867,10050.000000,10050.000000,243.683595,0.000000,243.683595,marginal,557.118417,483.399550,0.000000,0.000000
2025-02-01,03:10-03:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437100,548.105967,0.000000,486.601917,0.000000,548.105967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.504050,10050.000000,10050.000000,239.577118,0.000000,239.577118,marginal,548.105967,486.601917,0.000000,0.000000
2025-02-01,03:20-03:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435600,543.326667,0.000000,498.848333,0.000000,543.326667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.478333,10050.000000,10050.000000,236.673096,0.000000,236.673096,marginal,543.326667,498.848333,0.000000,0.000000
2025-02-01,03:30-03:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.435300,529.700783,0.000000,518.309733,0.000000,529.700783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.391050,10050.000000,10050.000000,230.578751,0.000000,230.578751,marginal,529.700783,518.309733,0.000000,0.000000
2025-02-01,03:40-03:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.436000,534.372067,0.000000,509.133467,0.000000,534.372067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.238600,10050.000000,10050.000000,232.986221,0.000000,232.986221,marginal,534.372067,509.133467,0.000000,0.000000
2025-02-01,03:50-04:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.437800,562.975000,0.000000,483.616667,0.000000,562.975000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.358333,10050.000000,10050.000000,246.470455,0.000000,246.470455,marginal,562.975000,483.616667,0.000000,0.000000
2025-02-01,04:00-04:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.440100,571.682400,0.000000,491.186800,0.000000,571.682400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.495600,10050.000000,10050.000000,251.597424,0.000000,251.597424,marginal,571.682400,491.186800,0.000000,0.000000
2025-02-01,04:10-04:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.438900,557.533133,0.000000,504.645283,0.000000,557.533133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.887850,10050.000000,10050.000000,244.701292,0.000000,244.701292,marginal,557.533133,504.645283,0.000000,0.000000
2025-02-01,04:20-04:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.436400,535.505000,0.000000,505.578333,0.000000,535.505000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.926667,10050.000000,10050.000000,233.694382,0.000000,233.694382,marginal,535.505000,505.578333,0.000000,0.000000
2025-02-01,04:30-04:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.439300,561.809817,0.000000,503.230967,0.000000,561.809817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58.578850,10050.000000,10050.000000,246.803052,0.000000,246.803052,marginal,561.809817,503.230967,0.000000,0.000000
2025-02-01,04:40-04:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.442200,586.961350,0.000000,502.846983,0.000000,586.961350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.114367,10050.000000,10050.000000,259.554309,0.000000,259.554309,marginal,586.961350,502.846983,0.000000,0.000000
2025-02-01,04:50-05:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.439500,566.513333,0.000000,499.641667,0.000000,566.513333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.871667,10050.000000,10050.000000,248.982610,0.000000,248.982610,marginal,566.513333,499.641667,0.000000,0.000000
2025-02-01,05:00-05:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.433300,566.902950,0.000000,488.783583,0.000000,566.902950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.119367,10050.000000,10050.000000,245.639048,0.000000,245.639048,marginal,566.902950,488.783583,0.000000,0.000000
2025-02-01,05:10-05:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.443900,572.697150,0.000000,498.518750,0.000000,572.697150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.178400,10050.000000,10050.000000,254.220265,0.000000,254.220265,marginal,572.697150,498.518750,0.000000,0.000000
2025-02-01,05:20-05:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.430100,584.615000,0.000000,529.223333,0.000000,584.615000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.391667,10050.000000,10050.000000,251.442911,0.000000,251.442911,marginal,584.615000,529.223333,0.000000,0.000000
2025-02-01,05:30-05:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.371300,579.532400,0.000000,547.410317,0.000000,1412.865733,833.333333,0.000000,833.333333,0.000000,0.000000,0.000000,32.122083,10050.000000,10800.000000,524.597047,0.000000,524.597047,marginal,579.532400,547.410317,0.000000,0.000000
2025-02-01,05:40-05:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.570800,564.938700,0.000000,531.227400,0.000000,564.938700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.711300,10800.000000,10800.000000,322.467010,0.000000,322.467010,marginal,564.938700,531.227400,0.000000,0.000000
2025-02-01,05:50-06:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.909900,562.578333,0.000000,510.983333,0.000000,0.000000,0.000000,562.578333,0.000000,510.983333,0.000000,0.000000,0.000000,10800.000000,10232.240741,0.000000,0.000000,0.000000,marginal,562.578333,510.983333,0.000000,51.595000
2025-02-01,06:00-06:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.936800,570.794967,0.000000,535.187183,0.000000,0.000000,0.000000,570.794967,0.000000,535.187183,0.000000,0.000000,0.000000,10232.240741,9637.588315,0.000000,0.000000,0.000000,marginal,570.794967,535.187183,0.000000,35.607783
2025-02-01,06:10-06:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.875800,583.117983,0.550600,533.999350,0.644017,0.000000,0.000000,582.567383,0.000000,533.355333,0.000000,0.000000,0.000000,9637.588315,9044.971278,0.000000,0.000000,0.000000,marginal,582.567383,533.355333,0.000000,49.212050
2025-02-01,06:20-06:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.875900,564.710000,0.000000,504.520000,0.000000,0.000000,0.000000,564.710000,0.000000,504.520000,0.000000,0.000000,0.000000,9044.971278,8484.393500,0.000000,0.000000,0.000000,marginal,564.710000,504.520000,0.000000,60.190000
2025-02-01,06:30-06:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.860100,561.136467,0.000000,519.553683,0.000000,0.000000,0.000000,561.136467,0.000000,519.553683,0.000000,0.000000,0.000000,8484.393500,7907.111630,0.000000,0.000000,0.000000,marginal,561.136467,519.553683,0.000000,41.582783
2025-02-01,06:40-06:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.844200,605.141683,9.198933,566.415000,14.934917,0.000000,0.000000,595.942750,0.000000,551.480083,0.000000,0.000000,0.000000,7907.111630,7294.355981,0.000000,0.000000,0.000000,marginal,595.942750,551.480083,0.000000,44.462667
2025-02-01,06:50-07:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.833400,647.963333,41.312500,608.791667,56.750000,0.000000,0.000000,606.650833,0.000000,552.041667,0.000000,0.000000,0.000000,7294.355981,6680.976352,0.000000,0.000000,0.000000,marginal,606.650833,552.041667,0.000000,54.609167
2025-02-01,07:00-07:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.809200,672.248317,82.029417,617.214050,102.656000,0.000000,0.000000,590.218900,0.000000,514.558050,0.000000,0.000000,0.000000,6680.976352,6109.245185,0.000000,0.000000,0.000000,marginal,590.218900,514.558050,0.000000,75.660850
2025-02-01,07:10-07:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.797200,667.558700,128.036017,595.396467,147.487917,0.000000,0.000000,539.522683,0.000000,447.908550,0.000000,0.000000,0.000000,6109.245185,5611.569019,0.000000,0.000000,0.000000,marginal,539.522683,447.908550,0.000000,91.614133
2025-02-01,07:20-07:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.764400,675.815000,174.025000,579.536667,190.112500,0.000000,0.000000,501.790000,0.000000,389.424167,0.000000,0.000000,0.000000,5611.569019,5178.875500,0.000000,0.000000,0.000000,marginal,501.790000,389.424167,0.000000,112.365833
2025-02-01,07:30-07:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.689900,669.216100,221.507933,609.000367,231.346617,0.000000,0.000000,447.708167,0.000000,377.653750,0.000000,0.000000,0.000000,5178.875500,4759.260222,0.000000,0.000000,0.000000,marginal,447.708167,377.653750,0.000000,70.054417
2025-02-01,07:40-07:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.860000,661.880933,272.783633,640.236683,279.075333,0.000000,0.000000,389.097300,0.000000,361.161350,0.000000,0.000000,0.000000,4759.260222,4357.969833,0.000000,0.000000,0.000000,marginal,389.097300,361.161350,0.000000,27.935950
2025-02-01,07:50-08:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.161700,646.385000,314.806250,633.941667,334.018750,0.000000,0.000000,331.578750,0.000000,299.922917,0.000000,0.000000,0.000000,4357.969833,4024.722148,0.000000,0.000000,0.000000,marginal,331.578750,299.922917,0.000000,31.655833
2025-02-01,08:00-08:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.168300,655.819867,359.429750,590.910650,388.684417,0.000000,0.000000,296.390117,0.000000,202.226233,0.000000,0.000000,0.000000,4024.722148,3800.026333,0.000000,0.000000,0.000000,marginal,296.390117,202.226233,0.000000,94.163883
2025-02-01,08:10-08:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.095600,655.325067,410.822483,568.558167,438.765567,0.000000,0.000000,244.502583,0.000000,129.792600,0.000000,0.000000,0.000000,3800.026333,3655.812333,0.000000,0.000000,0.000000,marginal,244.502583,129.792600,0.000000,114.709983
2025-02-01,08:20-08:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.084900,650.410000,445.700000,574.228333,487.943750,0.000000,0.000000,204.710000,0.000000,86.284583,0.000000,0.000000,0.000000,3655.812333,3559.940574,0.000000,0.000000,0.000000,marginal,204.710000,86.284583,0.000000,118.425417
2025-02-01,08:30-08:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.061000,646.268017,500.549133,577.852317,541.883167,0.000000,0.000000,145.718883,0.000000,35.969150,0.000000,0.000000,0.000000,3559.940574,3519.974852,0.000000,0.000000,0.000000,marginal,145.718883,35.969150,0.000000,109.749733
2025-02-01,08:40-08:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.043000,692.351867,551.513767,649.080033,586.626100,0.000000,0.000000,140.838100,0.000000,62.453933,0.000000,0.000000,0.000000,3519.974852,3450.581593,0.000000,0.000000,0.000000,marginal,140.838100,62.453933,0.000000,78.384167
2025-02-01,08:50-09:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.036000,771.665000,599.850000,737.126667,621.950000,0.000000,0.000000,171.815000,0.000000,115.176667,0.000000,0.000000,0.000000,3450.581593,3322.607519,0.000000,0.000000,0.000000,marginal,171.815000,115.176667,0.000000,56.638333
2025-02-01,09:00-09:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,1.014700,771.734400,645.035983,711.253417,665.429300,0.000000,0.000000,126.698417,0.000000,45.824117,0.000000,0.000000,0.000000,3322.607519,3271.691833,0.000000,0.000000,0.000000,marginal,126.698417,45.824117,0.000000,80.874300
2025-02-01,09:10-09:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.992200,752.948117,684.125917,698.361700,729.722200,0.000000,0.000000,68.822200,0.000000,0.000000,0.000000,31.360500,0.000000,3271.691833,3271.691833,0.000000,0.000000,0.000000,marginal,68.822200,-31.360500,0.000000,68.822200
2025-02-01,09:20-09:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.970000,771.910000,727.493750,736.386667,798.087500,0.000000,0.000000,44.416250,0.000000,0.000000,0.000000,61.700833,0.000000,3271.691833,3271.691833,0.000000,0.000000,0.000000,marginal,44.416250,-61.700833,0.000000,44.416250
2025-02-01,09:30-09:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.942200,761.345567,758.648683,733.212567,838.320683,0.000000,0.000000,2.696883,0.000000,0.000000,0.000000,105.108117,0.000000,3271.691833,3271.691833,0.000000,0.000000,0.000000,marginal,2.696883,-105.108117,0.000000,2.696883
2025-02-01,09:40-09:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.956900,764.012167,795.800417,697.122367,867.319617,0.000000,31.788250,0.000000,31.788250,0.000000,0.000000,138.409000,0.000000,3271.691833,3300.301258,0.000000,0.000000,0.000000,marginal,-31.788250,-170.197250,0.000000,0.000000
2025-02-01,09:50-10:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.997700,758.753333,835.437500,678.588333,894.018750,0.000000,76.684167,0.000000,76.684167,0.000000,0.000000,138.746250,0.000000,3300.301258,3369.317008,0.000000,0.000000,0.000000,marginal,-76.684167,-215.430417,0.000000,0.000000
2025-02-01,10:00-10:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.991900,742.722767,857.498367,711.432200,911.849833,0.000000,114.775600,0.000000,114.775600,0.000000,0.000000,85.642033,0.000000,3369.317008,3472.615048,0.000000,0.000000,0.000000,marginal,-114.775600,-200.417633,0.000000,0.000000
2025-02-01,10:10-10:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.958800,745.589833,895.605183,706.707050,933.627233,0.000000,150.015350,0.000000,150.015350,0.000000,0.000000,76.904833,0.000000,3472.615048,3607.628863,0.000000,0.000000,0.000000,marginal,-150.015350,-226.920183,0.000000,0.000000
2025-02-01,10:20-10:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.954900,751.461667,939.937500,666.993333,959.218750,0.000000,188.475833,0.000000,188.475833,0.000000,0.000000,103.749583,0.000000,3607.628863,3777.257113,0.000000,0.000000,0.000000,marginal,-188.475833,-292.225417,0.000000,0.000000
2025-02-01,10:30-10:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.983900,739.662900,944.710200,678.720433,979.808167,0.000000,205.047300,0.000000,205.047300,0.000000,0.000000,96.040433,0.000000,3777.257113,3961.799683,0.000000,0.000000,0.000000,marginal,-205.047300,-301.087733,0.000000,0.000000
2025-02-01,10:40-10:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.799000,747.582817,947.261050,678.130500,1021.347900,0.000000,199.678233,0.000000,199.678233,0.000000,0.000000,143.539167,0.000000,3961.799683,4141.510093,0.000000,0.000000,0.000000,marginal,-199.678233,-343.217400,0.000000,0.000000
2025-02-01,10:50-11:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.502500,732.361667,964.987500,652.925000,1060.275000,0.000000,232.625833,0.000000,232.625833,0.000000,0.000000,174.724167,0.000000,4141.510093,4350.873343,0.000000,0.000000,0.000000,marginal,-232.625833,-407.350000,0.000000,0.000000
2025-02-01,11:00-11:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.466200,728.226967,979.407300,657.694350,1046.177817,582.153000,833.333333,0.000000,833.333333,0.000000,0.000000,137.303133,0.000000,4350.873343,5100.873343,271.399729,0.000000,271.399729,marginal,-251.180333,-388.483467,0.000000,0.000000
2025-02-01,11:10-11:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.500700,720.948217,993.845150,656.101717,1051.341783,0.000000,272.896933,0.000000,272.896933,0.000000,0.000000,122.343133,0.000000,5100.873343,5346.480583,0.000000,0.000000,0.000000,marginal,-272.896933,-395.240067,0.000000,0.000000
2025-02-01,11:20-11:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.482700,700.871667,1009.518750,654.535000,1099.062500,0.000000,308.647083,0.000000,308.647083,0.000000,0.000000,135.880417,0.000000,5346.480583,5624.262958,0.000000,0.000000,0.000000,marginal,-308.647083,-444.527500,0.000000,0.000000
2025-02-01,11:30-11:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.478500,728.547250,1020.847183,692.208550,1136.315650,245.815077,538.115011,0.000000,538.115011,0.000000,0.000000,151.807167,0.000000,5624.262958,6108.566468,117.622515,0.000000,117.622515,marginal,-292.299933,-444.107100,0.000000,0.000000
2025-02-01,11:40-11:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.466200,728.053767,1019.031967,680.149483,1128.416817,542.355133,833.333333,0.000000,833.333333,0.000000,0.000000,157.289133,0.000000,6108.566468,6858.566468,252.845963,0.000000,252.845963,marginal,-290.978200,-448.267333,0.000000,0.000000
2025-02-01,11:50-12:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.443200,725.738333,992.387500,640.033333,1100.656250,566.684167,833.333333,0.000000,833.333333,0.000000,0.000000,193.973750,0.000000,6858.566468,7608.566468,251.154423,0.000000,251.154423,marginal,-266.649167,-460.622917,0.000000,0.000000
2025-02-01,12:00-12:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.441100,709.230500,994.026583,676.841383,1105.483200,548.537250,833.333333,0.000000,833.333333,0.000000,0.000000,143.845733,0.000000,7608.566468,8358.566468,241.959781,0.000000,241.959781,marginal,-284.796083,-428.641817,0.000000,0.000000
2025-02-01,12:10-12:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.455100,696.788767,997.482583,663.093800,1089.481067,532.639517,833.333333,0.000000,833.333333,0.000000,0.000000,125.693450,0.000000,8358.566468,9108.566468,242.404244,0.000000,242.404244,marginal,-300.693817,-426.387267,0.000000,0.000000
2025-02-01,12:20-12:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.446300,722.005000,1005.643750,594.021667,1052.412500,549.694583,833.333333,0.000000,833.333333,0.000000,0.000000,174.752083,0.000000,9108.566468,9858.566468,245.328693,0.000000,245.328693,marginal,-283.638750,-458.390833,0.000000,0.000000
2025-02-01,12:30-12:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.411300,698.325000,998.209800,601.114167,1052.097767,533.448533,833.333333,0.000000,833.333333,0.000000,0.000000,151.098800,0.000000,9858.566468,10608.566468,219.407382,0.000000,219.407382,marginal,-299.884800,-450.983600,0.000000,0.000000
2025-02-01,12:40-12:50,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.568200,683.180017,957.654950,633.335367,1058.989750,0.000000,274.474933,0.000000,212.703924,0.000000,0.000000,212.950459,0.000000,10608.566468,10800.000000,0.000000,0.000000,0.000000,marginal,-274.474933,-425.654383,61.771009,0.000000
2025-02-01,12:50-13:00,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.827900,706.701667,931.356250,638.681667,1052.225000,0.000000,224.654583,0.000000,0.000000,0.000000,0.000000,413.543333,0.000000,10800.000000,10800.000000,0.000000,0.000000,0.000000,marginal,-224.654583,-413.543333,224.654583,0.000000
2025-02-01,13:00-13:10,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.863600,688.413217,951.122750,619.374233,1041.022917,0.000000,262.709533,0.000000,0.000000,0.000000,0.000000,421.648683,0.000000,10800.000000,10800.000000,0.000000,0.000000,0.000000,marginal,-262.709533,-421.648683,262.709533,0.000000
2025-02-01,13:10-13:20,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.841600,676.331333,930.895167,606.504400,1029.228833,0.000000,254.563833,0.000000,0.000000,0.000000,0.000000,422.724433,0.000000,10800.000000,10800.000000,0.000000,0.000000,0.000000,marginal,-254.563833,-422.724433,254.563833,0.000000
2025-02-01,13:20-13:30,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.861800,663.911667,905.631250,607.013333,1017.281250,0.000000,241.719583,0.000000,0.000000,0.000000,0.000000,410.267917,0.000000,10800.000000,10800.000000,0.000000,0.000000,0.000000,marginal,-241.719583,-410.267917,241.719583,0.000000
2025-02-01,13:30-13:40,2025-01-31,2025-01-31,历史实测分位数,历史实测分位数,0.862300,677.313217,890.474783,606.318333,998.794050,0.000000,213.161567,0.000000,0.000000,0.000000,0.000000,392.475717,0.000000,10800.000000,10800.000000,0.000000,0.000000,0.000000,marginal,-213.161567,-392.475717,213.161567,0.000000
